"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g021960","Day21","Q5REJ1","28S ribosomal protein S5, mitochondrial ",1
"2","PGEN_.00g076740","Day14","P14755","Lambda-crystallin ",1
"3","PGEN_.00g159800","Day21","Q9NX20","39S ribosomal protein L16, mitochondrial ",1
"4","PGEN_.00g188330","Day21","P09001","39S ribosomal protein L3, mitochondrial ",1
"5","PGEN_.00g209000","Day21","Q498T4","39S ribosomal protein L2, mitochondrial ",1
"6","PGEN_.00g214760","Day21","Q9H2W6","39S ribosomal protein L46, mitochondrial ",1
"7","PGEN_.00g218130","Day7","O15083","ERC protein 2",1
"8","PGEN_.00g218820","Day7","O15083","ERC protein 2",1
"9","PGEN_.00g249480","Day21","Q95KE5","39S ribosomal protein L43, mitochondrial ",1
"10","PGEN_.00g284510","Day14","P40821","Crystallin J1C",1
"11","PGEN_.00g287530","Day21","Q9Y399","28S ribosomal protein S2, mitochondrial ",1
