"","MEblack","MEblue","MElightgreen","MEturquoise","MEbrown","MEgreenyellow"
"SG140",0.389205435016087,0.0838546475412838,-0.427576021330604,-0.435438380081017,0.551107693667376,-0.0841208862836387
"SG25",0.120685014862469,-0.337645928931354,0.31196497179404,0.168030474211478,-0.130190432638511,-0.170066786480782
"SG26",-0.150645385786763,-0.008869218186759,0.15770146892519,-0.0115976059232796,0.119937391029961,-0.0890733470064141
"SG43",0.0574606606955009,0.17741795998262,0.171677697493983,-0.22974787145082,0.118319620150074,-0.263436721150902
"SG44",-0.224187681624514,-0.363507988509712,0.186664354526294,-0.0661170506332779,0.30837765462177,0.226185480965419
"SG45",-0.13289407359212,-0.150135697160395,0.0706598193445247,-0.0393354119173857,0.0955395897996448,0.177584357184675
"SG60",-0.0562354558491377,-0.393562437292927,-0.0878622684396466,0.357473392808863,-0.253156248224412,0.382802298986328
"SG61",-0.087512483220421,-0.200615992884072,-0.0598795884565201,-0.196718206997124,0.0206245726936893,0.429616923972246
"SG63",-0.197039327446432,0.143084679011068,0.0154216351338726,-0.326713919301268,0.0476377873027852,0.18663640833303
"SG77",-0.0905883821028914,-0.247141979213853,-0.2270563681068,0.137657127318443,0.227694111034044,0.179744513378985
"SG100",0.138155318892289,0.456376914991127,0.250516716625765,-0.302013504931866,-0.582952916348309,0.106258953473068
"SG128",0.613608724968987,0.015699248969273,-0.339576330715523,-0.053451407373592,-0.171175863348737,-0.0974652802537869
"SG129",0.350689168756185,0.0936792546689586,-0.451732866874582,0.229448061732414,-0.0851817209304614,-0.0702635148309781
"SG19",-0.135832503672676,0.141827821896034,0.255376713803252,0.140025949729489,-0.0842175622408925,-0.294053155040828
"SG20",-0.333019035181429,0.0857603787855628,-0.0288802254970073,0.174078271440352,-0.0923618797027115,0.146561948606513
"SG40",0.000829773831121381,0.0459570391188231,0.0128063385761771,0.100246730078581,0.114180155882848,-0.265699541491092
"SG41",-0.140524270643399,0.386212331523573,0.167747356102215,-0.229425051660177,-0.133738167275103,0.0358024728702859
"SG57",-0.00174988367804012,-0.0575508175800599,0.218195672436685,0.319549482228179,-0.0717974717786935,-0.435804943864125
"SG58",-0.120405614224817,0.129159783270808,-0.196169075341316,0.264048920722009,0.00135368630563842,-0.101209181368003
