"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"1","0","Primary","A_v_M",14,11,3
"2","7","Primary","A_v_M",108,62,46
"3","14","Primary","A_v_M",429,317,112
"4","21","Primary","A_v_M",155,101,54
