"x"
"GO:0042493"
"GO:0043434"
"GO:0051385"
"GO:0005615"
"GO:1902307"
"GO:0017080"
"GO:0046658"
"GO:0004252"
"GO:0070633"
"GO:0010765"
"GO:0019897"
"GO:0071638"
"GO:0048678"
"GO:0010157"
"GO:0004341"
"GO:0010944"
"GO:0090240"
"GO:0050848"
"GO:0043618"
"GO:0033629"
"GO:0036003"
"GO:0043278"
"GO:0060588"
"GO:2000098"
"GO:0045121"
"GO:0043559"
"GO:0006978"
"GO:2000405"
"GO:1902166"
"GO:0010035"
"GO:0014012"
"GO:0008843"
"GO:0043043"
"GO:0022626"
"GO:0032781"
"GO:0070555"
"GO:0010642"
"GO:0000302"
"GO:0044245"
"GO:0021983"
"GO:0030234"
"GO:1904724"
"GO:1900016"
"GO:0070165"
"GO:0042308"
"GO:0070206"
"GO:0035580"
"GO:0006977"
"GO:1900165"
"GO:0004568"
"GO:0035356"
"GO:0004553"
"GO:0002223"
"GO:0070542"
"GO:0051895"
"GO:0050715"
"GO:0016486"
"GO:0016540"
"GO:0048662"
"GO:0043025"
"GO:0042246"
"GO:0000272"
"GO:0034774"
"GO:0051384"
"GO:0016266"
"GO:0006032"
"GO:0031016"
"GO:0043679"
"GO:0030425"
"GO:0031667"
"GO:0045721"
"GO:0030141"
"GO:1901223"
"GO:0005791"
"GO:0009749"
"GO:0030133"
"GO:0019221"
"GO:0015485"
"GO:0048471"
"GO:0008061"
"GO:0050714"
"GO:0045444"
"GO:0002039"
"GO:0051592"
"GO:0016485"
"GO:0003712"
"GO:0014070"
"GO:0005796"
"GO:0022008"
"GO:0031982"
"GO:0070062"
"GO:0006869"
"GO:0006874"
"GO:0006629"
"GO:0051087"
"GO:0004175"
"GO:0032496"
"GO:0050728"
"GO:0004867"
"GO:0006955"
"GO:0006006"
"GO:0043312"
"GO:0005623"
"GO:0007568"
