"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105317035","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105317035","D-aspartate oxidase"
"2","crg:105319409","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"3","crg:105319409","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"4","crg:105319409","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"5","crg:105320064","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105320064","3-ketoacyl-CoA thiolase, mitochondrial"
"6","crg:105320064","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105320064","3-ketoacyl-CoA thiolase, mitochondrial"
"7","crg:105320624","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105320624","non-specific lipid-transfer protein"
"8","crg:105320624","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105320624","non-specific lipid-transfer protein"
"9","crg:105321895","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"10","crg:105321895","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"11","crg:105324552","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105324552","peroxisomal membrane protein PMP34"
"12","crg:105325181","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105325181","2-hydroxyacyl-CoA lyase 1"
"13","crg:105325272","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105325272","lysosomal thioesterase PPT2-A"
"14","crg:105326193","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105326193","4-trimethylaminobutyraldehyde dehydrogenase"
"15","crg:105328600","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105328600","enoyl-CoA delta isomerase 2, mitochondrial"
"16","crg:105328600","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105328600","enoyl-CoA delta isomerase 2, mitochondrial"
"17","crg:105329007","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105329007","short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
"18","crg:105329007","crg00071","Fatty acid degradation","105319409/105320064/105321895/105328600/105329007/105332999/105335621/105336470/105341094/105346656/105348652/105326193",12,"105329007","short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
"19","crg:105329168","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105329168","peroxisomal membrane protein 11C"
"20","crg:105329358","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105329358","peroxisomal membrane protein 2"
"21","crg:105332999","crg01212","Fatty acid metabolism","105319409/105320064/105320624/105321895/105325272/105329007/105332999/105333877/105341094/105346656/105348652",11,"105332999","long-chain-fatty-acid--CoA ligase 1"
"22","crg:105332999","crg04146","Peroxisome","105317035/105319409/105320624/105324552/105325181/105328600/105329168/105329358/105332999/105333701/105336995/105338951/105339902/105342001/105346656",15,"105332999","long-chain-fatty-acid--CoA ligase 1"
