label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Sample_1_1,Sample_2_2,Sample_3_3,Sample_4_1,Sample_5_2,Sample_6_3,Sample_7_1,Sample_8_2,Sample_9_3
g,0,51,7,188.0563,8.931257,0.8462124,,N-acetyl-glutamate,N-acetyl-glutamate,-1,5328.446,188.0563,0,0,0,3189.034,3266.698,3557.833,23205.08,19075.79,19081.12,14211.75,33746.26,36189.12
g,0,52,6,179.056,8.825743,0.8291309,,Inositol,Inositol,-1,5594.36,179.056,0,0,0,3340.84,97499.99,96133.19,526362.2,502756.1,1037847,1143117,990656.2,1005984
g,0,53,1,145.0504,8.537011,0.6288115,,Adipic acid,Adipic acid,-1,6898.208,145.0504,6764.699,62359.05,69804.12,110881.5,128495,177667.4,497495.5,345570.7,613881.2,911704.8,801986.7,1385586
g,0,54,5,131.0349,8.705181,0.7598841,,Methylsuccinic acid,Methylsuccinic acid,-1,7628.918,131.0349,36841.56,0,59020.46,0,360086.9,635781.3,981519.2,787466.5,866924.8,1061082,871202.5,1231632
g,0,55,8,182.0129,8.73066,0.8497946,,Homocysteic acid,Homocysteic acid,-1,5503.481,182.0129,4956.961,4000.253,4162.161,3340.704,78827.05,65266.33,217913.4,393221,408064.8,556958.4,473372.6,666221.7
g,0,56,9,316.1166,8.474433,0.8574963,,Glycerophosphocholine (+HAc),Glycerophosphocholine (+HAc),-1,3176.629,316.1166,0,0,0,4990242,2942463,2290296,1.67E+07,1.46E+07,2.73E+07,3.38E+07,2.47E+07,3.30E+07
g,0,57,7,129.0194,8.643434,0.657558,,Itaconic acid,Itaconic acid,-1,7746.358,129.0194,116804.4,0,0,0,423090.3,419185.8,968818.5,1030566,1896127,1835191,1524103,1722927
g,0,58,4,146.0459,8.190173,0.7898624,,N-Methyl-D-aspartic acid,N-Methyl-D-aspartic acid,-1,6849.653,146.0459,2786.637,0,0,23318.12,30591.66,64197.29,251954,300990.8,402672.7,420136.8,328432.7,382224.5
g,0,59,5,173.093,8.735821,0.8328708,,N-acetyl-L-ornithine,N-acetyl-L-ornithine,-1,5786.581,173.093,0,0,0,19053.11,3079.372,8719.262,14553.55,3634.92,4844.16,10407.77,59160.67,79506.53
g,0,60,5,115.0036,8.624881,0.6824614,,Fumarate,Fumarate,-1,8682.943,115.0036,86219.72,80531.74,104253.4,214544.5,154099.1,0,447005.3,320749,726394.8,691325.5,526610.3,699715.1
g,0,61,9,166.0179,8.887303,0.8572675,,L-Homocysteinesulfinic acid,L-Homocysteinesulfinic acid,-1,6030.788,166.0179,0,0,0,312064,215137.6,122506.9,674392.7,1001349,900071.9,1467551,1225946,1400667
