label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Sample_1_1,Sample_2_2,Sample_3_3,Sample_4_1,Sample_5_2,Sample_6_3,Sample_7_1,Sample_8_2,Sample_9_3
g,0,30,5,241.0314,10.11539,0.8453783,,Cystine,Cystine,-1,4197.784,241.0314,0,0,0,0,0,0,60977.22,62098.45,13618.56,76451.09,87376.09,58902.21
g,0,31,9,348.07,9.9535,0.8578545,,AMP,AMP,-1,2901.369,348.07,2202.592,0,0,603000.6,763941,335516.7,3591427,1.52E+07,2.20E+07,3839139,2045897,3070824
g,0,32,9,162.0761,9.3392,0.853312,,Aminoadipic acid,Aminoadipic acid,-1,6253.81,162.0761,4788.045,2990.2,3317.981,500375.3,164096.5,424103.2,1077400,1621174,1227744,1540546,1375508,1858992
g,0,33,5,308.0908,9.385862,0.8498036,,Glutathione,Glutathione,-1,3279.297,308.0908,0,0,0,2879.076,2573.702,0,9745.237,144555.8,677321.5,28541.42,3217.562,44987.53
g,0,34,10,134.0449,9.274806,0.8137754,,Aspartate,Aspartate,-1,7571.96,134.0449,2189.412,1999.779,2999.564,9345009,2579974,2325780,2.58E+07,2.43E+07,4.06E+07,4.85E+07,4.36E+07,5.17E+07
g,0,35,9,148.0604,9.091046,0.8414645,,Glutamate,Glutamate,-1,6849.446,148.0604,0,1943.055,0,1.79E+07,6780946,7677368,4.37E+07,4.66E+07,5.48E+07,8.10E+07,7.24E+07,8.07E+07
g,0,36,1,786.1625,9.08523,0.8266332,,FAD,FAD,-1,1280.549,786.1625,0,0,0,0,0,0,5006.741,4310.743,0,8419.897,7089.374,22827.73
g,0,37,0,190.0705,8.993608,0.3321485,,N-acetyl-glutamate,N-acetyl-glutamate,-1,5325.137,190.0705,0,0,0,3218.652,0,0,4554.944,4096.695,5022.74,4573.731,5375.944,12838.16
g,0,38,9,184.0278,8.732867,0.8582572,,Homocysteic acid,Homocysteic acid,-1,5505.482,184.0278,11158.05,19430.12,12088.3,202725,165042.1,135226.4,417057.5,795653.2,804629.7,952540.8,990220.7,1398309
g,0,39,9,258.1099,8.518769,0.8178135,,Glycerophosphocholine,Glycerophosphocholine,-1,3916.914,258.1099,0,0,0,4.67E+07,2.83E+07,2.12E+07,1.38E+08,1.40E+08,2.41E+08,3.05E+08,2.14E+08,3.18E+08
g,0,40,7,131.034,9.091221,0.8501294,,Itaconic acid,Itaconic acid,-1,7747.883,131.034,0,0,0,24575.81,5266.296,7847.484,63234.32,50974.47,67395.84,112789.2,86882.09,109919.5
g,0,41,9,148.0604,8.19289,0.8331177,,N-Methyl-D-aspartic acid,N-Methyl-D-aspartic acid,-1,6849.55,148.0604,0,0,2575.132,215953.7,61999.6,139795.2,624235.8,696806.1,1048048,989356.5,767669.7,978377
g,0,42,9,175.108,8.843512,0.8501851,,N-acetyl-L-ornithine,N-acetyl-L-ornithine,-1,5786.931,175.108,2907.897,2740.414,0,373394.4,155175.5,236724.8,616822.4,67229.1,130704.4,160600,1788481,2496872
g,0,43,9,168.0325,8.909753,0.8589884,,L-Homocysteinesulfinic acid,L-Homocysteinesulfinic acid,-1,6030.788,168.0325,0,0,0,1174840,741954.6,441578.3,2556214,3607655,3175107,4805816,4420060,4997278
g,0,44,9,133.0608,8.308548,0.8580823,,Asparagine,Asparagine,-1,7628.037,133.0608,2268.993,0,0,424678.3,165865.3,180999.5,1080990,1164833,2166837,2770996,2423286,2789618
g,0,45,9,106.0502,8.17938,0.8586348,,Serine,Serine,-1,9592.725,106.0502,2062.118,2102.853,1851.204,434715.7,257237.9,222512.9,1026823,854612.3,1651695,2836065,3089875,3163083
g,0,46,7,385.1286,8.087185,0.8485408,,S-adenosyl-L-homocysteine,S-adenosyl-L-homocysteine,-1,2621.695,385.1286,0,0,0,18620.18,7060.207,2699.468,27558.6,22174.33,57179.31,65852.52,57931.36,65424.84
