DHR11
PLCL
NETR
NPC2
NPC2
DPP3
DUR3
NALD2
KLKB1
DCXR
ASGR2
MEP1A
AP4AT
LRP3
CHIA
KLKB1
KLKB1
MCPI
RN213
DFP1
YL8A
CO6A5
ANR50
BGH3
Y1483
ACSF4
Y1735
SRCR1
NCEH1
IF44L
SC5A2
GLBL2
GADL1
COKA1
GUN4
COCA1
GPX
EQST
COCA1
COCA1
FABP1
PLCL
IOVO
PXMP2
S14L2
CP089
YAJO
GGT1
C1QL4
DHB14
ALD2
PTGR3
4CL1
DERM
CHIT1
MUC1
CO6A5
PSMG2
LAC10
NEC1
DMBT1
C1QT3
HUTU
LIGO1
PLA2R
COCA1
HERC2
CADN
PGRP3
APOD
PROHY
DHB8
MDMC
GSXL9
PGCA
VMO1
IOLG
PGCB
CL17A
SAP3
NOTC1
UNC9
CO6A5
PRTG
LARG2
CATL1
NOTC2
HMCN2
PRSS8
PRSS8
PTPRJ
