BAHD1
SPTCB
AHRR
SMAG1
RAB1
MFAP4
SGSM3
HNRH2
TEMPT
DDX18
CD109
CD109
NF2L1
ABDB
MOT14
SH2B1
FA5
TYR3
TYR3
FABD
CYR1B
NSE2
P20D2
DHRS4
MSX2
IF
PIF
ENDD1
CX038
CLK2
CADN
APLY
APLY
