RGN
HIPL1
SAP
HIP
C1QL4
MCPI
FRRS1
TITIN
BGH3
CD109
NCEH1
SC5A2
CLPH
PLC
MATN1
PCBP3
ALD2
ST1C2
MEP1B
MEP1B
ST3A1
SEPIA
CHIT1
NETO2
GSTO1
MUC1
DHRS4
NEC1
DMBT1
C1QT3
MIY4B
LRIG2
WHITE
CADN
APOD
ATS7
NETR
HMCN2
PRSS8
PRSS8
