SPTN5
EPAS1
NPAS3
SCN1A
PIGQ
S26A5
FIGL1
TYR3
TNR6A
NAC3
KAT6B
IGDB2
FAT4
PP2AA
PANG1
P4HA2
OXLA
SSPO
KCP
CD109
SC6A8
GLYM
MRC1
MBD6
SEPT5
NRP
GRM3
CHB
S26A5
ANPRA
HVCN1
TYR3
TYR3
TYRO
S12A2
IQGA1
PCSK5
SC6A6
G6PD1
P20D2
PCDGH
MIS12
LRP2
LRP2
AB14G
RYK
DHRS4
NOTC1
DYSF
PLCL
DOCK2
IF
MOXD1
ENDD1
DDR2
MREP
LRP2
ZN384
FRRS1
HES1A
CMTA1
SL9B2
RARG
S4A4
