"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"304","PGEN_.00g133710",39.3281172167638,5.60875587907033,1.22173718399777,4.590803940924,4.41541955760711e-06,0.00109512003766825,12,35,1,83,60,57,42,14,10,38,95,37,16,11,9,115,15,12,32,9,98,43,2,47,55,10,25,3,33,61,7,15,242,9,66,TRUE,FALSE
"305","PGEN_.00g289380",19.6310799942431,6.242166560746,1.25492229515075,4.97414587729207,6.5535945717555e-07,0.000439823296877403,6,18,1,14,32,33,23,2,9,19,18,24,12,4,17,36,2,6,13,2,139,17,2,17,26,7,9,2,8,20,3,12,70,7,44,TRUE,FALSE
"306","PGEN_.00g108670",59.3193695283893,-1.34869999055903,0.428222328990317,-3.14953214546066,0.00163532116610765,0.0418234382360143,63,54,66,69,26,58,70,50,95,31,70,70,40,43,66,64,33,92,85,49,30,75,87,39,68,52,67,80,71,65,81,47,43,83,54,FALSE,TRUE
"307","PGEN_.00g293880",365.565870404321,4.31903304140408,1.25464556381901,3.4424328001108,0.000576507079978742,0.021260952149481,113,231,23,362,546,924,373,94,94,240,423,379,186,139,113,830,418,124,230,118,1009,175,14,216,703,80,198,285,179,329,191,158,2214,130,453,TRUE,FALSE
"308","PGEN_.00g347270",17.1175948069392,-3.13517407432502,0.952375868283081,-3.29195035146894,0.000994951747743893,0.0306794715946218,7,14,13,10,6,25,15,18,48,17,3,35,16,6,9,8,24,39,8,17,15,12,33,24,15,8,9,27,22,2,23,8,5,31,10,FALSE,TRUE
"309","PGEN_.00g038400",17.3393583188109,4.46682980758526,1.43228097170838,3.1186826438512,0.00181661511655488,0.0445715308919886,4,21,3,35,41,33,16,4,1,4,46,17,16,5,8,46,20,7,7,0,35,5,2,20,11,3,12,2,17,17,12,3,103,2,36,TRUE,FALSE
"310","PGEN_.00g000820",14.3753801296055,4.60215244223059,1.43111813134563,3.2157739752087,0.00130093249769325,0.0364676630618729,6,13,1,31,31,17,20,9,6,6,30,2,3,3,0,56,7,7,3,2,31,11,0,24,17,6,5,2,22,8,6,14,88,5,26,TRUE,FALSE
"311","PGEN_.00g119470",33.3759796196128,4.926246961891,1.39102719074648,3.54144548335348,0.000397941083296383,0.0174619608435709,4,37,9,53,24,22,10,16,11,7,75,26,9,8,5,75,26,6,12,6,175,25,2,14,27,7,15,5,15,35,31,17,257,24,55,TRUE,FALSE
"312","PGEN_.00g116150",17.8629133454053,4.5134718029463,1.18893779790703,3.79622198141205,0.000146917955333978,0.00980226287956348,9,15,6,48,27,32,16,4,9,14,25,21,4,11,4,36,16,1,6,5,16,9,5,11,18,4,8,6,7,18,11,4,162,10,29,TRUE,FALSE
"313","PGEN_.00g200830",10.7744502871314,-2.58013360066762,0.67082492021999,-3.8462101256189,0.000119958898247561,0.00839638693316822,18,9,11,12,7,11,15,7,19,11,11,4,13,2,10,10,14,20,6,9,2,10,13,8,11,13,23,14,16,8,9,6,8,9,9,FALSE,TRUE
"314","PGEN_.00g113260",15.5850611013262,3.37467914933389,0.9569589011563,3.52646194654362,0.000421151682043262,0.0180636072948555,23,14,9,38,11,8,14,4,8,7,31,17,4,2,16,36,3,2,35,14,26,6,12,27,8,8,20,1,14,19,12,36,67,14,19,TRUE,FALSE
"315","PGEN_.00g288000",9.9842327664828,3.37195946890933,1.04593740779893,3.22386353501333,0.00126473654251264,0.0363721956987073,7,6,2,6,22,14,7,6,2,4,11,13,13,4,4,17,2,2,12,6,23,15,6,6,7,5,7,2,13,8,7,16,47,3,35,TRUE,FALSE
"316","PGEN_.00g094610",5.71751476323327,4.98010563862809,1.42279070316566,3.50023768608237,0.000464843481521973,0.0188407234741647,3,0,2,11,19,6,2,2,0,0,9,4,12,5,4,8,0,1,9,4,18,3,11,10,5,0,7,0,0,6,3,7,20,2,11,TRUE,FALSE
