"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","crg03040","Spliceosome","12 of 45","140/3838",3.54874237660157e-08,9.93647865448441e-07,8.96524389878292e-07,"105317596/105318386/105319208/105319620/105322652/105330153/105334527/105336187/105340246/105340745/105345480/105347185",12
"2","crg03008","Ribosome biogenesis in eukaryotes","8 of 45","79/3838",2.62294508703225e-06,3.67212312184515e-05,3.313193794146e-05,"105318560/105329502/105329551/105331087/105332140/105341403/105342694/105347537",8
