"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"1","0","Primary","A_v_M",15,10,5
"2","7","Primary","A_v_M",109,66,43
"3","14","Primary","A_v_M",503,380,123
"4","21","Primary","A_v_M",211,147,64
