"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"102","PGEN_.00g122110",124.45467250395,2.31917232164453,0.571811355552909,4.05583467191207,4.99555867401099e-05,0.0141743030281402,162,218,191,147,214,146,137,127,166,301,249,156,41,118,59,154,78,68,225,115,117,49,78,87,88,150,70,82,95,137,63,74,148,100,17,127,TRUE,FALSE
"103","PGEN_.00g049160",429.021804326653,-0.865129495612605,0.214835643690673,-4.02693650248395,5.65082848230409e-05,0.014788031581903,453,494,787,364,527,457,596,610,398,379,468,381,420,509,153,269,528,415,390,513,223,452,545,456,578,320,239,610,515,453,390,835,430,484,493,288,FALSE,FALSE
"104","PGEN_.00g291230",94.9556595209005,-8.29333549461332,1.59647180115808,-5.19478984132216,2.04951232841611e-07,0.000174457417269534,46,92,510,69,63,13,57,463,19,4,45,175,450,13,17,14,23,291,12,52,19,6,9,14,19,17,40,446,136,2,277,127,15,0,25,15,FALSE,TRUE
"105","PGEN_.00g167300",11.8405193560049,5.03854620012209,1.075343019101,4.68552462853609,2.79243715462443e-06,0.00184874853175885,12,21,5,13,5,10,11,3,6,21,37,36,3,15,9,26,2,5,22,0,5,1,4,7,13,13,5,8,22,17,6,2,54,7,4,4,TRUE,FALSE
"106","PGEN_.00g158570",33.2912501280524,4.13531761984214,0.909260248679449,4.54800220932127,5.41575672095946e-06,0.00258981192906624,18,47,30,25,191,50,13,21,28,19,41,55,19,21,22,52,7,18,45,19,51,8,15,21,18,36,21,11,39,62,10,14,86,19,9,23,TRUE,FALSE
"107","PGEN_.00g189040",66.4173469975667,2.67327246102958,0.573159325360093,4.66410009005799,3.09970493909161e-06,0.0019441675662713,22,101,50,63,100,53,50,91,75,105,100,74,22,104,59,63,28,85,117,46,65,40,51,96,75,81,14,55,62,67,24,43,108,61,57,112,TRUE,FALSE
"108","PGEN_.00g295510",29.1967132869268,-4.15395751742561,0.770348747584551,-5.39230774431769,6.95585055180634e-08,6.90773925215635e-05,11,31,48,4,24,13,31,68,40,13,17,18,43,29,8,26,95,29,12,30,8,100,52,12,38,21,6,32,65,11,58,48,2,18,57,17,FALSE,TRUE
"109","PGEN_.00g144110",8.78736924997672,4.00669636397948,0.998048426896296,4.01453101473182,5.95641114316812e-05,0.014788031581903,17,24,9,9,27,8,3,7,16,3,11,12,2,7,14,15,5,0,6,5,10,3,1,11,12,13,0,3,10,23,3,4,10,4,2,6,TRUE,FALSE
"110","PGEN_.00g088220",38.604157600625,-4.68125864038876,1.31523941790229,-3.55924448178038,0.000371923188921114,0.0430311518676982,15,20,623,13,40,13,10,38,20,8,11,15,160,19,15,12,18,29,7,19,43,17,21,20,17,14,36,50,12,14,13,32,20,6,12,12,FALSE,TRUE
"111","PGEN_.00g182870",361.131560845189,-7.25133628160674,1.69753794362417,-4.27167846753719,1.94007171575646e-05,0.00641104561107589,115,358,6253,128,303,55,144,258,57,43,31,79,2283,110,194,24,182,143,47,103,125,36,120,166,118,25,289,1210,80,72,46,84,98,30,51,103,FALSE,TRUE
