"","MEblue","MEmidnightblue","MEpink","MEdarkgreen","MEred","MEgrey"
"SG117",-0.349141532089029,-0.783830749856782,0.804791896643354,0.452168661893198,-0.221678739054088,-0.0564667297636823
"SG137",-0.671504764543384,0.400039093610752,-0.154135254714362,0.360268471200705,0.492395396419988,0.064967452541134
"SG38",0.150661095719132,-0.0284336899762358,-0.23734932665716,0.374937119190338,0.257195732733439,0.522758287246114
"SG97",0.143001346341861,0.228677499637461,-0.183557536195781,-0.267958439228593,-0.769876717131311,0.514425091211172
"SG88",0.436475725332049,0.0202454460690588,-0.267229781378399,0.168360352866359,-0.0355493862028921,-0.612698773685235
"SG87",0.421584086239674,0.0155509073375778,-0.135336718448871,-0.48531886206764,0.0870856414130925,-0.0440854076279079
"SG98",-0.00554324072784618,-0.209769493915841,0.345120228571486,-0.364527757687846,-0.0110084020436408,-0.223745462084634
"SG37",-0.125532716272457,0.357520987094008,-0.172303507820265,-0.23792954616652,0.201436473865412,-0.165154457836966
