"","MEblack","MEblue","MEbrown","MEgreen","MEmagenta","MEpink","MEred","MEturquoise","MEyellow"
"SG96",0.4079928242882,-0.0763562395350913,-0.0188642663574322,-0.0348224004003149,0.185555393553402,-0.0657702328754042,-0.107072180807372,-0.00740850669852177,-0.103964070778978
"SG113",0.114608941354026,-0.0821882256721869,-0.0153026834926987,-0.067949518075448,0.0431463929909286,-0.214576993617522,0.0869782651711678,0.164745355309032,0.0482710585062571
"SG83",-0.291466655937575,-0.00889033055356313,0.287458821853004,-0.337784279186205,-0.107395974940165,-0.103970765859498,0.239432433536861,-0.183253503601691,0.151808151256385
"SG125",0.0609199383270707,-0.234608383927948,-0.207429210842257,0.191360569728397,-0.152379402810136,-0.00259258012757537,-0.0334538795700047,0.198370392292608,0.142620331776737
"SG35",0.131400507210873,0.099154380863094,0.0349412796864098,-0.0301013005101117,0.200673064463184,-0.182073412385425,-0.0941451983239141,-0.00757365992226722,-0.103512474204477
"SG84",0.0244665166264774,0.24334016250299,0.00857729755824875,-0.0315361844534512,0.323343316873607,-0.23364713774927,0.266310006679663,-0.199912774947831,-0.245390943805486
"SG49",-0.0836996002231056,0.354399170566073,-0.0216371718177981,0.0466240617916209,-0.0737402566241749,0.148813845632756,-0.0761423810065444,-0.138147899761251,-0.0679534604458657
"SG116",-0.0505631361321336,0.0109542619728323,-0.147011705922458,0.0864383104013943,-0.185591032609468,-0.0189188592976602,0.00925224084824622,-0.144571982797992,0.177652792663976
"SG136",0.0836205453608375,-0.148764597441458,-0.136046693632297,0.103907007120401,0.0725496404975628,-0.0442382759074621,0.165318650740576,0.0422697232828911,0.0266295049467257
"SG70",0.205277540630164,-0.13680464113659,0.154987616829228,-0.277033856924672,0.0636905335097047,-0.238067239913947,-0.195532084252598,0.16395151039865,0.244384937139266
"SG31",-0.131672702403085,0.0841151595850448,-0.123044721015599,0.174899249862314,-0.147086394539845,-0.0433787363567088,-0.0475313241598633,0.0225091484488622,-0.00220852271887659
"SG121",0.0816228735370175,-0.212979152560772,-0.0467221975831992,-0.0578182911221779,-0.0867323944624779,0.0884163520788707,-0.0323737205183026,-0.0827877062119636,0.372490724930169
"SG74",0.0412590660316928,-0.121956833926287,-0.0078215749472951,0.100388175779839,0.0583264965882815,-0.109745038575724,-0.0456479505804907,0.10028557658677,-0.0680269899614912
"SG134",-0.177275190744369,0.267430598320561,-0.193603651514908,-0.0247108440118099,-0.0116817121444084,-0.0948407653095517,0.226019571843916,0.0437077043961438,-0.108109393796777
"SG56",0.0927934470633428,0.0205911520668139,-0.156982077195082,0.225910998023298,-0.145968176229719,-0.00799408887697974,-0.0172943571240033,-0.0853195455064214,-0.0767807377055015
"SG76",0.084281272152066,-0.0391128256863665,-0.0535298785992916,0.0193222214744047,0.0877530523402059,0.228386480980323,-0.0824314714863479,0.116377721658264,-0.0581535900304688
"SG48",-0.0196080847217652,0.309971258432234,0.330907696501191,-0.122048680799727,0.146365307756743,0.146215502057932,-0.113420407162857,-0.454754248051591,-0.0882152254012911
"SG106",-0.0624366433043989,0.148414479260401,-0.178030528250295,0.140162566832541,-0.0854082505201742,-0.0678588098618188,0.0122025291231269,0.00607166652336279,-0.109318684831382
"SG104",-0.11736783380087,-0.0043358191854701,-0.123771022346037,0.122607415083397,-0.164189188681777,0.119295714467871,0.00358858103642804,0.173308078074756,-0.00646695773582494
"SG32",0.118612870983755,-0.00332912292610326,0.10104236350569,-0.144095678861424,0.165751114136757,0.152985329539706,-0.181529930273183,0.102576103355909,-0.0419001225071498
"SG72",0.0375235889184173,-0.0705984046738049,0.20626824354666,-0.176986618988176,-0.0172070963485221,0.0912749567576386,-0.102118877312893,-0.0663466383264301,0.190696794269372
"SG94",-0.000794739958745075,0.00920617595885817,-0.160177636855018,0.135015547113541,-0.0480034037847231,0.151522515969398,0.000247291789052387,0.164899634262045,-0.0893323883853396
"SG135",0.0789146683330419,0.158707191438219,-0.0906036192640589,0.0810357835117172,0.139694784594578,-0.324467914242643,0.0106721281966559,-0.0212823306624264,-0.264411265076849
"SG71",0.131201278615489,0.0355278526806546,0.309164272180971,-0.286879243798944,0.316404546401219,-0.162807831475234,-0.199642305491285,-0.0997432012551404,-0.0755727588647371
"SG69",0.375650259886155,-0.0979581084185803,0.0308709151228049,-0.0671139678625739,0.302511885686248,-0.253181398349037,-0.0873276063760196,0.0671457824107188,-0.0979593003922442
"SG36",0.0162525319622382,-0.0430484619986667,-0.0748032340449349,0.106604215435521,-0.171031172382253,0.0242726744974922,-0.1002250099551,0.0490938678240898,0.149925368389466
"SG67",-0.0316911544544775,-0.108310638337335,0.253327319764156,-0.122696093203921,-0.0206703700809609,0.29612214654835,-0.154890180009812,0.101543317614383,-0.00838165791461387
"SG28",0.0270692902263348,0.00664277474764213,0.0780558486710198,-0.0863203304967714,0.0592905298122808,0.191955056997785,-0.183683518168593,0.14116944788468,-0.0591115205645729
"SG50",-0.00224249594640399,-0.185851454379224,0.143124987899467,-0.0391891535718491,-0.0753033049468424,0.176968026683445,-0.0831814433295947,0.0910406649606946,0.0653313002817397
