"","MEblack","MEblue","MEbrown","MEgreen","MEmagenta","MEpink","MEred","MEturquoise","MEyellow"
"SG119",-0.234690621223773,0.136854524531664,-0.0829609306480766,0.0430656097521359,-0.0265536286716732,0.118666779980454,0.351837623099587,-0.0160985485927759,-0.192899953775589
"SG86",-0.0315217301414745,0.180735844326424,-0.185566942699508,0.117227311109194,-0.0296682567171712,-0.0675244992961285,0.125511975285207,-0.112620761485721,-0.0860814711484916
"SG85",-0.113235456690661,0.111210219989064,-0.0625915402091123,-0.00639641922494105,-0.339405902643152,-0.0749335139639521,-0.0844112808702522,-0.0173768451952538,0.30100021985572
"SG132",-0.345391757416399,0.154914233740101,0.164826059250363,-0.152987702126083,0.0327537030350574,-0.103303246642098,0.211934505533273,-0.128518090584813,-0.105135349167158
"SG75",-0.0778572246003917,0.125497205741415,0.0385672695966198,0.127068978824319,-0.263817188030198,0.0462463101713882,-0.0420780060303522,-0.239763536705578,-0.0147017761090307
"SG73",-0.0530954557684887,-0.181596526048258,0.163072795654988,-0.0480295351372049,-0.194371133793684,0.359030551159422,-0.0572785002881067,0.00514721249745763,0.133453148584381
"SG47",-0.037683875658562,-0.0386652697410946,0.0741419652606441,0.0356191434443828,0.0832370529657213,0.0701142951011461,-0.12943247555627,0.162942121195466,-0.0777539609076274
"SG34",-0.0361417881133132,-0.11445088993744,-0.0881212729752098,0.327045054473377,0.079645890077003,0.0925712511245976,-0.0401504420242384,-0.0502248371104675,-0.0851359715641946
"SG68",-0.033741683117004,0.0979385455435635,-0.0251812386861041,0.153157359823546,0.00615825663920465,-0.0685401070319736,-0.0734186172825557,-0.0239164912790888,-0.015579030734748
"SG112",-0.0519104372292478,0.0633167331504835,-0.240431279006882,0.175622232987158,-0.0334962188964882,-0.103728879372247,0.0834985965682114,0.132683506651848,-0.150898017363628
"SG123",-0.223002988346508,-0.0598934889302389,0.22078850196214,0.0833772771374103,-0.0716639161256866,-0.0258100606138632,0.263841826895593,-0.446586227315032,0.074671089733817
"SG122",0.0872010739264601,-0.315308167865202,-0.111733310786252,0.000579638625062539,0.0539911334377433,0.100964386886183,-0.00524679933454173,0.194344043522704,0.119649025985434
"SG33",-0.00731298215285534,-0.162090945399951,0.125795494269911,-0.0905619982472314,-0.229239311690512,-0.0571213309881711,-0.15510949872331,0.0551857270359886,0.216736209751754
"SG120",-0.182014045132329,0.0379463087015324,-0.172995448426638,0.0810160414600432,0.0566806832495252,0.068815441571632,0.35376879679629,-0.046596100336364,-0.190826593207293
"SG111",-0.0877836861469067,0.0197635450225466,-0.0721705358979143,-0.0847354040913877,0.0197654241291744,0.112153008519641,0.252459863951261,0.167325780930312,-0.145680287596691
"SG142",0.283532933931181,-0.22953325086058,0.0712156239028419,-0.388257268700588,0.183315484936082,-0.11569890803614,-0.13810544107671,0.106109349230984,0.324141818625177
