"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0048856",1.20751812235407e-05,0.999999992687471,2,16,"anatomical structure development","BP"
"GO:0009986",0.00105904474130053,0.999993298638511,2,173,"cell surface","CC"
"GO:0005576",0.00541162141574768,0.999920266312833,2,394,"extracellular region","CC"
"GO:0005102",0.000121809797272308,0.999999746394345,2,58,"signaling receptor binding","MF"
