"","MEgreen","MEturquoise","MEyellow","MEblue","MEbrown"
"SG25",-0.171695259380609,-0.0273770809143036,0.0211427366112993,-0.0318443768308457,0.14019521527361
"SG60",0.0821822312594194,-0.0628562011637465,-0.0649779172315592,0.0265749844019708,0.251755711029735
"SG90",-0.525785490884954,-0.456479079569975,0.258381020977453,0.437052987817592,0.143593378150904
"SG128",0.0450078668825104,0.158095006988394,-0.094711462470125,-0.207940095452255,6.99454820091774e-05
"SG89",-0.368701359707693,-0.350389147031107,0.243863373828888,0.25965356611395,0.274378739573175
"SG40",-0.0445734891921963,0.0758015148366075,-0.0029679278096746,-0.115295956741469,0.0822386563671626
"SG43",-0.113081566846787,0.165660160503041,0.0328737596976122,-0.136928470055084,-0.153389265536604
"SG44",-0.158002156472071,-0.0687051550740017,0.229942362026529,0.0639327206376718,-0.0367960883530563
"SG77",-0.0082690133467816,-0.0149997701541601,0.112433109790304,-0.0433436150264451,0.127184354060872
"SG19",-0.0766917987686243,0.0706891090293122,-0.14472228683594,-0.0845129621652355,0.123626160971366
"SG57",-0.117448857448516,0.0871847091504958,-0.194663618453926,-0.139777851462469,0.237548646455039
"SG20",0.110433469848282,0.00623849413884572,-0.0425918352495928,-0.0220962188487789,0.158598888031645
"SG62",-0.191158690438543,-0.259169007700438,0.198443273221076,0.280939415278167,-0.168255147469087
"SG41",0.140609991335036,0.127805853788076,-0.130669581613136,-0.032044408882454,-0.126340157758236
"SG21",0.384103710644896,-0.446307262465314,-0.46238189103091,0.445996576554541,0.089701947271251
"SG129",-0.00205162906198435,0.105661617760566,-0.117119766933087,-0.141454869403794,0.195140270067085
"SG61",0.153866194181638,-0.0205477001206986,0.114458007511645,0.0283044105059325,-0.116006688562475
"SG45",0.0177265405514017,0.0239561360619722,0.00726343909023804,-0.0113813306427394,-0.0158697935574248
"SG58",0.0529936890532964,0.125932997871764,-0.136954385062449,-0.141394191865465,0.213027121758949
"SG26",-0.0676501780465981,0.065425413113429,-0.00701183573161768,-0.0709221365000455,0.0119350568984986
"SG22",0.142193928037197,-0.323108093972428,-0.0292643732564685,0.388220561741008,0.163261592178266
"SG140",-0.0604401643202013,0.147656862992329,0.272948668074121,-0.155105634541541,-0.26644079647754
"SG63",0.175251535741689,0.068216505055001,-0.00799668894210398,-0.0237996282722811,-0.204851259972954
"SG100",0.213902277053633,0.125037801317684,-0.244110232595514,-0.0277413678440392,-0.166772659082454
"SG17",0.0678408536119748,0.109692837753179,0.0327660161969991,-0.0698279785829987,-0.164906208403656
"SG138",-0.107720205940219,0.113863465520951,-0.169313036591201,-0.159998302019045,0.0901939808595986
"SG42",-0.105593733386516,0.0172251692862857,0.127136980214754,0.0365755993811398,-0.216084720055022
"SG139",0.161530699459062,0.0639192339477635,-0.128566237474151,0.00683277780662479,-0.0732174718909932
"SG99",0.0723701495558012,0.162705595718009,-0.0845613644358444,-0.177722884050747,0.0812093384744229
"SG130",-0.0748836130329941,0.133436817288309,0.0960678232893504,-0.139306441913845,-0.224663734068393
"SG24",-0.0187554602952485,-0.0125744525637962,0.371602897496407,0.0173051518935424,-0.236872421059515
"SG18",0.114330339237363,-0.0108961413435978,0.0158523545967578,-0.0239061596834935,0.126203438478479
"SG127",0.00976841862033419,0.181796334497512,-0.0371603343871445,-0.168368239862067,-0.0717318220876028
"SG23",0.0152906475567771,0.0495606784587589,0.15944743101447,-0.00237381660387631,-0.359516618849636
"SG39",0.253100123940225,-0.132153223004719,-0.194878477533462,0.135698185118877,0.0918524118025791
