"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"1","0","Primary","A_v_M",14,11,3
"2","7","Primary","A_v_M",106,62,44
"3","14","Primary","A_v_M",421,315,106
"4","21","Primary","A_v_M",155,101,54
