"","Row.names","log2FoldChange","padj","up","down","Day_Trmt"
"57","PGEN_.00g215970",-1.24908027989006,0.00868747313860514,FALSE,TRUE,"Day7_Primary_AvM"
"58","PGEN_.00g046720",3.53277441846146,0.00952114090075641,TRUE,FALSE,"Day7_Primary_AvM"
"59","PGEN_.00g327660",5.61398434720766,0.00422379233716075,TRUE,FALSE,"Day7_Primary_AvM"
"60","PGEN_.00g211250",3.27729466359395,0.0196068877226823,TRUE,FALSE,"Day7_Primary_AvM"
"61","PGEN_.00g082950",-2.17112549120315,0.0339727696465097,FALSE,TRUE,"Day7_Primary_AvM"
"62","PGEN_.00g033950",-1.32040712954424,0.0358913978184176,FALSE,TRUE,"Day7_Primary_AvM"
"63","PGEN_.00g039480",4.04693438738841,0.000562720715050912,TRUE,FALSE,"Day7_Primary_AvM"
"64","PGEN_.00g118430",3.58343366693115,0.0380893468958248,TRUE,FALSE,"Day7_Primary_AvM"
"65","PGEN_.00g113600",2.58684426180503,0.0380893468958248,TRUE,FALSE,"Day7_Primary_AvM"
"66","PGEN_.00g169390",1.92833049977085,0.0482037548021864,TRUE,FALSE,"Day7_Primary_AvM"
"67","PGEN_.00g119160",2.63761289621588,0.0196068877226823,TRUE,FALSE,"Day7_Primary_AvM"
"68","PGEN_.00g085790",3.77701572873363,0.00871956194644044,TRUE,FALSE,"Day7_Primary_AvM"
"69","PGEN_.00g231670",2.20045921633294,0.0380893468958248,TRUE,FALSE,"Day7_Primary_AvM"
"70","PGEN_.00g203030",-5.22520270212202,0.0380893468958248,FALSE,TRUE,"Day7_Primary_AvM"
"71","PGEN_.00g188250",2.90779263371479,0.00887595854179786,TRUE,FALSE,"Day7_Primary_AvM"
"72","PGEN_.00g348040",4.09222867047127,0.0274621265807232,TRUE,FALSE,"Day7_Primary_AvM"
"73","PGEN_.00g323180",-2.19250957648259,0.00301218050298679,FALSE,TRUE,"Day7_Primary_AvM"
"74","PGEN_.00g204840",-6.34680786509492,0.00028807753515026,FALSE,TRUE,"Day7_Primary_AvM"
"75","PGEN_.00g348570",2.66967016003166,0.0490958723220459,TRUE,FALSE,"Day7_Primary_AvM"
"76","PGEN_.00g029620",3.65710976199962,0.018286075737154,TRUE,FALSE,"Day7_Primary_AvM"
"77","PGEN_.00g319180",-6.49287896168895,0.00395948453730616,FALSE,TRUE,"Day7_Primary_AvM"
"78","PGEN_.00g155150",4.0049310142306,0.00871956194644044,TRUE,FALSE,"Day7_Primary_AvM"
"79","PGEN_.00g130110",4.63018974481767,1.88004135209243e-05,TRUE,FALSE,"Day7_Primary_AvM"
"80","PGEN_.00g149990",-14.2898086188163,1.61504058897473e-08,FALSE,TRUE,"Day7_Primary_AvM"
"81","PGEN_.00g191620",-7.55269406888311,0.0151995795916794,FALSE,TRUE,"Day7_Primary_AvM"
"82","PGEN_.00g039120",4.44130860847589,0.00385456529479733,TRUE,FALSE,"Day7_Primary_AvM"
"83","PGEN_.00g133710",3.57834881526996,0.0487422533006379,TRUE,FALSE,"Day7_Primary_AvM"
"84","PGEN_.00g328520",-1.73950909458531,0.00868747313860514,FALSE,TRUE,"Day7_Primary_AvM"
"85","PGEN_.00g299010",3.53556621394542,0.0380893468958248,TRUE,FALSE,"Day7_Primary_AvM"
"86","PGEN_.00g119470",3.72347030234535,0.00374099524243751,TRUE,FALSE,"Day7_Primary_AvM"
"87","PGEN_.00g164270",4.15321797449176,0.013126300302301,TRUE,FALSE,"Day7_Primary_AvM"
"88","PGEN_.00g050070",-1.75581896966133,0.0178351687821148,FALSE,TRUE,"Day7_Primary_AvM"
"89","PGEN_.00g094980",2.59192207308762,0.0380893468958248,TRUE,FALSE,"Day7_Primary_AvM"
"90","PGEN_.00g162900",-10.9279678208282,7.37162670607822e-07,FALSE,TRUE,"Day7_Primary_AvM"
"91","PGEN_.00g275400",-1.96427825536063,0.0490958723220459,FALSE,TRUE,"Day7_Primary_AvM"
"92","PGEN_.00g028100",1.41235132050486,0.0183769629302082,TRUE,FALSE,"Day7_Primary_AvM"
"93","PGEN_.00g340260",-5.81927913584071,0.0196068877226823,FALSE,TRUE,"Day7_Primary_AvM"
"94","PGEN_.00g279590",3.47367487619959,0.0122811046301587,TRUE,FALSE,"Day7_Primary_AvM"
"95","PGEN_.00g030460",-1.04573214579291,0.0108459710862714,FALSE,TRUE,"Day7_Primary_AvM"
"96","PGEN_.00g180630",1.86290635261057,0.0196068877226823,TRUE,FALSE,"Day7_Primary_AvM"
"97","PGEN_.00g012750",4.77163426006903,0.00904093402198322,TRUE,FALSE,"Day7_Primary_AvM"
"98","PGEN_.00g261000",2.66353901849526,0.0151995795916794,TRUE,FALSE,"Day7_Primary_AvM"
"99","PGEN_.00g039930",-1.77669291494581,0.0196068877226823,FALSE,TRUE,"Day7_Primary_AvM"
"100","PGEN_.00g311950",2.70758908036351,0.0470150882217187,TRUE,FALSE,"Day7_Primary_AvM"
"101","PGEN_.00g066340",3.95842124394553,0.00554143326183249,TRUE,FALSE,"Day7_Primary_AvM"
"102","PGEN_.00g057310",4.81259233338269,0.000291797794101072,TRUE,FALSE,"Day7_Primary_AvM"
"103","PGEN_.00g215190",-1.30529821152068,0.0122892552954118,FALSE,TRUE,"Day7_Primary_AvM"
"104","PGEN_.00g255020",1.91395027092748,0.0490958723220459,TRUE,FALSE,"Day7_Primary_AvM"
