"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"1","0","Primary","A_v_M",14,10,4
"2","7","Primary","A_v_M",110,66,44
"3","14","Primary","A_v_M",504,392,112
"4","21","Primary","A_v_M",231,166,65
