"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs"
"1","lipid binding","GO:0008289",2,"GO:0001530","GO:0001530;GO:0032266",6,"PGEN_.00g011150;PGEN_.00g058440;PGEN_.00g058530;PGEN_.00g173580;PGEN_.00g258210;PGEN_.00g313710"
"2","RNA binding","GO:0003723",1,"GO:0003725","GO:0003725",3,"PGEN_.00g152610;PGEN_.00g244000;PGEN_.00g302770"
"3","cytoskeletal protein binding","GO:0008092",2,"GO:0003779","GO:0003779;GO:0051015",14,"PGEN_.00g025930;PGEN_.00g053780;PGEN_.00g063580;PGEN_.00g064190;PGEN_.00g092700;PGEN_.00g139380;PGEN_.00g147150;PGEN_.00g181830;PGEN_.00g219490;PGEN_.00g219500;PGEN_.00g233340;PGEN_.00g238430;PGEN_.00g243980;PGEN_.00g249580"
"4","phosphatase activity","GO:0016791",3,"GO:0004721","GO:0004721;GO:0004725;GO:0008138",8,"PGEN_.00g009870;PGEN_.00g015220;PGEN_.00g093280;PGEN_.00g104470;PGEN_.00g138120;PGEN_.00g139380;PGEN_.00g282040;PGEN_.00g298760"
"5","enzyme binding","GO:0019899",1,"GO:0030971","GO:0030971",3,"PGEN_.00g179710;PGEN_.00g239490;PGEN_.00g239770"
