"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"14","crg:105321543","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105321543","60S ribosomal protein L21-like"
"15","crg:105321589","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105321589","60S ribosomal protein L6"
"16","crg:105323167","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105323167","40S ribosomal protein S27-like"
"17","crg:105323421","crg00190","Oxidative phosphorylation","105343349/109618245/105347858/105332143/105319162/105344651/105347217/105318424/105332292/105328413/105340053/105332067/105323421/105338985/105344150/105319097/105326432/105337089/105341248",19,"105323421","probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12"
"18","crg:105323810","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105323810","39S ribosomal protein L4, mitochondrial"
"19","crg:105324073","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105324073","60S ribosomal protein L12"
"20","crg:105324694","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105324694","28S ribosomal protein S9, mitochondrial"
"21","crg:105325638","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105325638","60S ribosomal protein L26-like"
"22","crg:105325786","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105325786","39S ribosomal protein L27, mitochondrial-like"
"23","crg:105326418","crg03010","Ribosome","105319797/105340582/105323810/105347132/105342397/105332191/105331157/105339837/105325786/105331823/105317113/105342603/105324694/105332495/105335803/105327405/105321543/105348361/105347326/105335873/105326418/105339104/105321589/105319021/105317506/105344628/105318421/105347828/105324073/105338085/105347208/105341326/105330130/105320864/105348430/105328421/105342025/105333469/105325638/105347733/105319573/105347800/105338870/105338606/105338035/105330605/105329912/105340032/105344646/105319364/105321315/105318789/105323167",53,"105326418","60S ribosomal protein L23"
