"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Day","moduleColor","slim_term","Gene_IDs"
"11","GO:0004525",208,0.0173969285235135,0.998771941475163,3,5,"ribonuclease III activity","MF","Day0","midnightblue","nuclease activity","PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g009970;PGEN_.00g009980;PGEN_.00g027840;PGEN_.00g152610;PGEN_.00g157390;PGEN_.00g172690;PGEN_.00g173610;PGEN_.00g331400"
"12","GO:0004540",188,0.00479744158078325,0.999481406703415,5,9,"ribonuclease activity","MF","Day0","midnightblue","nuclease activity","PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g009970;PGEN_.00g009980;PGEN_.00g027840;PGEN_.00g152610;PGEN_.00g157390;PGEN_.00g172690;PGEN_.00g173610;PGEN_.00g331400"
"13","GO:0004550",157,1.39445475461613e-06,0.999999887715137,11,18,"nucleoside diphosphate kinase activity","MF","Day0","midnightblue","kinase activity","PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g006140;PGEN_.00g014120;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g018850;PGEN_.00g035180;PGEN_.00g041700;PGEN_.00g053030;PGEN_.00g055310;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g130200;PGEN_.00g131630;PGEN_.00g132450;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140060;PGEN_.00g140080;PGEN_.00g140150;PGEN_.00g144640;PGEN_.00g145440;PGEN_.00g150730;PGEN_.00g165370;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g210210;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223450;PGEN_.00g223560;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g240130;PGEN_.00g248070;PGEN_.00g253220;PGEN_.00g258920;PGEN_.00g266550;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g283980;PGEN_.00g286100;PGEN_.00g306720;PGEN_.00g329110;PGEN_.00g329270;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470"
"14","GO:0004674",161,2.5322848159541e-05,0.999986726402849,68,304,"protein serine/threonine kinase activity","MF","Day0","midnightblue","kinase activity","PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g006140;PGEN_.00g014120;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g018850;PGEN_.00g035180;PGEN_.00g041700;PGEN_.00g053030;PGEN_.00g055310;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g130200;PGEN_.00g131630;PGEN_.00g132450;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140060;PGEN_.00g140080;PGEN_.00g140150;PGEN_.00g144640;PGEN_.00g145440;PGEN_.00g150730;PGEN_.00g165370;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g210210;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223450;PGEN_.00g223560;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g240130;PGEN_.00g248070;PGEN_.00g253220;PGEN_.00g258920;PGEN_.00g266550;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g283980;PGEN_.00g286100;PGEN_.00g306720;PGEN_.00g329110;PGEN_.00g329270;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470"
"15","GO:0004683",210,0.0178229836589643,0.996808655459083,5,12,"calmodulin-dependent protein kinase activity","MF","Day0","midnightblue","kinase activity","PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g006140;PGEN_.00g014120;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g018850;PGEN_.00g035180;PGEN_.00g041700;PGEN_.00g053030;PGEN_.00g055310;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g130200;PGEN_.00g131630;PGEN_.00g132450;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140060;PGEN_.00g140080;PGEN_.00g140150;PGEN_.00g144640;PGEN_.00g145440;PGEN_.00g150730;PGEN_.00g165370;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g210210;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223450;PGEN_.00g223560;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g240130;PGEN_.00g248070;PGEN_.00g253220;PGEN_.00g258920;PGEN_.00g266550;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g283980;PGEN_.00g286100;PGEN_.00g306720;PGEN_.00g329110;PGEN_.00g329270;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470"
"16","GO:0004708",239,0.0377126180112085,0.993525852429518,4,9,"MAP kinase kinase activity","MF","Day0","midnightblue","kinase activity","PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g006140;PGEN_.00g014120;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g018850;PGEN_.00g035180;PGEN_.00g041700;PGEN_.00g053030;PGEN_.00g055310;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g130200;PGEN_.00g131630;PGEN_.00g132450;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140060;PGEN_.00g140080;PGEN_.00g140150;PGEN_.00g144640;PGEN_.00g145440;PGEN_.00g150730;PGEN_.00g165370;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g210210;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223450;PGEN_.00g223560;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g240130;PGEN_.00g248070;PGEN_.00g253220;PGEN_.00g258920;PGEN_.00g266550;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g283980;PGEN_.00g286100;PGEN_.00g306720;PGEN_.00g329110;PGEN_.00g329270;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470"
"17","GO:0004724",244,0.0423265749413196,0.991823216621071,4,11,"magnesium-dependent protein serine/threonine phosphatase activity","MF","Day0","midnightblue","phosphatase activity","PGEN_.00g015220;PGEN_.00g032120;PGEN_.00g077980;PGEN_.00g140150;PGEN_.00g142260;PGEN_.00g253250;PGEN_.00g331600"
"18","GO:0004843",243,0.0417135555696122,0.979861667715986,14,65,"thiol-dependent ubiquitin-specific protease activity","MF","Day0","midnightblue","peptidase activity","PGEN_.00g023910;PGEN_.00g051540;PGEN_.00g056190;PGEN_.00g072730;PGEN_.00g083660;PGEN_.00g152520;PGEN_.00g163220;PGEN_.00g170110;PGEN_.00g203390;PGEN_.00g211050;PGEN_.00g211860;PGEN_.00g216080;PGEN_.00g238290;PGEN_.00g239060;PGEN_.00g239070;PGEN_.00g259910;PGEN_.00g291370;PGEN_.00g321850;PGEN_.00g327960"
"19","GO:0004864",192,0.00838518096180114,0.998507446867738,6,14,"protein phosphatase inhibitor activity","MF","Day0","midnightblue","enzyme regulator activity","PGEN_.00g008370;PGEN_.00g019390;PGEN_.00g027360;PGEN_.00g056780;PGEN_.00g091180;PGEN_.00g203470;PGEN_.00g248150;PGEN_.00g250180;PGEN_.00g250220;PGEN_.00g250810;PGEN_.00g253110;PGEN_.00g255070;PGEN_.00g258390;PGEN_.00g308890"
"20","GO:0005025",236,0.037408566649927,0.998429241600031,2,3,"transforming growth factor beta receptor activity, type I","MF","Day0","midnightblue","kinase activity","PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g006140;PGEN_.00g014120;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g018850;PGEN_.00g035180;PGEN_.00g041700;PGEN_.00g053030;PGEN_.00g055310;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g062320;PGEN_.00g062370;PGEN_.00g063840;PGEN_.00g069090;PGEN_.00g072020;PGEN_.00g079740;PGEN_.00g085690;PGEN_.00g098860;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g130200;PGEN_.00g131630;PGEN_.00g132450;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140060;PGEN_.00g140080;PGEN_.00g140150;PGEN_.00g144640;PGEN_.00g145440;PGEN_.00g150730;PGEN_.00g165370;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g184640;PGEN_.00g197620;PGEN_.00g200450;PGEN_.00g201170;PGEN_.00g210210;PGEN_.00g212730;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g219620;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223450;PGEN_.00g223560;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g231150;PGEN_.00g231160;PGEN_.00g240130;PGEN_.00g248070;PGEN_.00g253220;PGEN_.00g258920;PGEN_.00g266550;PGEN_.00g281870;PGEN_.00g281890;PGEN_.00g282580;PGEN_.00g283980;PGEN_.00g286100;PGEN_.00g306720;PGEN_.00g329110;PGEN_.00g329270;PGEN_.00g332760;PGEN_.00g332770;PGEN_.00g337470"
"21","GO:0005200",164,5.13754485233003e-05,0.99998293964386,24,94,"structural constituent of cytoskeleton","MF","Day0","midnightblue","structural molecule activity","PGEN_.00g013040;PGEN_.00g017720;PGEN_.00g045220;PGEN_.00g045510;PGEN_.00g060920;PGEN_.00g088500;PGEN_.00g102540;PGEN_.00g104410;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g168190;PGEN_.00g191700;PGEN_.00g195470;PGEN_.00g204100;PGEN_.00g209240;PGEN_.00g233610;PGEN_.00g233770;PGEN_.00g264620;PGEN_.00g274550;PGEN_.00g274560;PGEN_.00g274590;PGEN_.00g303220;PGEN_.00g329110;PGEN_.00g336900"
"22","GO:0005248",202,0.0120832925936156,0.998121816994593,5,11,"voltage-gated sodium channel activity","MF","Day0","midnightblue","transmembrane transporter activity","PGEN_.00g031270;PGEN_.00g055140;PGEN_.00g195580;PGEN_.00g195620;PGEN_.00g195670"
