"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"1","PGEN_.00g295020",669.49524795701,-13.5799888676801,2.01688540747858,-6.73314845619179,1.66030502958412e-11,9.96598094007871e-08,140,1139,7360,30,139,17,51,1465,26,39,54,108,7832,58,48,32,69,1239,26,77,86,13,54,23,54,8,725,1328,296,0,1031,183,79,1,110,78,FALSE,TRUE
"2","PGEN_.00g186570",13.4895114806888,-4.0667352924932,0.974269964982817,-4.17413595682889,2.99119098040865e-05,0.00944980203152784,16,18,80,5,8,14,11,5,12,3,6,11,49,2,6,6,19,9,9,9,2,12,11,8,20,6,18,14,16,13,24,29,7,9,9,4,FALSE,TRUE
"3","PGEN_.00g156050",12.8142255785255,3.0651189253541,0.709561735652502,4.31973536810784,1.56216416277261e-05,0.0060496067013178,10,28,10,21,16,10,12,8,11,12,26,39,6,21,5,13,7,8,26,17,16,7,12,18,13,9,0,5,15,12,3,10,14,23,4,13,TRUE,FALSE
"4","PGEN_.00g206930",8.70862855052598,3.15615373167926,0.873668385102078,3.61253054991855,0.000303223369480912,0.0371448627614117,7,31,11,10,13,16,3,12,15,15,23,13,1,6,5,16,5,2,19,7,5,1,4,5,8,8,4,5,7,14,2,4,8,6,1,7,TRUE,FALSE
"5","PGEN_.00g205860",33.6519859930456,3.52064829365772,0.953213121989949,3.69345344964192,0.00022122902282513,0.0319982460122371,19,58,13,74,22,22,29,17,23,49,33,54,19,25,85,20,44,6,23,14,12,7,12,44,53,19,26,25,35,99,20,11,52,47,4,52,TRUE,FALSE
"6","PGEN_.00g288580",78.8202868187784,-12.8110572308749,2.34844704224321,-5.45511863816098,4.89401590061846e-08,5.34115098972042e-05,4,77,1429,0,14,3,13,29,4,4,4,3,1115,5,7,1,10,20,3,4,26,3,15,0,5,0,7,96,4,1,10,11,8,0,11,5,FALSE,TRUE
"7","PGEN_.00g093430",17.1632607246313,-4.70058317668098,1.23885196357223,-3.7943057886649,0.000148057116613268,0.0253917954991754,13,24,12,7,4,8,17,45,6,7,0,32,43,6,0,0,45,37,0,7,14,3,52,11,14,8,20,34,22,5,14,40,24,5,55,10,FALSE,TRUE
"8","PGEN_.00g093840",9.92138823530201,3.83885048468912,1.05848184254733,3.62675138144135,0.000287009395934271,0.035521111321556,13,23,9,15,35,29,2,8,21,7,11,10,1,6,7,26,2,0,24,6,2,1,4,5,8,11,7,5,6,6,2,13,10,9,2,10,TRUE,FALSE
"9","PGEN_.00g035820",21.8397112423295,3.0753828975117,0.861645348826598,3.5691980484776,0.000358075663112708,0.0421441013300791,38,34,54,35,45,32,25,22,15,53,63,30,4,12,5,38,12,15,38,16,16,6,7,9,7,31,15,4,15,28,7,4,31,16,2,16,TRUE,FALSE
"10","PGEN_.00g315910",41.3302190048591,-1.97704414064489,0.544670631695965,-3.6297975796655,0.000283643564196789,0.0354702186269006,35,48,24,33,41,25,82,72,56,35,22,20,52,45,24,26,61,72,12,37,20,31,49,24,80,46,29,72,66,52,52,69,15,25,65,38,FALSE,TRUE
"11","PGEN_.00g130390",70.0654225363526,-7.43826630249302,1.68973637458713,-4.40202768571547,1.07243867851424e-05,0.00476838012428277,11,103,44,12,49,6,45,708,13,6,15,43,838,20,39,9,75,25,14,4,9,5,22,11,23,18,43,52,36,21,138,9,11,7,17,14,FALSE,TRUE
"12","PGEN_.00g262400",5.84373652210951,4.46870521927227,1.1692041226307,3.82200604050021,0.000132370446477822,0.02444780323025,11,11,4,3,17,7,0,6,7,6,9,17,2,3,7,7,3,2,5,3,8,0,2,3,8,8,4,3,3,14,0,2,10,0,0,8,TRUE,FALSE
"13","PGEN_.00g332980",5.91902917036889,4.29652841925492,1.00661848174334,4.26827889332399,1.96986948810632e-05,0.00664436117167202,2,6,7,3,26,4,2,5,10,8,8,11,8,8,3,14,5,5,9,5,4,2,3,6,4,8,1,1,2,11,3,0,9,3,1,8,TRUE,FALSE
"14","PGEN_.00g044960",6.78002418963055,3.28222831395342,0.890117218073637,3.68741132887724,0.000226546997774714,0.0321648474877032,11,9,9,13,6,8,5,9,2,28,13,12,2,6,1,15,4,6,11,6,4,3,4,8,6,15,2,3,2,6,5,0,6,5,4,3,TRUE,FALSE
"15","PGEN_.00g333460",21.7041906586825,-6.82420548113558,1.05792828272612,-6.45053695279858,1.11454551575888e-10,4.46003963889513e-07,11,52,22,1,4,12,18,118,26,5,3,12,31,11,9,4,35,58,4,25,27,16,25,5,11,2,39,56,22,2,37,23,6,2,31,7,FALSE,TRUE
"16","PGEN_.00g211040",6.42911443619091,4.3103486831971,1.15768881944647,3.72323599467604,0.000196685515745637,0.0298887293231186,11,10,4,2,31,19,0,1,2,8,12,15,3,6,7,13,7,4,12,3,6,0,2,5,1,5,2,2,3,10,1,9,5,4,0,5,TRUE,FALSE
