"","Gene.ID","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"1","PGEN_.00g029510",255,189,212,460,387,103,231,187
"2","PGEN_.00g223140",36,38,10,38,35,38,58,41
"3","PGEN_.00g049360",8,6,5,108,83,224,53,38
"4","PGEN_.00g175940",13,18,18,24,20,18,21,24
"5","PGEN_.00g218990",13,6,19,37,18,28,33,29
"6","PGEN_.00g295020",763,3,35,134,30,79,20,44
"7","PGEN_.00g075140",12,4,6,13,8,13,17,9
"8","PGEN_.00g261340",4,3,3,7,4,10,15,6
"9","PGEN_.00g108830",111,275,466,239,360,822,856,509
"10","PGEN_.00g097300",4,3,5,6,2,4,11,5
"11","PGEN_.00g078040",526,292,338,406,435,494,378,316
"12","PGEN_.00g334660",24,13,11,16,18,8,26,16
"13","PGEN_.00g340040",11,2,3,5,6,6,4,5
"14","PGEN_.00g047980",17,5,3,9,2,7,6,6
"15","PGEN_.00g184820",27,22,22,27,29,29,25,19
"16","PGEN_.00g178340",230,245,112,232,234,181,220,293
"17","PGEN_.00g002060",0,9,2,20,8,17,16,12
"18","PGEN_.00g006760",4,6,10,8,7,4,2,0
"19","PGEN_.00g314970",222,67,84,84,107,115,63,71
"20","PGEN_.00g037990",8,3,4,10,11,0,8,9
"21","PGEN_.00g199200",2,1,5,2,2,4,3,3
"22","PGEN_.00g195780",9,4,6,1,2,6,10,4
"23","PGEN_.00g004720",19,15,14,17,22,20,11,8
"24","PGEN_.00g219710",73,72,54,67,92,99,88,70
"25","PGEN_.00g284350",60,68,39,65,57,72,81,77
"26","PGEN_.00g245710",5,0,0,4,8,1,11,0
"27","PGEN_.00g333030",6,2,4,2,3,5,0,0
"28","PGEN_.00g044980",25,5,3,9,7,9,13,5
"29","PGEN_.00g111600",0,0,4,6,10,0,0,5
"30","PGEN_.00g101980",15,5,7,5,4,6,10,2
"31","PGEN_.00g129730",0,0,2,3,16,11,1,4
"32","PGEN_.00g005230",18,14,7,11,12,23,14,12
"33","PGEN_.00g217740",54,16,21,30,23,35,33,20
"34","PGEN_.00g010030",17,5,3,2,5,4,12,2
"35","PGEN_.00g087910",12,14,6,2,10,20,13,17
"36","PGEN_.00g243610",4,7,4,2,6,10,1,9
"37","PGEN_.00g064500",11,7,1,5,3,6,5,6
"38","PGEN_.00g121250",16,4,8,4,4,5,4,6
"39","PGEN_.00g019550",44,37,61,36,55,108,124,78
"40","PGEN_.00g347810",168,162,158,233,258,309,231,296
"41","PGEN_.00g338410",8,13,10,30,35,38,13,31
"42","PGEN_.00g010780",11,19,6,1,18,2,11,3
"43","PGEN_.00g130790",16,5,11,9,17,35,16,8
"44","PGEN_.00g044360",3,3,0,3,4,2,4,5
"45","PGEN_.00g304970",59,36,33,68,59,95,46,75
"46","PGEN_.00g218140",3,1,0,5,2,6,3,4
"47","PGEN_.00g118300",70,48,68,84,83,146,116,70
"48","PGEN_.00g163270",0,2,4,9,13,15,2,4
"49","PGEN_.00g092210",96,155,90,59,87,83,73,81
"50","PGEN_.00g242560",56,93,50,89,78,115,91,112
"51","PGEN_.00g332070",17,10,9,17,8,9,16,15
"52","PGEN_.00g266120",2,2,3,0,6,4,5,5
"53","PGEN_.00g328950",8,1,11,14,14,14,12,7
"54","PGEN_.00g122700",10,9,5,4,5,4,5,7
"55","PGEN_.00g235500",40,15,23,18,19,29,25,16
"56","PGEN_.00g065460",4,3,1,3,4,2,4,5
"57","PGEN_.00g083340",3,3,2,2,2,3,3,5
"58","PGEN_.00g018780",8,20,4,16,7,11,6,27
"59","PGEN_.00g348830",4,4,2,3,0,5,4,1
"60","PGEN_.00g314560",36,11,14,25,18,21,20,18
"61","PGEN_.00g224750",19,31,18,22,18,25,17,21
"62","PGEN_.00g269570",53,10,22,12,12,29,36,21
"63","PGEN_.00g335890",24,17,18,26,28,29,23,42
"64","PGEN_.00g343600",17,11,9,12,16,24,21,24
"65","PGEN_.00g265470",10,10,9,10,9,12,11,9
"66","PGEN_.00g242020",55,42,28,43,42,55,35,47
"67","PGEN_.00g264780",25,12,16,20,21,14,41,18
"68","PGEN_.00g325370",6,5,5,8,5,7,10,2
"69","PGEN_.00g266870",165,180,120,144,170,221,167,212
"70","PGEN_.00g049410",48,42,34,47,44,41,36,48
"71","PGEN_.00g318480",4,2,0,2,7,6,11,4
"72","PGEN_.00g085420",159,188,177,192,201,213,275,215
"73","PGEN_.00g084770",11,11,7,17,10,12,13,11
"74","PGEN_.00g347030",6,7,3,13,8,7,17,5
"75","PGEN_.00g305480",25,17,14,25,32,38,49,18
"76","PGEN_.00g147690",2,2,2,6,4,6,7,3
"77","PGEN_.00g143530",2,4,2,6,3,2,9,4
"78","PGEN_.00g057390",8,3,8,2,5,15,14,12
"79","PGEN_.00g047040",8,6,5,7,8,15,9,13
"80","PGEN_.00g073310",8,2,10,8,3,17,17,12
"81","PGEN_.00g042270",29,32,16,8,8,10,29,8
"82","PGEN_.00g298570",158,133,106,164,129,196,149,169
"83","PGEN_.00g147340",7,13,17,48,103,30,9,14
"84","PGEN_.00g025710",5,4,12,10,9,6,6,7
"85","PGEN_.00g279290",28,11,8,13,7,13,24,10
"86","PGEN_.00g094300",15,5,5,2,4,6,4,5
"87","PGEN_.00g306680",7,2,5,11,14,19,4,3
"88","PGEN_.00g085280",1,8,4,7,7,8,4,2
"89","PGEN_.00g260950",5,10,9,12,21,8,10,13
"90","PGEN_.00g201440",40,15,18,15,23,22,14,20
"91","PGEN_.00g113270",0,1,2,2,5,3,4,6
"92","PGEN_.00g084480",17,8,8,17,13,10,17,17
"93","PGEN_.00g237210",17,28,16,20,20,19,9,16
"94","PGEN_.00g164120",38,82,33,63,80,82,48,55
"95","PGEN_.00g140370",19,0,2,11,7,12,15,3
"96","PGEN_.00g024040",12,33,15,28,19,25,24,26
"97","PGEN_.00g196840",51,44,39,50,34,48,73,53
"98","PGEN_.00g297280",38,11,14,9,11,24,25,9
"99","PGEN_.00g271090",5,10,3,5,5,10,10,9
"100","PGEN_.00g144610",18,8,8,14,6,5,9,11
"101","PGEN_.00g152650",81,82,72,94,91,103,89,76
"102","PGEN_.00g113890",7,5,3,5,9,4,4,11
"103","PGEN_.00g277730",10,3,9,9,8,12,11,8
"104","PGEN_.00g011990",24,17,12,9,13,17,16,10
"105","PGEN_.00g155920",29,8,4,5,12,14,11,7
"106","PGEN_.00g043070",8,12,4,6,10,7,5,6
"107","PGEN_.00g161310",5,4,4,1,4,0,2,3
"108","PGEN_.00g282570",7,6,7,11,6,7,6,3
"109","PGEN_.00g096270",7,6,5,6,6,5,8,3
"110","PGEN_.00g162660",19,0,25,29,48,27,12,4
"111","PGEN_.00g251940",38,8,6,10,13,5,15,2
"112","PGEN_.00g092970",13,3,0,4,3,5,6,0
"113","PGEN_.00g141020",6,12,8,17,12,23,9,12
"114","PGEN_.00g329270",11,13,5,15,17,19,4,12
"115","PGEN_.00g051170",101,22,19,31,42,48,44,28
"116","PGEN_.00g165120",0,0,6,20,12,0,2,17
"117","PGEN_.00g052480",6,10,6,10,13,12,4,2
"118","PGEN_.00g258540",2243,436,289,385,451,234,526,407
"119","PGEN_.00g240040",4,4,2,3,0,2,3,0
"120","PGEN_.00g197080",71,46,66,70,77,99,101,47
"121","PGEN_.00g139900",7,10,10,1,6,8,14,9
"122","PGEN_.00g188730",6,9,2,3,4,0,7,2
"123","PGEN_.00g159400",60,92,46,86,71,98,120,110
"124","PGEN_.00g055700",70,292,153,197,211,233,163,196
"125","PGEN_.00g197330",317,214,233,347,262,476,377,419
"126","PGEN_.00g103850",11,24,12,11,19,11,1,5
"127","PGEN_.00g024220",48,18,18,37,27,29,57,16
"128","PGEN_.00g069590",4,2,4,5,12,16,4,8
"129","PGEN_.00g294360",4,8,18,21,6,8,9,6
"130","PGEN_.00g026370",12,2,4,4,1,2,8,3
"131","PGEN_.00g052730",19,19,13,23,13,17,19,11
"132","PGEN_.00g184590",11,7,2,5,3,5,5,1
"133","PGEN_.00g252550",17,42,32,4,35,33,6,27
"134","PGEN_.00g075430",0,23,27,67,20,22,20,0
"135","PGEN_.00g318920",7,2,7,10,5,14,10,9
"136","PGEN_.00g154960",132,43,56,105,80,90,132,73
"137","PGEN_.00g325630",18,20,14,28,34,44,25,24
"138","PGEN_.00g068240",10,7,2,3,4,3,1,5
"139","PGEN_.00g257450",46,55,44,63,86,84,94,77
"140","PGEN_.00g284620",3,6,2,0,2,8,3,7
"141","PGEN_.00g213400",8,6,6,5,2,5,7,6
"142","PGEN_.00g321390",109,39,19,40,46,43,71,24
"143","PGEN_.00g076310",8,5,5,8,4,11,2,5
"144","PGEN_.00g286660",16,2,6,6,0,12,12,2
"145","PGEN_.00g185640",4,7,8,0,12,2,0,7
"146","PGEN_.00g217230",4,0,2,0,0,4,5,2
"147","PGEN_.00g034990",44,38,25,50,27,46,44,51
"148","PGEN_.00g030670",111,60,63,79,85,82,89,82
"149","PGEN_.00g207860",5,4,5,6,4,8,2,4
"150","PGEN_.00g139170",539,423,379,558,603,720,644,548
"151","PGEN_.00g225640",3,4,2,3,2,2,1,1
"152","PGEN_.00g286080",60,53,54,63,91,82,68,75
"153","PGEN_.00g221730",21,8,17,9,13,14,14,5
"154","PGEN_.00g067290",0,6,0,5,6,12,4,0
"155","PGEN_.00g178960",0,0,2,0,4,5,6,3
"156","PGEN_.00g326550",4,9,6,4,7,9,4,6
"157","PGEN_.00g235740",10,2,3,5,4,5,11,3
"158","PGEN_.00g186690",26,49,56,66,55,9,5,37
"159","PGEN_.00g032120",135,117,65,106,140,154,106,138
"160","PGEN_.00g062910",268,424,165,386,274,347,336,483
"161","PGEN_.00g242070",16,15,16,20,5,40,33,34
"162","PGEN_.00g251200",8,6,8,7,18,16,8,8
"163","PGEN_.00g184270",13,5,3,8,7,4,8,8
"164","PGEN_.00g023590",45,11,14,23,11,18,17,12
"165","PGEN_.00g238240",4,0,2,2,4,1,1,6
"166","PGEN_.00g133230",16,7,8,7,8,11,12,2
"167","PGEN_.00g138220",57,17,25,30,21,29,34,25
"168","PGEN_.00g132540",122,87,97,164,119,161,120,174
"169","PGEN_.00g186520",10,7,3,8,6,6,7,0
"170","PGEN_.00g224510",35,9,11,10,8,13,31,17
"171","PGEN_.00g176510",11,17,8,11,9,9,4,5
"172","PGEN_.00g018810",1,3,2,5,4,4,4,5
"173","PGEN_.00g228610",15,3,2,3,0,2,7,5
"174","PGEN_.00g023040",24,30,27,30,17,44,34,25
"175","PGEN_.00g007170",5,5,11,13,40,20,10,3
"176","PGEN_.00g294230",55,10,8,12,15,19,26,13
"177","PGEN_.00g315360",3,2,3,1,3,3,3,6
"178","PGEN_.00g269440",3,3,2,3,1,5,3,2
"179","PGEN_.00g257530",4,5,8,4,6,5,9,7
"180","PGEN_.00g165650",8,0,5,4,4,21,4,1
"181","PGEN_.00g108110",5,2,2,0,5,3,5,2
"182","PGEN_.00g167770",106,71,73,97,91,99,98,77
"183","PGEN_.00g160200",0,6,2,4,2,10,6,7
"184","PGEN_.00g347630",16,22,18,28,14,31,22,11
"185","PGEN_.00g179770",0,2,0,8,2,4,8,7
"186","PGEN_.00g171560",21,7,9,17,16,12,24,4
"187","PGEN_.00g256260",37,38,47,74,60,84,80,78
"188","PGEN_.00g222910",56,29,18,36,43,50,62,20
"189","PGEN_.00g022310",14,47,19,26,34,51,81,56
"190","PGEN_.00g013900",26,23,29,22,24,42,22,32
"191","PGEN_.00g042470",605,543,458,385,665,396,447,485
"192","PGEN_.00g343290",21,4,4,5,10,13,9,6
"193","PGEN_.00g330030",7,16,15,11,12,46,18,17
"194","PGEN_.00g337270",7,6,5,12,6,16,17,5
"195","PGEN_.00g302240",10,20,68,57,86,77,55,93
"196","PGEN_.00g310240",8,4,6,7,9,6,12,5
"197","PGEN_.00g186570",30,4,4,6,7,8,17,7
"198","PGEN_.00g317730",32,19,23,40,40,30,30,46
"199","PGEN_.00g151200",11,0,2,9,8,8,5,6
"200","PGEN_.00g249840",17,17,6,27,30,40,33,26
"201","PGEN_.00g330240",21,14,53,51,81,84,24,9
"202","PGEN_.00g318810",109,59,67,85,96,89,94,94
"203","PGEN_.00g333910",221,111,55,73,67,34,58,72
"204","PGEN_.00g121860",7,3,7,5,6,11,9,7
"205","PGEN_.00g213360",0,39,0,0,75,0,124,70
"206","PGEN_.00g004880",28,17,23,24,33,39,31,21
"207","PGEN_.00g114970",7,7,8,9,6,16,6,15
"208","PGEN_.00g170380",12,7,10,11,7,13,9,11
"209","PGEN_.00g301920",10,185,22,98,95,45,140,169
"210","PGEN_.00g290150",21,19,0,64,79,97,62,0
"211","PGEN_.00g130050",135,105,112,207,250,268,186,173
"212","PGEN_.00g035380",25,4,1,5,2,7,10,5
"213","PGEN_.00g264900",13,4,14,8,12,15,20,27
"214","PGEN_.00g125580",43,29,17,25,21,43,44,34
"215","PGEN_.00g249150",36,34,13,26,16,20,36,39
"216","PGEN_.00g319070",12,12,11,8,13,13,22,10
"217","PGEN_.00g302780",25,12,9,8,17,27,19,10
"218","PGEN_.00g341100",5,4,2,4,5,9,3,6
"219","PGEN_.00g329070",9,6,6,6,8,17,15,10
"220","PGEN_.00g117400",10,6,11,5,6,10,9,7
"221","PGEN_.00g161660",26,28,13,29,24,44,34,17
"222","PGEN_.00g187310",30,43,6,31,30,47,49,38
"223","PGEN_.00g162310",13,10,4,2,5,22,9,7
"224","PGEN_.00g243000",6,12,11,16,7,14,20,8
"225","PGEN_.00g015410",29,28,18,20,21,12,12,21
"226","PGEN_.00g111800",89,63,54,77,98,107,63,79
"227","PGEN_.00g263300",63,74,33,33,53,39,22,48
"228","PGEN_.00g019740",20,5,11,17,11,16,21,15
"229","PGEN_.00g027220",30,18,20,18,22,19,29,30
"230","PGEN_.00g338620",34,14,10,18,16,34,20,12
"231","PGEN_.00g304830",9,23,18,20,23,13,18,31
"232","PGEN_.00g208930",103,46,79,82,88,110,83,90
"233","PGEN_.00g017810",7,3,11,3,6,6,6,11
"234","PGEN_.00g145810",4,2,2,3,5,5,3,2
"235","PGEN_.00g231090",7,9,6,0,4,3,2,4
"236","PGEN_.00g318380",3,7,4,11,30,44,9,8
"237","PGEN_.00g303430",14,3,4,10,6,6,9,5
"238","PGEN_.00g225360",22,12,10,18,18,49,17,24
"239","PGEN_.00g027590",27,5,6,4,4,25,27,6
"240","PGEN_.00g248400",3,6,0,1,3,1,2,6
"241","PGEN_.00g332130",25,17,18,28,16,31,12,18
"242","PGEN_.00g304780",48,27,26,34,33,45,61,35
"243","PGEN_.00g000760",10,6,2,7,5,8,8,5
"244","PGEN_.00g323730",15,15,6,10,6,5,15,9
"245","PGEN_.00g316570",0,5,2,2,6,2,3,5
"246","PGEN_.00g318030",0,4,3,4,2,5,5,4
"247","PGEN_.00g315000",15,7,3,8,5,2,5,6
"248","PGEN_.00g328850",0,15,6,14,10,13,8,21
"249","PGEN_.00g300200",56,36,25,16,9,23,28,17
"250","PGEN_.00g274960",9,14,11,7,7,14,12,13
"251","PGEN_.00g323080",14,10,2,6,4,6,7,3
"252","PGEN_.00g026170",97,34,36,39,44,64,57,48
"253","PGEN_.00g116460",8,44,14,17,16,38,19,24
"254","PGEN_.00g028310",44,32,21,28,45,37,52,30
"255","PGEN_.00g053260",6,4,5,5,6,5,2,3
"256","PGEN_.00g167230",0,0,0,6,4,14,5,0
"257","PGEN_.00g346220",8,4,0,2,2,15,3,1
"258","PGEN_.00g055850",161,236,170,249,186,268,282,389
"259","PGEN_.00g114190",35,30,12,12,15,17,29,16
"260","PGEN_.00g262160",5,10,7,7,6,8,6,11
"261","PGEN_.00g319920",0,2,9,10,39,10,9,27
"262","PGEN_.00g247650",10,4,27,40,88,64,27,12
"263","PGEN_.00g279820",30,15,33,36,45,39,33,22
"264","PGEN_.00g018590",11,4,6,5,5,14,16,5
"265","PGEN_.00g021330",52,89,37,112,84,123,75,110
"266","PGEN_.00g140940",4,3,1,2,3,2,1,5
"267","PGEN_.00g082600",21,19,13,17,22,31,15,32
"268","PGEN_.00g236040",14,2,0,0,3,7,10,3
"269","PGEN_.00g146730",77,42,57,62,42,46,73,62
"270","PGEN_.00g274340",17,4,10,7,24,12,17,20
"271","PGEN_.00g301550",29,26,19,10,14,29,34,23
"272","PGEN_.00g281850",11,5,6,7,9,10,10,7
"273","PGEN_.00g076150",44,38,21,46,30,47,40,38
"274","PGEN_.00g347170",10,4,4,5,5,3,1,3
"275","PGEN_.00g233630",81,57,20,73,44,36,55,68
"276","PGEN_.00g110440",45,17,22,29,27,62,63,31
"277","PGEN_.00g120870",4,3,3,8,6,8,5,4
"278","PGEN_.00g237390",22,8,2,6,5,6,22,3
"279","PGEN_.00g143760",18,8,6,4,8,8,4,8
"280","PGEN_.00g139370",344,142,152,182,169,259,245,225
"281","PGEN_.00g231770",6,2,2,6,9,11,4,2
"282","PGEN_.00g014730",2,3,2,7,3,0,0,6
"283","PGEN_.00g306520",3,9,5,0,7,8,5,4
"284","PGEN_.00g140490",0,62,16,82,56,40,10,107
"285","PGEN_.00g290110",19,13,12,12,17,17,37,9
"286","PGEN_.00g245240",11,6,11,16,8,7,11,7
"287","PGEN_.00g237020",23,10,6,6,11,5,6,10
"288","PGEN_.00g073500",63,13,50,34,32,120,93,53
"289","PGEN_.00g153480",5,9,2,6,0,11,10,4
"290","PGEN_.00g025520",81,61,68,91,65,98,80,116
"291","PGEN_.00g291860",15,37,32,23,38,40,16,41
"292","PGEN_.00g106210",7,9,4,8,10,0,0,3
"293","PGEN_.00g156050",6,14,16,20,25,21,22,18
"294","PGEN_.00g280810",4,2,2,5,2,0,4,0
"295","PGEN_.00g321620",52,45,48,68,77,145,101,55
"296","PGEN_.00g155880",6,11,7,29,33,50,23,42
"297","PGEN_.00g153730",4,3,2,0,0,2,4,2
"298","PGEN_.00g206930",2,7,7,18,19,29,7,10
"299","PGEN_.00g225480",5,6,6,4,2,6,35,3
"300","PGEN_.00g099750",36,16,18,13,14,16,20,12
"301","PGEN_.00g272930",19,39,13,11,21,18,26,17
"302","PGEN_.00g091560",17,29,29,38,31,68,34,40
"303","PGEN_.00g140230",151,103,82,150,150,138,203,105
"304","PGEN_.00g214470",9,8,2,7,6,20,6,15
"305","PGEN_.00g328060",13,16,21,14,11,31,26,18
"306","PGEN_.00g348410",30,24,17,24,26,37,31,19
"307","PGEN_.00g215700",14,5,5,3,5,9,8,4
"308","PGEN_.00g186320",13,13,9,7,12,23,12,8
"309","PGEN_.00g291240",51,49,35,80,69,69,53,77
"310","PGEN_.00g230550",56,41,14,24,24,27,21,19
"311","PGEN_.00g174000",3,1,5,7,1,0,3,7
"312","PGEN_.00g088520",68,49,48,52,49,41,50,56
"313","PGEN_.00g036380",23,18,9,6,21,22,25,21
"314","PGEN_.00g023200",23,5,7,10,6,6,16,5
"315","PGEN_.00g189360",0,0,4,0,2,16,11,3
"316","PGEN_.00g229850",6,8,5,17,11,11,12,0
"317","PGEN_.00g148380",6,0,4,2,7,0,6,2
"318","PGEN_.00g281030",14,4,0,2,2,6,8,5
"319","PGEN_.00g054660",103,48,62,78,31,91,81,71
"320","PGEN_.00g008750",13,13,18,16,19,18,15,9
"321","PGEN_.00g068890",0,7,24,26,13,17,21,12
"322","PGEN_.00g066940",3,0,1,3,5,1,2,3
"323","PGEN_.00g123440",0,7,7,6,8,8,4,4
"324","PGEN_.00g104100",4,0,4,3,2,2,5,2
"325","PGEN_.00g172310",54,46,24,49,55,51,52,47
"326","PGEN_.00g256060",12,7,6,17,4,3,10,6
"327","PGEN_.00g093870",0,2,2,8,4,6,2,0
"328","PGEN_.00g205650",21,6,8,4,11,16,14,11
"329","PGEN_.00g212160",20,11,8,8,4,7,26,12
"330","PGEN_.00g052670",19,2,9,19,13,16,16,12
"331","PGEN_.00g038090",36,22,17,49,48,50,64,49
"332","PGEN_.00g197270",28,10,9,6,8,9,24,19
"333","PGEN_.00g175340",6,0,5,5,11,3,0,4
"334","PGEN_.00g059660",2,2,4,3,3,6,6,4
"335","PGEN_.00g259260",77,61,54,53,69,59,95,63
"336","PGEN_.00g142400",7,2,2,6,5,11,6,2
"337","PGEN_.00g248360",2,3,2,0,10,8,19,1
"338","PGEN_.00g257080",18,3,5,10,11,21,5,5
"339","PGEN_.00g009930",59,71,252,342,734,413,71,101
"340","PGEN_.00g293830",0,0,80,99,131,11,2,8
"341","PGEN_.00g069410",18,3,3,4,1,2,15,2
"342","PGEN_.00g105270",6,7,4,7,9,12,19,6
"343","PGEN_.00g109550",2,0,3,3,1,4,6,2
"344","PGEN_.00g154020",19,0,2,0,2,5,19,11
"345","PGEN_.00g157590",38,28,18,24,35,43,41,19
"346","PGEN_.00g202340",420,427,453,359,391,601,583,453
"347","PGEN_.00g134170",17,8,9,13,11,10,11,16
"348","PGEN_.00g256930",19,20,6,12,14,17,20,14
"349","PGEN_.00g072590",0,2,5,0,5,7,0,6
"350","PGEN_.00g150610",21,41,37,32,46,52,21,37
"351","PGEN_.00g206100",76,97,61,120,118,138,120,107
"352","PGEN_.00g157040",81,44,30,54,40,44,50,64
"353","PGEN_.00g080030",72,37,35,28,55,89,45,40
"354","PGEN_.00g213610",33,33,33,37,53,50,53,43
"355","PGEN_.00g034810",271,249,179,231,198,297,298,242
"356","PGEN_.00g130690",2,7,5,6,5,6,9,4
"357","PGEN_.00g175660",32,53,44,73,72,141,92,70
"358","PGEN_.00g035140",83,20,24,40,40,42,87,37
"359","PGEN_.00g060430",100,105,74,112,90,184,197,99
"360","PGEN_.00g064390",4,0,3,20,16,36,18,1
"361","PGEN_.00g046970",83,59,33,0,29,25,44,19
"362","PGEN_.00g045400",19,29,18,24,16,20,5,23
"363","PGEN_.00g332680",112,34,19,32,26,39,50,25
"364","PGEN_.00g220790",36,44,36,38,38,52,29,38
"365","PGEN_.00g313720",77,56,63,79,82,113,93,58
"366","PGEN_.00g290870",60,109,103,77,148,146,57,109
"367","PGEN_.00g267240",211,105,139,194,183,235,232,198
"368","PGEN_.00g096960",4,0,2,2,2,1,3,4
"369","PGEN_.00g123250",4,4,3,4,5,5,5,2
"370","PGEN_.00g156310",38,16,9,12,25,43,42,8
"371","PGEN_.00g087560",17,3,25,3,28,17,36,22
"372","PGEN_.00g064970",19,14,19,6,50,15,29,3
"373","PGEN_.00g344440",0,2,5,9,4,11,8,0
"374","PGEN_.00g255620",19,3,6,7,9,24,13,2
"375","PGEN_.00g219460",207,194,189,197,172,246,282,227
"376","PGEN_.00g286430",237,26,59,25,60,74,460,24
"377","PGEN_.00g211610",45,21,22,41,27,47,47,38
"378","PGEN_.00g250050",13,371,302,292,233,238,11,215
"379","PGEN_.00g187440",21,32,14,29,11,30,25,43
"380","PGEN_.00g214130",75,104,70,102,199,229,118,88
"381","PGEN_.00g221670",61,64,40,100,82,147,115,81
"382","PGEN_.00g043800",89,40,34,24,37,24,54,23
"383","PGEN_.00g020270",14,10,4,9,10,7,17,15
"384","PGEN_.00g312090",215,511,334,484,500,544,284,508
"385","PGEN_.00g007030",30,10,21,14,24,33,40,20
"386","PGEN_.00g294700",63,16,8,16,6,12,36,27
"387","PGEN_.00g006920",5,4,14,12,15,5,18,4
"388","PGEN_.00g314730",11,9,6,7,12,9,14,3
"389","PGEN_.00g132990",8,3,2,2,4,2,3,4
"390","PGEN_.00g345310",14,2,5,4,3,1,15,5
"391","PGEN_.00g311010",5,2,15,15,21,22,9,15
"392","PGEN_.00g262360",10,5,9,8,6,8,10,3
"393","PGEN_.00g171480",108,39,30,45,42,60,96,50
"394","PGEN_.00g278650",9,13,6,14,5,13,8,9
"395","PGEN_.00g346750",14,3,7,5,4,5,9,5
"396","PGEN_.00g048970",12,4,4,14,11,25,27,15
"397","PGEN_.00g342040",16,3,3,3,5,2,11,5
"398","PGEN_.00g314190",106,43,51,53,48,79,62,46
"399","PGEN_.00g043110",7,11,21,20,5,9,14,10
"400","PGEN_.00g037170",67,106,68,127,101,142,89,162
"401","PGEN_.00g262980",24,5,1,2,3,4,16,3
"402","PGEN_.00g123880",20,18,19,20,24,23,41,14
"403","PGEN_.00g108320",2,10,5,0,0,2,3,4
"404","PGEN_.00g284730",7,2,2,6,3,3,0,3
"405","PGEN_.00g160070",13,5,2,9,13,17,20,18
"406","PGEN_.00g347400",10,3,3,4,5,2,3,2
"407","PGEN_.00g034480",35,26,11,13,21,25,23,20
"408","PGEN_.00g038100",14,4,7,18,7,14,18,10
"409","PGEN_.00g239700",58,85,64,75,56,96,89,78
"410","PGEN_.00g260270",4,2,4,1,3,4,3,2
"411","PGEN_.00g341800",68,38,45,84,92,110,35,69
"412","PGEN_.00g200160",15,13,7,15,13,16,12,9
"413","PGEN_.00g344830",18,0,6,1,5,6,7,4
"414","PGEN_.00g084050",70,59,59,56,42,53,57,47
"415","PGEN_.00g170460",7,5,4,7,4,4,13,5
"416","PGEN_.00g237620",24,2,10,7,10,19,21,11
"417","PGEN_.00g037820",2,0,9,5,24,14,2,2
"418","PGEN_.00g335550",110,43,71,56,47,119,100,52
"419","PGEN_.00g233530",3,3,5,7,7,6,1,6
"420","PGEN_.00g049760",41,51,26,25,43,40,27,47
"421","PGEN_.00g080990",55,28,19,44,30,44,60,39
"422","PGEN_.00g318990",0,3,5,4,5,2,0,0
"423","PGEN_.00g041510",6,4,8,9,16,8,2,6
"424","PGEN_.00g199910",14,7,6,8,17,5,8,8
"425","PGEN_.00g141290",13,17,4,21,18,14,8,12
"426","PGEN_.00g233280",141,145,137,163,198,193,182,143
"427","PGEN_.00g178270",25,31,20,21,13,41,40,28
"428","PGEN_.00g001310",10,5,5,7,10,15,7,3
"429","PGEN_.00g126460",4,4,3,3,4,8,2,3
"430","PGEN_.00g230390",4,5,3,1,1,5,3,6
"431","PGEN_.00g268800",9,8,5,10,0,10,20,4
"432","PGEN_.00g113990",9,21,17,11,15,14,21,22
"433","PGEN_.00g313650",6,12,16,13,4,9,13,2
"434","PGEN_.00g188210",5,2,4,5,4,14,3,6
"435","PGEN_.00g039760",772,92,131,159,96,83,133,138
"436","PGEN_.00g307100",4180,2723,2697,3643,3017,3084,3887,2929
"437","PGEN_.00g117670",8,8,6,10,10,14,4,17
"438","PGEN_.00g338780",10,13,4,6,9,16,15,10
"439","PGEN_.00g192820",41,32,10,17,12,27,11,19
"440","PGEN_.00g013880",18,21,27,25,46,29,36,20
"441","PGEN_.00g014970",14,6,5,13,7,2,17,7
"442","PGEN_.00g085820",68,56,56,53,50,68,51,63
"443","PGEN_.00g208010",25,15,14,25,27,21,22,20
"444","PGEN_.00g044870",12,9,3,15,3,5,13,3
"445","PGEN_.00g155570",12,11,29,49,33,48,42,43
"446","PGEN_.00g338870",0,0,9,6,3,16,0,3
"447","PGEN_.00g304660",4,4,4,15,6,10,9,4
"448","PGEN_.00g149140",26,16,31,31,25,41,34,18
"449","PGEN_.00g198390",37,22,12,20,22,26,25,24
"450","PGEN_.00g285250",4,4,5,3,0,6,3,0
"451","PGEN_.00g329600",25,29,24,41,30,44,45,33
"452","PGEN_.00g135260",0,1,4,8,3,2,0,3
"453","PGEN_.00g068700",8,6,3,19,20,31,22,14
"454","PGEN_.00g269040",26,7,4,7,12,26,12,7
"455","PGEN_.00g272770",0,0,3,8,4,4,9,2
"456","PGEN_.00g119890",219,136,138,179,128,196,192,137
"457","PGEN_.00g017170",48,23,34,52,56,108,66,43
"458","PGEN_.00g017990",77,56,54,56,76,138,130,83
"459","PGEN_.00g115120",54,20,41,26,18,7,29,15
"460","PGEN_.00g243270",127,120,83,140,157,196,147,145
"461","PGEN_.00g251360",32,21,12,32,20,41,30,17
"462","PGEN_.00g167910",23,21,16,25,22,32,15,22
"463","PGEN_.00g122360",0,0,2,0,4,7,8,3
"464","PGEN_.00g038320",8,5,7,4,11,5,6,7
