"","Gene.ID","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"7739","PGEN_.00g145720",9,9,7,15,18,12,12,10
"7740","PGEN_.00g108560",816,977,660,906,1183,971,900,958
"7741","PGEN_.00g288540",23,7,4,9,10,11,12,12
"7742","PGEN_.00g218950",1,3,6,1,4,4,4,2
"7743","PGEN_.00g097690",22,43,37,21,34,34,25,32
"7744","PGEN_.00g215530",4,3,2,3,4,7,5,10
"7745","PGEN_.00g136450",95,48,27,38,35,84,61,41
"7746","PGEN_.00g212620",6,0,2,4,0,3,6,0
"7747","PGEN_.00g058830",30,161,118,164,171,183,118,191
"7748","PGEN_.00g065720",23,11,3,12,8,8,14,4
"7749","PGEN_.00g202130",4,7,11,12,10,17,7,9
"7750","PGEN_.00g105660",18,11,8,23,16,23,10,13
"7751","PGEN_.00g176230",199,113,130,178,147,237,143,232
"7752","PGEN_.00g047940",31,38,23,31,35,32,26,44
"7753","PGEN_.00g184860",9,2,4,6,0,3,5,2
"7754","PGEN_.00g227200",28,7,10,18,16,9,16,14
"7755","PGEN_.00g074850",9,46,63,72,81,58,65,51
"7756","PGEN_.00g046010",332,116,175,73,173,268,264,139
"7757","PGEN_.00g317920",0,5,0,5,2,0,5,4
"7758","PGEN_.00g079680",32,28,18,20,33,18,5,23
"7759","PGEN_.00g021050",2,1,4,4,5,6,4,14
"7760","PGEN_.00g284310",7,5,10,3,4,11,2,6
"7761","PGEN_.00g213170",22,16,12,20,22,15,20,17
"7762","PGEN_.00g038650",2,3,6,9,2,11,7,6
"7763","PGEN_.00g339210",10,5,6,22,12,7,9,9
"7764","PGEN_.00g120650",73,35,28,40,39,42,38,21
"7765","PGEN_.00g039520",18,51,206,312,549,469,95,111
"7766","PGEN_.00g226550",25,17,16,19,25,26,32,31
"7767","PGEN_.00g213280",6,2,11,6,7,20,0,6
"7768","PGEN_.00g130200",115,123,110,131,135,172,152,160
"7769","PGEN_.00g303150",13,18,16,14,26,45,14,21
"7770","PGEN_.00g045090",46,16,30,42,53,48,41,34
"7771","PGEN_.00g287660",4,3,5,1,2,2,6,0
"7772","PGEN_.00g280950",4,4,5,8,21,35,6,2
"7773","PGEN_.00g332300",129,154,70,156,118,181,148,120
"7774","PGEN_.00g126110",3,6,4,0,6,4,5,5
"7775","PGEN_.00g184520",6,1,4,8,6,14,2,11
"7776","PGEN_.00g213820",40,31,8,8,12,13,19,20
"7777","PGEN_.00g312400",47,47,20,46,19,62,50,51
"7778","PGEN_.00g218100",47,69,34,44,68,69,31,49
"7779","PGEN_.00g210730",16,11,17,18,11,29,13,13
"7780","PGEN_.00g011740",29,7,9,16,23,23,31,17
"7781","PGEN_.00g211460",9,0,3,6,11,5,15,12
"7782","PGEN_.00g016770",58,18,16,14,24,35,48,24
"7783","PGEN_.00g067010",204,206,216,365,300,529,336,517
