"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","crg00970","Aminoacyl-tRNA biosynthesis","4 of 18","66/3838",0.000203686548960902,0.00285161168545263,0.00214406893643055,"105320309/105327616/105330840/105332324",4
"2","crg03010","Ribosome","4 of 18","142/3838",0.00366624355918587,0.0256637049143011,0.0192960187325572,"105318421/105327930/105335427/105347208",4
