"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","DNA-binding transcription factor ac...","GO:0003700",1,"GO:0000981","GO:0000981",16,"PGEN_.00g002850;PGEN_.00g019640;PGEN_.00g019730;PGEN_.00g027140;PGEN_.00g027270;PGEN_.00g045570;PGEN_.00g056570;PGEN_.00g070910;PGEN_.00g117060;PGEN_.00g121130;PGEN_.00g179850;PGEN_.00g180930;PGEN_.00g233540;PGEN_.00g259100;PGEN_.00g267200;PGEN_.00g290800","Day21_magenta"
"2","ATPase activity","GO:0016887",1,"GO:0003724","GO:0003724",7,"PGEN_.00g152190;PGEN_.00g167670;PGEN_.00g188120;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g244000;PGEN_.00g244930","Day21_magenta"
"3","helicase activity","GO:0004386",1,"GO:0003724","GO:0003724",7,"PGEN_.00g152190;PGEN_.00g167670;PGEN_.00g188120;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g244000;PGEN_.00g244930","Day21_magenta"
"4","RNA binding","GO:0003723",11,"GO:0003729","GO:0003729;GO:0003730;GO:0003743;GO:0003746;GO:0008266;GO:0019843;GO:0033592;GO:0034046;GO:0048027;GO:0070181",34,"PGEN_.00g000530;PGEN_.00g000750;PGEN_.00g031190;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g059620;PGEN_.00g073540;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g094340;PGEN_.00g103530;PGEN_.00g115400;PGEN_.00g122640;PGEN_.00g122660;PGEN_.00g129890;PGEN_.00g131540;PGEN_.00g156700;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g200880;PGEN_.00g200900;PGEN_.00g225250;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g229190;PGEN_.00g266160;PGEN_.00g281780;PGEN_.00g282230;PGEN_.00g288180;PGEN_.00g303450;PGEN_.00g314640;PGEN_.00g315270;PGEN_.00g328470","Day21_magenta"
"5","mRNA binding","GO:0003729",3,"GO:0003730","GO:0003730;GO:0048027",11,"PGEN_.00g000530;PGEN_.00g046400;PGEN_.00g115400;PGEN_.00g122640;PGEN_.00g122660;PGEN_.00g163590;PGEN_.00g200880;PGEN_.00g225360;PGEN_.00g226100;PGEN_.00g282230;PGEN_.00g328470","Day21_magenta"
"6","structural molecule activity","GO:0005198",2,"GO:0003735","GO:0003735;GO:0005200",60,"PGEN_.00g000530;PGEN_.00g003630;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g035120;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g044880;PGEN_.00g046400;PGEN_.00g048620;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g059620;PGEN_.00g066340;PGEN_.00g067550;PGEN_.00g073640;PGEN_.00g074330;PGEN_.00g076830;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g103530;PGEN_.00g104520;PGEN_.00g110580;PGEN_.00g129960;PGEN_.00g130250;PGEN_.00g153200;PGEN_.00g153380;PGEN_.00g156700;PGEN_.00g158330;PGEN_.00g161760;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g189090;PGEN_.00g193610;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g200880;PGEN_.00g208760;PGEN_.00g229190;PGEN_.00g233580;PGEN_.00g240620;PGEN_.00g254000;PGEN_.00g260760;PGEN_.00g270690;PGEN_.00g274530;PGEN_.00g281780;PGEN_.00g287540;PGEN_.00g291940;PGEN_.00g303220;PGEN_.00g303450;PGEN_.00g305240;PGEN_.00g307650;PGEN_.00g309420;PGEN_.00g310720;PGEN_.00g312410;PGEN_.00g329110;PGEN_.00g329160;PGEN_.00g346720","Day21_magenta"
"7","translation factor activity, RNA bi...","GO:0008135",2,"GO:0003743","GO:0003743;GO:0003746",10,"PGEN_.00g000750;PGEN_.00g031190;PGEN_.00g076150;PGEN_.00g082590;PGEN_.00g129890;PGEN_.00g131540;PGEN_.00g266160;PGEN_.00g288180;PGEN_.00g314640;PGEN_.00g315270","Day21_magenta"
"8","transmembrane transporter activity","GO:0022857",9,"GO:0004129","GO:0004129;GO:0005452;GO:0008320;GO:0008381;GO:0008510;GO:0015078;GO:0015095;GO:0015301;GO:0046933",22,"PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g037770;PGEN_.00g042540;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g098410;PGEN_.00g108520;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g149020;PGEN_.00g173330;PGEN_.00g175580;PGEN_.00g202340;PGEN_.00g220360;PGEN_.00g224000;PGEN_.00g224060;PGEN_.00g247150;PGEN_.00g268050;PGEN_.00g268200;PGEN_.00g273210;PGEN_.00g336000","Day21_magenta"
"9","oxidoreductase activity","GO:0016491",4,"GO:0004129","GO:0004129;GO:0008137;GO:0015035;GO:0016716",15,"PGEN_.00g045080;PGEN_.00g133830;PGEN_.00g149020;PGEN_.00g156920;PGEN_.00g168590;PGEN_.00g169010;PGEN_.00g173330;PGEN_.00g175650;PGEN_.00g187490;PGEN_.00g187500;PGEN_.00g189740;PGEN_.00g192240;PGEN_.00g220490;PGEN_.00g230250;PGEN_.00g234710","Day21_magenta"
"10","peptidase activity","GO:0008233",2,"GO:0004197","GO:0004197;GO:0016805",11,"PGEN_.00g041020;PGEN_.00g157590;PGEN_.00g170110;PGEN_.00g170120;PGEN_.00g195430;PGEN_.00g195450;PGEN_.00g195840;PGEN_.00g195860;PGEN_.00g212830;PGEN_.00g323120;PGEN_.00g347550","Day21_magenta"
"11","kinase activity","GO:0016301",1,"GO:0004674","GO:0004674",19,"PGEN_.00g001990;PGEN_.00g003090;PGEN_.00g018750;PGEN_.00g024430;PGEN_.00g050570;PGEN_.00g056490;PGEN_.00g056570;PGEN_.00g066340;PGEN_.00g150730;PGEN_.00g153790;PGEN_.00g197080;PGEN_.00g216500;PGEN_.00g218100;PGEN_.00g223430;PGEN_.00g223580;PGEN_.00g274850;PGEN_.00g282040;PGEN_.00g293460;PGEN_.00g329110","Day21_magenta"
"12","ligase activity","GO:0016874",1,"GO:0004839","GO:0004839",2,"PGEN_.00g206570;PGEN_.00g213190","Day21_magenta"
"13","protein-macromolecule adaptor activ...","GO:0030674",3,"GO:0005484","GO:0005484;GO:0030159;GO:0035591",8,"PGEN_.00g013560;PGEN_.00g035110;PGEN_.00g050590;PGEN_.00g052400;PGEN_.00g146410;PGEN_.00g149180;PGEN_.00g219310;PGEN_.00g308160","Day21_magenta"
"14","ion binding","GO:0043167",2,"GO:0005507","GO:0005507;GO:0031406",10,"PGEN_.00g043110;PGEN_.00g045080;PGEN_.00g081770;PGEN_.00g168590;PGEN_.00g169010;PGEN_.00g187490;PGEN_.00g187500;PGEN_.00g234710;PGEN_.00g279740;PGEN_.00g322180","Day21_magenta"
