"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","transport","GO:0006810",7,"GO:0006869","GO:0006869;GO:0006886;GO:0006897;GO:0006898;GO:0015031;GO:0043312;GO:0055085",87,"PGEN_.00g001690;PGEN_.00g008030;PGEN_.00g012190;PGEN_.00g013860;PGEN_.00g019550;PGEN_.00g024130;PGEN_.00g034470;PGEN_.00g036040;PGEN_.00g036100;PGEN_.00g040080;PGEN_.00g041520;PGEN_.00g043260;PGEN_.00g056330;PGEN_.00g057120;PGEN_.00g062920;PGEN_.00g063900;PGEN_.00g064700;PGEN_.00g069930;PGEN_.00g069940;PGEN_.00g073290;PGEN_.00g075760;PGEN_.00g079680;PGEN_.00g080180;PGEN_.00g083720;PGEN_.00g091340;PGEN_.00g113740;PGEN_.00g114930;PGEN_.00g120330;PGEN_.00g132070;PGEN_.00g132090;PGEN_.00g147170;PGEN_.00g148110;PGEN_.00g150640;PGEN_.00g155710;PGEN_.00g156310;PGEN_.00g162260;PGEN_.00g169480;PGEN_.00g171520;PGEN_.00g178110;PGEN_.00g181780;PGEN_.00g192760;PGEN_.00g198530;PGEN_.00g199100;PGEN_.00g199150;PGEN_.00g204640;PGEN_.00g205320;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g207950;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g213930;PGEN_.00g214130;PGEN_.00g229320;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g236720;PGEN_.00g243370;PGEN_.00g250810;PGEN_.00g252080;PGEN_.00g272730;PGEN_.00g273910;PGEN_.00g273940;PGEN_.00g279590;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g288810;PGEN_.00g294670;PGEN_.00g297280;PGEN_.00g297430;PGEN_.00g305670;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g316080;PGEN_.00g318960;PGEN_.00g319270;PGEN_.00g323600;PGEN_.00g331740;PGEN_.00g332010;PGEN_.00g337320;PGEN_.00g338640;PGEN_.00g339700;PGEN_.00g343270;PGEN_.00g348850","Day21_blue"
"2","protein transport","GO:0015031",2,"GO:0006886","GO:0006886",26,"PGEN_.00g001690;PGEN_.00g012190;PGEN_.00g024130;PGEN_.00g036100;PGEN_.00g040080;PGEN_.00g062920;PGEN_.00g069930;PGEN_.00g069940;PGEN_.00g083720;PGEN_.00g132090;PGEN_.00g147170;PGEN_.00g148110;PGEN_.00g155710;PGEN_.00g162260;PGEN_.00g181780;PGEN_.00g192760;PGEN_.00g198530;PGEN_.00g199100;PGEN_.00g208790;PGEN_.00g214130;PGEN_.00g272730;PGEN_.00g297430;PGEN_.00g305960;PGEN_.00g313920;PGEN_.00g331740;PGEN_.00g338640","Day21_blue"
"3","vesicle-mediated transport","GO:0016192",3,"GO:0006897","GO:0006897;GO:0006898;GO:0043312",31,"PGEN_.00g019550;PGEN_.00g036040;PGEN_.00g041520;PGEN_.00g056330;PGEN_.00g057120;PGEN_.00g062920;PGEN_.00g063900;PGEN_.00g073290;PGEN_.00g075760;PGEN_.00g079680;PGEN_.00g080180;PGEN_.00g091340;PGEN_.00g147170;PGEN_.00g169480;PGEN_.00g198530;PGEN_.00g204640;PGEN_.00g205860;PGEN_.00g213930;PGEN_.00g229320;PGEN_.00g236720;PGEN_.00g252080;PGEN_.00g282910;PGEN_.00g283520;PGEN_.00g284150;PGEN_.00g288810;PGEN_.00g297280;PGEN_.00g323600;PGEN_.00g332010;PGEN_.00g339700;PGEN_.00g343270;PGEN_.00g348850","Day21_blue"
"4","immune system process","GO:0002376",2,"GO:0043312","GO:0043312;GO:0045087",27,"PGEN_.00g036040;PGEN_.00g057120;PGEN_.00g063900;PGEN_.00g064390;PGEN_.00g067470;PGEN_.00g079680;PGEN_.00g087530;PGEN_.00g091340;PGEN_.00g169480;PGEN_.00g173140;PGEN_.00g179510;PGEN_.00g196100;PGEN_.00g196490;PGEN_.00g212450;PGEN_.00g219930;PGEN_.00g219960;PGEN_.00g236720;PGEN_.00g250810;PGEN_.00g252080;PGEN_.00g256280;PGEN_.00g270660;PGEN_.00g276360;PGEN_.00g288810;PGEN_.00g291860;PGEN_.00g332010;PGEN_.00g339700;PGEN_.00g348850","Day21_blue"
"5","response to stress","GO:0006950",1,"GO:0045087","GO:0045087",18,"PGEN_.00g064390;PGEN_.00g067470;PGEN_.00g079680;PGEN_.00g087530;PGEN_.00g091340;PGEN_.00g173140;PGEN_.00g179510;PGEN_.00g196100;PGEN_.00g196490;PGEN_.00g212450;PGEN_.00g219930;PGEN_.00g219960;PGEN_.00g236720;PGEN_.00g250810;PGEN_.00g256280;PGEN_.00g270660;PGEN_.00g276360;PGEN_.00g291860","Day21_blue"
"6","catabolic process","GO:0009056",1,"GO:0051603","GO:0051603",11,"PGEN_.00g003240;PGEN_.00g006380;PGEN_.00g025650;PGEN_.00g103520;PGEN_.00g193090;PGEN_.00g193120;PGEN_.00g208780;PGEN_.00g274640;PGEN_.00g298200;PGEN_.00g298410;PGEN_.00g345680","Day21_blue"
