"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"1","PGEN_.00g213760",26.7876092603463,-2.76987747473602,0.43571195721749,-6.35712981673673,2.0555827016866e-10,2.30492488340119e-06,7.44588914692788,38.3987278152189,3.95927454500079,34.3471296709443,7.00049643544927,60.6175460316903,8.49242288210159,54.0393875554375
"2","PGEN_.00g258390",26.7928963701507,-2.69654425509124,0.439858417635881,-6.13048232561838,8.76130504589255e-10,4.91202567397966e-06,6.61856813060256,32.5807387523069,11.8778236350024,56.9181005975648,5.00035459674948,39.362042877721,5.94469601747111,56.0408463537871
"3","PGEN_.00g286210",226.256450642176,-1.30115304659339,0.239147084777108,-5.44080663916977,5.30398589586482e-08,0.000175691696443897,115.824942285545,296.71744220851,149.132674528363,350.340722643632,117.008297563938,248.768110987197,140.974219842886,391.285195077335
"4","PGEN_.00g250510",41.0634760402138,-2.47492260934305,0.457387411354661,-5.41099852751298,6.26742875033966e-08,0.000175691696443897,6.61856813060256,73.3066621926906,21.1161309066709,48.085981539322,15.0010637902484,48.808933168374,8.49242288210159,107.0780457117
"5","PGEN_.00g286450",154.349953891746,-2.04096249824295,0.423406930576444,-4.82033323229805,1.4331862136931e-06,0.00267838616902346,44.6753348815673,272.281888144279,69.9471836283472,264.963571747285,65.0046097577433,82.6602900432141,61.9946870393416,373.272065892189
"6","PGEN_.00g261200",149.748904609941,-2.40281171102461,0.49820967267741,-4.82289253460645,1.41491211722026e-06,0.00267838616902346,19.0283833754824,315.335007209828,50.1508109033433,81.4517646482393,75.0053189512422,244.04466584187,46.7083258515587,366.266960097966
"7","PGEN_.00g314840",32.1668159209422,1.96148125870993,0.420687912131193,4.66255673659155,3.12304947488645e-06,0.00500267910884311,61.2217552080737,22.1083584390654,29.0346799966724,10.7948121822968,60.0042551609938,8.65964943309862,53.50226415724,12.0087527900972
"8","PGEN_.00g286430",107.707132192769,2.39948751298117,0.571629280232581,4.19762877087906,2.69724294052491e-05,0.0365053900340046,196.075080869101,30.2535431271421,77.8657327183488,24.5336640506745,60.0042551609938,58.2558234590271,390.651452576673,24.0175055801945
"9","PGEN_.00g132550",25.574361417971,-1.60877607665089,0.389985480848484,-4.12522043936279,3.7037983261673e-05,0.0365053900340046,11.5824942285545,47.707510315878,6.59879090833464,33.3657831089173,19.001347467648,38.5748020201666,12.7386343231524,35.0255289711169
"10","PGEN_.00g025020",46.5153881813558,-1.68248753500882,0.406006786716315,-4.14398869687962,3.41316574326747e-05,0.0365053900340046,13.2371362612051,82.6154446933497,15.8370981800031,44.1605952912141,25.0017729837474,95.2561437640848,33.9696915284064,62.0452227488357
"11","PGEN_.00g315040",26.0596322297845,2.02820173560893,0.486131936228732,4.1721219785376,3.01776000933636e-05,0.0365053900340046,58.7397921590977,17.4539671887359,27.7149218150055,6.86942593418886,53.0037587255445,5.51068600288094,27.1757532227251,12.0087527900972
"12","PGEN_.00g006280",73.1281346198794,-1.23583022798822,0.300474708437294,-4.11292595778032,3.90675716051061e-05,0.0365053900340046,32.2655196366875,90.7606293814264,43.5520199950087,127.575053063507,59.0041842416439,81.8730491856597,39.9143875458775,110.080233909225
"13","PGEN_.00g064780",111.604021147066,-2.10996279782145,0.519881411627392,-4.05854633505093,4.93791366843277e-05,0.0425914045877974,34.7474826856634,335.116170023728,54.1100854483441,190.381233033234,48.003404128795,159.022653225993,31.4219646637759,40.0291759669908
"14","PGEN_.00g112950",6.78098812984217,3.67463079635979,0.936860987913493,3.92227965916657,8.77150969855463e-05,0.0702535273213522,17.3737413428317,2.32719562516478,6.59879090833464,1.96269312405396,9.00063827414906,0,16.9848457642032,0
"15","PGEN_.00g130650",22.7850917037149,-2.86278739081513,0.745603551886398,-3.83955707235058,0.000123256475482775,0.0899451358352266,0,27.9263475019774,7.91854909000157,62.8061799697267,13.0009219515486,18.8937805813061,1.69848457642032,50.0364699587385
"16","PGEN_.00g078470",8.44708460994791,2.53549501990966,0.664661111324362,3.81471847338502,0.00013633827342001,0.0899451358352266,16.5464203265064,4.65439125032956,19.7963727250039,1.96269312405396,10.000709193499,1.57448171510884,11.0401497467321,2.00145879834954
"17","PGEN_.00g024810",84.1112566191996,-1.13151604109621,0.296622338453443,-3.81466900637293,0.00013636558540969,0.0899451358352266,38.88408776729,143.122530947634,67.3076672650134,97.153309640671,65.0046097577433,112.575442630282,40.7636298340876,108.078775110875
"18","PGEN_.00g286200",14.4596414108622,4.08293087432308,1.07507777143224,3.79780047808421,0.000145985756270168,0.0909410158365217,42.1933718325913,0,6.59879090833464,3.92538624810792,2.00014183869979,2.36172257266326,58.597717886501,0
"19","PGEN_.00g162330",27.1514861659038,-2.40700254561817,0.640330957267724,-3.75899762193099,0.000170595459091107,0.100678256988873,0,25.5991518768126,14.5173399983362,41.2165556051332,14.0009928708985,59.0430643165815,6.79393830568127,56.0408463537871
"20","PGEN_.00g090490",76.6608959297923,2.7900599637038,0.754673660789913,3.69704166007789,0.00021812655749932,0.122292654461994,18.201062359157,18.6175650013182,238.876230881714,16.6828915544587,18.0012765482981,14.1703354359796,260.717382480519,28.0204231768935
"21","PGEN_.00g061060",9.06593761833595,2.53742066075112,0.69364681022602,3.65808740607388,0.00025410439602691,0.129512390574988,26.4742725224102,4.65439125032956,9.2383072716685,1.96269312405396,8.00056735479917,2.36172257266326,17.8340880524133,2.00145879834954
