"X" "SG117" "SG137" "SG38" "SG97" "SG88" "SG87" "SG98" "SG37"
"99" "PGEN_.00g196840" 52 45 39 55 39 52 75 57
"100" "PGEN_.00g297280" 40 11 14 10 11 26 27 11
"101" "PGEN_.00g271090" 7 10 3 6 6 11 10 9
"102" "PGEN_.00g144610" 17 8 8 14 7 5 9 12
"103" "PGEN_.00g152650" 83 84 73 94 94 104 92 77
"104" "PGEN_.00g113890" 7 6 3 6 10 4 7 11
"105" "PGEN_.00g277730" 12 4 10 9 8 12 13 10
"106" "PGEN_.00g011990" 24 17 12 10 13 17 17 11
"107" "PGEN_.00g155920" 30 8 4 5 12 15 12 8
"108" "PGEN_.00g043070" 8 12 4 6 10 7 8 8
"109" "PGEN_.00g161310" 5 4 4 1 4 0 3 3
"110" "PGEN_.00g282570" 7 6 7 11 6 7 6 3
"111" "PGEN_.00g096270" 8 6 5 7 6 5 8 3
"112" "PGEN_.00g162660" 21 0 26 29 48 28 11 4
"113" "PGEN_.00g251940" 39 9 6 11 15 5 16 4
"114" "PGEN_.00g092970" 13 3 0 4 3 5 6 0
"115" "PGEN_.00g141020" 5 14 9 22 12 22 10 13
"116" "PGEN_.00g329270" 11 13 5 15 17 18 4 15
"117" "PGEN_.00g051170" 106 25 21 33 42 48 46 27
"118" "PGEN_.00g165120" 0 0 7 22 13 0 6 19
"119" "PGEN_.00g052480" 5 10 8 11 14 13 5 2
"120" "PGEN_.00g258540" 2293 444 294 397 460 238 570 420
"121" "PGEN_.00g240040" 4 4 2 4 0 2 4 0
"122" "PGEN_.00g197080" 71 52 64 74 79 103 107 48
"123" "PGEN_.00g139900" 8 10 13 2 6 9 16 10
"124" "PGEN_.00g188730" 6 9 2 3 4 0 7 2
"125" "PGEN_.00g159400" 64 93 46 88 73 105 124 111
"126" "PGEN_.00g055700" 77 305 161 219 220 246 171 220
"127" "PGEN_.00g197330" 333 216 239 370 267 490 393 439
"128" "PGEN_.00g103850" 11 24 12 11 19 11 1 5
"129" "PGEN_.00g024220" 52 18 19 37 28 31 63 16
"130" "PGEN_.00g065070" 13 2 2 5 1 3 6 2
"131" "PGEN_.00g069590" 4 2 4 5 12 16 4 8
"132" "PGEN_.00g294360" 4 8 20 21 6 9 11 6
"133" "PGEN_.00g026370" 13 2 4 4 1 3 8 3
"134" "PGEN_.00g052730" 19 19 14 25 13 18 20 11
"135" "PGEN_.00g184590" 15 7 2 5 3 6 6 1
"136" "PGEN_.00g252550" 18 43 33 4 35 33 6 27
"137" "PGEN_.00g075430" 0 23 29 71 20 22 21 0
"138" "PGEN_.00g318920" 9 3 7 10 5 14 10 9
"139" "PGEN_.00g154960" 136 45 59 112 83 93 136 75
"140" "PGEN_.00g325630" 18 20 14 30 34 45 26 26
"141" "PGEN_.00g068240" 10 8 2 3 4 4 0 5
"142" "PGEN_.00g257450" 50 55 47 65 89 87 95 81
"143" "PGEN_.00g284620" 5 6 3 0 2 8 3 8
"144" "PGEN_.00g213400" 8 6 7 6 2 5 11 7
"145" "PGEN_.00g321390" 103 40 19 41 45 45 70 24
"146" "PGEN_.00g210170" 6 1 0 1 3 1 6 4
"147" "PGEN_.00g076310" 10 5 5 8 4 11 4 5
"148" "PGEN_.00g286660" 16 2 7 7 0 12 12 2
"149" "PGEN_.00g185640" 4 7 8 0 12 2 0 7
"150" "PGEN_.00g217230" 5 0 2 1 0 4 6 2
