"X" "SG117" "SG137" "SG38" "SG97" "SG88" "SG87" "SG98" "SG37"
"3723" "PGEN_.00g039460" 302 45 0 0 131 94 97 70
"3724" "PGEN_.00g348900" 5 3 2 0 0 0 3 0
"3725" "PGEN_.00g344280" 20 4 6 3 8 2 3 4
"3726" "PGEN_.00g267190" 21 10 17 13 15 20 9 18
"3727" "PGEN_.00g173640" 12 11 11 10 16 29 20 15
"3728" "PGEN_.00g180240" 4 6 0 20 8 11 9 14
"3729" "PGEN_.00g220730" 69 211 114 121 132 121 126 242
"3730" "PGEN_.00g004040" 8 0 3 4 3 6 0 5
"3731" "PGEN_.00g060140" 85 47 58 69 51 122 98 90
"3732" "PGEN_.00g040070" 65 67 51 59 72 67 64 81
"3733" "PGEN_.00g001670" 123 39 47 66 42 23 94 49
"3734" "PGEN_.00g313780" 36 37 35 48 51 55 48 47
"3735" "PGEN_.00g250300" 57 55 67 63 87 81 103 68
"3736" "PGEN_.00g319520" 3 4 9 3 6 2 5 9
"3737" "PGEN_.00g127490" 132 106 69 113 165 166 143 95
"3738" "PGEN_.00g007630" 33 17 12 10 26 11 35 7
"3739" "PGEN_.00g315400" 7 9 21 26 59 46 26 10
"3740" "PGEN_.00g219480" 133 66 19 148 78 81 186 79
"3741" "PGEN_.00g286450" 61 241 58 279 66 115 82 381
"3742" "PGEN_.00g229710" 27 17 21 31 22 36 26 19
"3743" "PGEN_.00g219150" 11 3 11 10 10 10 9 9
"3744" "PGEN_.00g122510" 12 34 118 133 282 156 45 49
"3745" "PGEN_.00g211360" 47 5 6 7 2 10 24 7
"3746" "PGEN_.00g117820" 27 41 27 47 36 45 14 58
"3747" "PGEN_.00g083770" 42 40 21 31 44 28 37 36
"3748" "PGEN_.00g309130" 130 140 161 234 188 305 191 218
"3749" "PGEN_.00g261830" 12 0 2 3 5 0 2 0
"3750" "PGEN_.00g149680" 15 11 4 10 14 16 18 13
"3751" "PGEN_.00g007090" 39 26 27 39 26 34 35 29
"3752" "PGEN_.00g318690" 38 34 25 16 25 44 41 33
"3753" "PGEN_.00g044400" 18 2 5 7 8 5 5 5
"3754" "PGEN_.00g177010" 8 12 10 8 7 12 10 8
"3755" "PGEN_.00g006940" 2 2 9 6 7 4 6 11
"3756" "PGEN_.00g279710" 8 1 8 6 13 13 11 8
"3757" "PGEN_.00g223410" 23 32 13 31 34 34 32 30
"3758" "PGEN_.00g235190" 2 4 5 5 2 4 4 1
"3759" "PGEN_.00g266640" 10 5 4 3 3 9 15 1
"3760" "PGEN_.00g107370" 20 39 3 5 46 70 80 14
"3761" "PGEN_.00g094510" 7 4 3 3 0 0 3 1
"3762" "PGEN_.00g163880" 11 35 19 39 23 42 9 49
"3763" "PGEN_.00g047180" 5 3 1 4 1 1 3 1
"3764" "PGEN_.00g264640" 0 11 3 4 6 0 9 3
"3765" "PGEN_.00g235220" 65 41 66 105 102 138 80 73
"3766" "PGEN_.00g056450" 14 6 6 10 10 15 6 5
"3767" "PGEN_.00g176760" 9 13 5 9 13 17 12 21
"3768" "PGEN_.00g172220" 18 16 16 16 10 19 26 8
"3769" "PGEN_.00g261160" 238 192 214 261 278 337 207 256
"3770" "PGEN_.00g201670" 6 23 16 18 14 15 12 14
"3771" "PGEN_.00g269560" 85 37 25 45 36 53 80 33
"3772" "PGEN_.00g171750" 14 25 12 30 25 32 14 24
"3773" "PGEN_.00g114030" 8 3 2 9 5 17 8 2
"3774" "PGEN_.00g232640" 1190 267 183 293 366 163 270 387
"3775" "PGEN_.00g342390" 26 11 11 23 26 25 15 11
"3776" "PGEN_.00g297720" 16 11 19 52 69 48 41 15
"3777" "PGEN_.00g037220" 4 5 6 7 7 3 5 5
"3778" "PGEN_.00g046580" 191 96 96 141 136 204 161 107
"3779" "PGEN_.00g042000" 25 14 8 14 11 17 23 7
"3780" "PGEN_.00g147170" 132 86 52 141 144 207 149 114
"3781" "PGEN_.00g306210" 6 4 0 0 3 5 5 3
"3782" "PGEN_.00g140180" 259 85 140 214 209 276 266 160
"3783" "PGEN_.00g046630" 23 10 10 12 24 33 17 12
"3784" "PGEN_.00g179160" 29 11 11 18 35 22 15 14
"3785" "PGEN_.00g152060" 15 10 7 15 8 11 6 12
"3786" "PGEN_.00g321910" 12 3 6 8 13 10 18 10
"3787" "PGEN_.00g200100" 5 2 6 5 5 3 0 2
"3788" "PGEN_.00g141580" 24 24 12 34 38 40 26 42
"3789" "PGEN_.00g169330" 60 47 15 31 34 48 58 42
"3790" "PGEN_.00g081040" 27 15 11 6 6 13 15 15
"3791" "PGEN_.00g161100" 9 4 8 9 7 13 10 6
"3792" "PGEN_.00g343040" 109 129 83 39 111 129 142 73
"3793" "PGEN_.00g008490" 6 8 4 9 4 9 7 9
"3794" "PGEN_.00g034750" 28 14 12 19 16 31 19 17
"3795" "PGEN_.00g188270" 77 44 76 73 66 75 62 64
"3796" "PGEN_.00g169480" 23 16 56 65 88 110 43 26
"3797" "PGEN_.00g230480" 2 10 7 14 8 11 12 13
"3798" "PGEN_.00g011560" 63 38 25 50 32 56 40 39
"3799" "PGEN_.00g255010" 4 10 0 8 8 11 9 9
"3800" "PGEN_.00g159630" 12 16 1 11 10 14 10 7
"3801" "PGEN_.00g148250" 13 4 8 8 14 31 9 3
"3802" "PGEN_.00g119300" 14 21 42 30 34 30 43 23
"3803" "PGEN_.00g069010" 0 0 0 4 3 7 8 5
"3804" "PGEN_.00g280470" 12 3 2 1 2 2 13 3
"3805" "PGEN_.00g155040" 12 0 6 9 5 14 4 5
"3806" "PGEN_.00g329660" 12 131 8 41 60 19 9 43
"3807" "PGEN_.00g248050" 3087 521 532 399 416 179 100 388
"3808" "PGEN_.00g161810" 176 111 156 167 139 220 213 176
"3809" "PGEN_.00g342800" 5 22 18 12 14 18 17 17
"3810" "PGEN_.00g102930" 15 4 3 10 12 5 6 5
"3811" "PGEN_.00g163410" 27 12 11 38 38 35 29 38
"3812" "PGEN_.00g252050" 20 10 12 6 6 13 16 8
"3813" "PGEN_.00g202610" 10 3 3 2 6 2 14 0
"3814" "PGEN_.00g259080" 5 0 5 3 4 15 1 2
"3815" "PGEN_.00g055390" 11 7 7 8 4 8 14 14
"3816" "PGEN_.00g242700" 54 14 15 36 16 35 27 32
"3817" "PGEN_.00g323650" 77 48 33 37 54 57 56 22
"3818" "PGEN_.00g276920" 72 120 98 115 94 121 133 148
"3819" "PGEN_.00g056840" 5 6 2 4 3 6 1 2
"3820" "PGEN_.00g212110" 7 2 0 8 2 5 7 1
"3821" "PGEN_.00g149120" 24 16 89 142 245 317 180 51
"3822" "PGEN_.00g027740" 2 5 3 24 23 16 11 23
"3823" "PGEN_.00g138990" 4 3 2 6 7 20 14 6
"3824" "PGEN_.00g283920" 2 3 3 2 12 12 1 3
"3825" "PGEN_.00g119540" 5 8 2 2 2 4 3 1
"3826" "PGEN_.00g272710" 40 27 76 157 169 221 116 55
"3827" "PGEN_.00g026290" 14 12 9 20 14 15 20 22
"3828" "PGEN_.00g065220" 6 2 3 8 5 4 12 9
"3829" "PGEN_.00g093300" 22 30 12 28 24 38 21 20
"3830" "PGEN_.00g205340" 94 36 49 81 69 75 66 62
"3831" "PGEN_.00g323230" 28 7 0 9 6 7 18 7
"3832" "PGEN_.00g089050" 4 5 2 2 5 3 11 0
"3833" "PGEN_.00g086080" 6 11 8 14 14 14 24 6
"3834" "PGEN_.00g022770" 434 160 229 227 206 279 390 209
"3835" "PGEN_.00g183590" 4 3 0 1 0 3 3 3
"3836" "PGEN_.00g336770" 6 2 2 4 6 5 6 6
"3837" "PGEN_.00g053150" 9 3 3 5 4 15 5 2
"3838" "PGEN_.00g185850" 7 4 5 9 14 5 10 4
"3839" "PGEN_.00g331200" 0 0 5 2 16 13 13 4
"3840" "PGEN_.00g086550" 0 0 2 4 6 13 4 4
"3841" "PGEN_.00g025670" 13 7 6 7 4 19 6 9
"3842" "PGEN_.00g110010" 3 19 13 2 38 6 18 4
"3843" "PGEN_.00g201990" 18 6 16 13 9 23 23 9
"3844" "PGEN_.00g324170" 20 26 21 25 9 30 13 20
"3845" "PGEN_.00g241420" 18 6 2 6 6 3 13 6
"3846" "PGEN_.00g013070" 9 16 13 23 27 15 24 18
"3847" "PGEN_.00g147430" 2 24 11 17 6 7 9 7
"3848" "PGEN_.00g094650" 183 52 47 31 50 39 59 38
"3849" "PGEN_.00g254790" 1542 1778 1256 1527 1931 1898 1781 1784
"3850" "PGEN_.00g122380" 8 0 4 8 4 10 13 7
"3851" "PGEN_.00g027360" 83 80 44 87 91 182 110 91
"3852" "PGEN_.00g156710" 25 18 12 33 20 32 25 31
"3853" "PGEN_.00g205870" 38 27 23 25 29 22 34 29
"3854" "PGEN_.00g174130" 69 63 51 66 70 65 63 94
"3855" "PGEN_.00g347020" 46 11 22 24 12 27 17 17
"3856" "PGEN_.00g024100" 174 82 20 27 46 65 117 127
"3857" "PGEN_.00g030420" 13 16 12 14 21 19 13 9
"3858" "PGEN_.00g147680" 62 26 24 39 48 51 42 42
"3859" "PGEN_.00g174680" 113 81 82 94 88 108 113 111
"3860" "PGEN_.00g180730" 10 16 10 22 20 14 21 19
"3861" "PGEN_.00g293610" 7 10 42 37 96 77 14 21
"3862" "PGEN_.00g184020" 144 106 67 143 101 147 116 113
"3863" "PGEN_.00g113090" 15 4 8 9 2 4 10 7
"3864" "PGEN_.00g208810" 346 201 176 311 333 320 331 305
"3865" "PGEN_.00g061330" 4 0 2 4 4 8 4 1
"3866" "PGEN_.00g294060" 31 20 18 32 23 23 35 22
"3867" "PGEN_.00g103600" 13 4 4 9 7 14 11 10
"3868" "PGEN_.00g059020" 3 2 14 6 3 3 5 5
"3869" "PGEN_.00g283110" 64 40 26 48 42 60 83 34
"3870" "PGEN_.00g275590" 25 22 8 21 11 41 40 21
"3871" "PGEN_.00g067330" 58 33 36 59 43 60 50 52
"3872" "PGEN_.00g289210" 28 4 2 6 7 1 7 2
"3873" "PGEN_.00g036280" 10 3 5 4 2 0 8 0
"3874" "PGEN_.00g091770" 31 22 14 15 30 31 39 15
"3875" "PGEN_.00g214600" 43 42 26 48 57 50 41 39
"3876" "PGEN_.00g008380" 80 45 45 54 74 91 70 67
"3877" "PGEN_.00g188400" 14 10 4 7 10 6 15 7
"3878" "PGEN_.00g133680" 6 14 1 11 1 5 5 2
"3879" "PGEN_.00g246470" 8 5 7 2 3 0 5 3
"3880" "PGEN_.00g322910" 64 22 29 52 38 46 48 46
"3881" "PGEN_.00g089860" 16 7 5 12 12 12 24 16
"3882" "PGEN_.00g031480" 26 5 12 6 26 21 12 17
"3883" "PGEN_.00g186770" 9 5 4 4 6 6 8 7
"3884" "PGEN_.00g250890" 564 351 309 425 436 449 423 350
"3885" "PGEN_.00g029680" 2 22 5 10 28 6 0 4
"3886" "PGEN_.00g036130" 186 328 205 321 302 409 233 418
"3887" "PGEN_.00g203200" 36 41 34 38 43 55 34 52
"3888" "PGEN_.00g104550" 2 2 2 3 3 3 4 2
"3889" "PGEN_.00g129880" 40 27 9 28 13 27 25 20
"3890" "PGEN_.00g185080" 173 111 96 168 159 211 217 157
"3891" "PGEN_.00g022500" 0 6 1 6 6 6 0 5
"3892" "PGEN_.00g009650" 13 8 6 8 14 12 22 9
"3893" "PGEN_.00g223160" 142 296 157 265 276 228 234 234
"3894" "PGEN_.00g003710" 16 5 7 11 14 27 14 8
"3895" "PGEN_.00g145700" 58 25 14 30 14 52 56 41
"3896" "PGEN_.00g218970" 6 3 5 6 7 8 4 10
"3897" "PGEN_.00g298820" 31 18 9 21 19 43 28 35
"3898" "PGEN_.00g227880" 5 3 6 3 0 6 0 0
"3899" "PGEN_.00g030990" 123 128 111 179 156 234 189 194
"3900" "PGEN_.00g172420" 13 0 4 12 4 13 4 6
"3901" "PGEN_.00g075120" 22 12 13 26 20 31 23 24
"3902" "PGEN_.00g261360" 6 14 17 23 28 12 18 12
"3903" "PGEN_.00g265860" 11 12 9 13 13 14 17 12
"3904" "PGEN_.00g202150" 61 43 28 51 43 64 63 48
"3905" "PGEN_.00g006290" 100 169 86 203 74 178 181 173
"3906" "PGEN_.00g078060" 44 43 47 68 74 98 82 50
"3907" "PGEN_.00g120630" 3 4 8 3 5 5 0 4
"3908" "PGEN_.00g082880" 41 11 20 23 19 27 16 24
"3909" "PGEN_.00g178360" 7 7 5 12 19 18 13 9
"3910" "PGEN_.00g002040" 9 6 2 2 0 2 3 2
"3911" "PGEN_.00g006740" 5 6 13 13 3 11 7 3
"3912" "PGEN_.00g314950" 7 2 8 12 2 15 2 4
"3913" "PGEN_.00g317900" 8 21 5 17 7 14 18 13
"3914" "PGEN_.00g081280" 6 11 5 2 18 30 14 43
"3915" "PGEN_.00g219730" 42 12 14 19 21 30 25 19
"3916" "PGEN_.00g116950" 149 110 132 127 129 133 166 134
"3917" "PGEN_.00g079330" 7 2 11 1 26 26 14 7
"3918" "PGEN_.00g034190" 104 34 40 47 27 42 76 42
"3919" "PGEN_.00g164860" 10 11 7 11 10 15 19 30
"3920" "PGEN_.00g260540" 19 62 15 68 51 106 33 80
"3921" "PGEN_.00g131790" 12 5 4 3 12 7 13 6
"3922" "PGEN_.00g129710" 57 24 23 49 68 85 43 71
"3923" "PGEN_.00g217720" 9 3 3 2 4 4 7 7
"3924" "PGEN_.00g061170" 35 24 18 23 32 45 31 34
"3925" "PGEN_.00g130220" 12 10 0 6 6 6 9 6
"3926" "PGEN_.00g210710" 17 6 1 6 1 3 9 2
"3927" "PGEN_.00g280510" 4 3 2 5 0 2 5 0
"3928" "PGEN_.00g011760" 11 4 2 2 4 1 12 4
"3929" "PGEN_.00g015220" 7 12 9 14 6 14 10 4
"3930" "PGEN_.00g019570" 0 1 4 0 2 7 9 4
"3931" "PGEN_.00g302590" 60 163 146 184 212 119 273 181
"3932" "PGEN_.00g100120" 29 30 25 21 33 49 29 38
"3933" "PGEN_.00g044300" 5 2 5 1 3 3 5 3
"3934" "PGEN_.00g225130" 3 3 4 2 4 3 6 5
"3935" "PGEN_.00g001820" 23 26 16 35 16 39 29 40
"3936" "PGEN_.00g019680" 100 52 57 66 67 54 69 102
"3937" "PGEN_.00g080620" 7 4 0 2 0 0 9 5
"3938" "PGEN_.00g223990" 106 84 61 106 135 133 114 99
"3939" "PGEN_.00g312420" 75 134 51 81 197 106 186 109
"3940" "PGEN_.00g041880" 6 5 0 4 2 2 8 4
"3941" "PGEN_.00g116140" 8 2 5 5 17 18 0 2
"3942" "PGEN_.00g087930" 4 4 3 5 3 4 9 2
"3943" "PGEN_.00g165800" 3 4 2 4 0 0 3 0
"3944" "PGEN_.00g242540" 17 23 12 12 18 9 13 19
"3945" "PGEN_.00g016750" 4 9 5 4 7 4 10 5
"3946" "PGEN_.00g234290" 12 7 11 3 6 12 6 8
"3947" "PGEN_.00g133940" 27 45 24 15 32 30 53 25
"3948" "PGEN_.00g122720" 5 3 5 5 2 4 8 3
"3949" "PGEN_.00g114780" 34 7 6 18 7 9 7 5
"3950" "PGEN_.00g106760" 90 69 79 99 68 119 87 92
"3951" "PGEN_.00g330310" 192 351 188 316 287 446 294 432
"3952" "PGEN_.00g018760" 14 9 2 4 3 8 4 8
"3953" "PGEN_.00g343990" 50 35 29 51 43 53 43 32
"3954" "PGEN_.00g127260" 69 25 41 60 62 59 51 42
"3955" "PGEN_.00g318240" 11 8 11 14 5 4 11 8
"3956" "PGEN_.00g111490" 9 7 4 7 2 6 6 5
"3957" "PGEN_.00g163250" 64 105 61 59 47 58 79 64
"3958" "PGEN_.00g274550" 79 235 132 136 132 88 115 122
"3959" "PGEN_.00g278670" 65 36 35 51 48 78 69 39
"3960" "PGEN_.00g314540" 4 8 17 20 53 33 40 10
"3961" "PGEN_.00g224770" 6 3 5 4 7 8 3 4
"3962" "PGEN_.00g166570" 67 52 37 49 87 112 110 56
"3963" "PGEN_.00g265410" 11 5 6 8 7 8 16 5
"3964" "PGEN_.00g266850" 4 6 1 1 6 5 5 2
"3965" "PGEN_.00g233800" 116 167 136 191 137 197 94 144
"3966" "PGEN_.00g049430" 17 3 11 19 5 16 17 10
"3967" "PGEN_.00g309360" 6 3 0 3 1 2 3 0
"3968" "PGEN_.00g330930" 180 96 107 127 253 126 299 165
"3969" "PGEN_.00g021500" 34 17 21 27 28 41 35 19
"3970" "PGEN_.00g012500" 5 4 10 7 6 4 6 4
"3971" "PGEN_.00g146100" 133 89 80 176 110 216 148 121
"3972" "PGEN_.00g177600" 14 12 23 19 26 21 23 32
"3973" "PGEN_.00g027830" 7 5 5 4 3 2 4 4
"3974" "PGEN_.00g305460" 3 4 6 105 39 37 9 23
"3975" "PGEN_.00g100590" 14 10 13 10 14 14 22 10
"3976" "PGEN_.00g279100" 6 14 16 32 38 52 11 13
"3977" "PGEN_.00g223200" 18 6 17 16 22 25 13 9
"3978" "PGEN_.00g274080" 8 2 10 7 6 22 24 15
"3979" "PGEN_.00g042210" 9 13 9 15 15 13 15 10
"3980" "PGEN_.00g346390" 2 11 7 0 0 10 0 16
"3981" "PGEN_.00g153270" 0 1 4 3 1 6 5 0
"3982" "PGEN_.00g116920" 18 4 5 8 5 11 17 12
"3983" "PGEN_.00g270700" 23 11 7 6 8 16 12 7
"3984" "PGEN_.00g346900" 14 9 4 3 3 1 4 3
"3985" "PGEN_.00g048740" 105 27 96 50 136 306 330 262
"3986" "PGEN_.00g340500" 11 4 1 10 6 9 25 14
"3987" "PGEN_.00g026540" 9 6 8 13 11 11 11 10
"3988" "PGEN_.00g113250" 2 17 3 4 29 10 12 9
"3989" "PGEN_.00g114200" 40 15 53 79 89 73 10 28
"3990" "PGEN_.00g141950" 13 12 7 9 15 11 19 14
"3991" "PGEN_.00g297110" 8 1 3 8 9 20 9 6
"3992" "PGEN_.00g237270" 13 4 2 10 4 11 10 4
"3993" "PGEN_.00g025990" 37 13 16 33 21 34 36 24
"3994" "PGEN_.00g126850" 22 6 5 1 4 3 5 17
"3995" "PGEN_.00g041740" 70 53 22 72 19 62 28 57
"3996" "PGEN_.00g024020" 5 2 10 7 2 14 13 11
"3997" "PGEN_.00g232380" 4 3 0 4 2 2 4 0
"3998" "PGEN_.00g271070" 9 7 7 14 12 12 15 2
"3999" "PGEN_.00g077140" 0 0 7 3 0 0 9 4
"4000" "PGEN_.00g114930" 92 47 34 45 74 91 95 65
"4001" "PGEN_.00g282080" 15 7 10 12 7 8 19 9
"4002" "PGEN_.00g296680" 22 7 8 9 6 12 27 8
"4003" "PGEN_.00g281260" 5 2 6 3 4 7 3 5
"4004" "PGEN_.00g152630" 5 4 1 10 6 5 10 9
"4005" "PGEN_.00g054090" 11 6 9 14 8 19 10 17
"4006" "PGEN_.00g155940" 63 35 27 33 21 40 51 36
"4007" "PGEN_.00g237490" 48 21 22 25 32 34 53 20
"4008" "PGEN_.00g063320" 4 0 2 3 0 5 4 4
"4009" "PGEN_.00g062050" 13 10 13 22 9 15 15 12
"4010" "PGEN_.00g101990" 34 21 26 35 17 35 30 26
"4011" "PGEN_.00g091200" 8 3 1 2 6 8 12 9
"4012" "PGEN_.00g281190" 6 4 2 0 3 0 4 0
"4013" "PGEN_.00g328700" 1539 3134 2221 2459 2629 3628 2637 3689
"4014" "PGEN_.00g231890" 101 75 31 30 51 13 15 56
"4015" "PGEN_.00g285680" 2 11 15 7 7 2 2 8
"4016" "PGEN_.00g015140" 39 48 28 25 24 48 40 39
"4017" "PGEN_.00g071590" 2 0 4 5 3 5 7 0
"4018" "PGEN_.00g122420" 497 317 378 490 428 622 525 521
"4019" "PGEN_.00g322280" 37 16 54 32 36 57 35 32
"4020" "PGEN_.00g329250" 24 12 15 28 13 15 23 17
"4021" "PGEN_.00g051110" 317 180 135 199 197 234 267 181
"4022" "PGEN_.00g165140" 6 6 7 14 18 0 28 17
"4023" "PGEN_.00g209510" 541 395 294 230 266 181 222 216
"4024" "PGEN_.00g308800" 22 9 9 8 3 19 31 13
"4025" "PGEN_.00g144670" 20 2 5 10 15 10 8 15
"4026" "PGEN_.00g291180" 37 29 16 25 27 31 38 20
"4027" "PGEN_.00g022070" 13 3 1 8 12 9 9 6
"4028" "PGEN_.00g248150" 22 70 54 48 66 60 9 125
"4029" "PGEN_.00g158590" 9 9 6 17 15 12 11 5
"4030" "PGEN_.00g272030" 29 13 3 1 5 3 14 0
"4031" "PGEN_.00g288010" 24 6 3 15 11 20 22 5
"4032" "PGEN_.00g273340" 38 14 13 13 9 13 33 11
"4033" "PGEN_.00g069600" 47 40 28 76 48 81 53 88
"4034" "PGEN_.00g322420" 7 4 3 0 2 3 3 2
"4035" "PGEN_.00g078260" 63 63 47 99 82 108 47 66
"4036" "PGEN_.00g029330" 10 9 5 6 6 6 14 6
"4037" "PGEN_.00g101170" 411 211 198 263 291 382 353 222
"4038" "PGEN_.00g065050" 90 28 38 69 72 81 74 39
"4039" "PGEN_.00g202420" 5 4 1 4 3 5 0 3
"4040" "PGEN_.00g227060" 22 7 34 41 46 72 59 27
"4041" "PGEN_.00g292230" 23 12 30 29 27 44 33 21
"4042" "PGEN_.00g158330" 3488 2072 2016 2817 2470 2367 2925 2360
"4043" "PGEN_.00g026310" 3859 2581 2217 2766 2779 2473 2225 2414
"4044" "PGEN_.00g292370" 24 30 27 70 34 47 59 33
"4045" "PGEN_.00g247120" 51 32 40 62 44 84 62 50
"4046" "PGEN_.00g053400" 25 18 20 8 6 15 8 18
"4047" "PGEN_.00g246290" 15 8 8 12 3 5 9 5
"4048" "PGEN_.00g196000" 19 18 10 19 26 18 17 10
"4049" "PGEN_.00g104820" 0 5 1 2 3 4 7 0
"4050" "PGEN_.00g246740" 18 13 7 10 10 27 24 20
"4051" "PGEN_.00g072100" 52 50 12 34 57 50 57 31
"4052" "PGEN_.00g100560" 14 8 5 8 12 9 8 6
"4053" "PGEN_.00g154900" 166 127 178 129 211 321 206 242
"4054" "PGEN_.00g325610" 12 2 1 1 5 5 6 0
"4055" "PGEN_.00g068260" 27 14 14 14 8 19 14 19
"4056" "PGEN_.00g257430" 11 12 3 0 2 4 2 5
"4057" "PGEN_.00g073850" 4 0 10 5 15 6 1 0
"4058" "PGEN_.00g284640" 14 9 5 10 5 10 4 7
"4059" "PGEN_.00g320060" 37 75 24 54 54 67 33 50
"4060" "PGEN_.00g061770" 9 33 23 7 27 28 15 36
"4061" "PGEN_.00g333660" 5 6 3 9 2 5 2 5
"4062" "PGEN_.00g175450" 13 2 2 1 2 5 4 3
"4063" "PGEN_.00g039830" 400 316 145 236 203 243 184 166
"4064" "PGEN_.00g030380" 30 9 8 10 8 10 18 10
"4065" "PGEN_.00g064720" 12 6 4 8 7 7 23 7
"4066" "PGEN_.00g253220" 11 12 8 17 9 16 5 13
"4067" "PGEN_.00g187250" 19 14 7 11 31 16 19 17
"4068" "PGEN_.00g320390" 4 6 2 3 0 4 0 0
"4069" "PGEN_.00g110220" 9 8 6 16 6 7 2 8
"4070" "PGEN_.00g296320" 6 0 0 7 1 7 0 4
"4071" "PGEN_.00g290440" 27 13 9 8 13 25 14 21
"4072" "PGEN_.00g031380" 26 17 16 18 17 22 35 18
"4073" "PGEN_.00g139150" 50 31 19 40 35 38 25 31
"4074" "PGEN_.00g254160" 7 8 0 7 6 7 7 8
"4075" "PGEN_.00g270060" 16 6 4 6 5 5 8 1
"4076" "PGEN_.00g143590" 108 54 48 94 53 111 144 83
"4077" "PGEN_.00g320930" 11 6 10 12 10 11 13 7
"4078" "PGEN_.00g066760" 44 10 14 12 12 16 26 6
"4079" "PGEN_.00g030650" 151 68 72 109 82 68 80 72
"4080" "PGEN_.00g064890" 0 2 4 5 3 4 2 2
"4081" "PGEN_.00g326570" 87 62 47 72 94 79 71 84
"4082" "PGEN_.00g235720" 3 4 0 3 0 0 13 4
"4083" "PGEN_.00g063040" 21 12 7 37 24 32 44 19
"4084" "PGEN_.00g056160" 15 6 5 8 0 14 34 6
"4085" "PGEN_.00g173140" 20 9 93 39 161 83 82 17
"4086" "PGEN_.00g000970" 31 33 28 49 31 59 58 42
"4087" "PGEN_.00g179670" 124 53 50 57 102 74 71 72
"4088" "PGEN_.00g184250" 72 32 25 38 52 77 55 45
"4089" "PGEN_.00g238260" 24 8 6 10 17 14 28 14
"4090" "PGEN_.00g132560" 9 5 10 15 9 13 7 13
"4091" "PGEN_.00g176530" 1104 186 37 239 160 66 119 153
"4092" "PGEN_.00g220400" 22 7 7 7 6 5 16 9
"4093" "PGEN_.00g023060" 4 9 4 2 11 5 8 15
"4094" "PGEN_.00g263820" 1 3 3 7 3 0 2 2
"4095" "PGEN_.00g096750" 7 5 2 2 2 9 4 3
"4096" "PGEN_.00g251480" 4 0 2 6 3 2 2 2
"4097" "PGEN_.00g104450" 4 2 0 4 1 8 9 4
"4098" "PGEN_.00g185120" 223 200 133 195 166 187 139 155
"4099" "PGEN_.00g205900" 57 34 28 69 22 34 48 43
"4100" "PGEN_.00g347610" 11 5 17 16 12 57 31 6
"4101" "PGEN_.00g176390" 30 6 10 8 3 11 21 4
"4102" "PGEN_.00g343500" 687 652 618 981 761 1208 710 1183
"4103" "PGEN_.00g179710" 31 22 23 18 21 17 7 11
"4104" "PGEN_.00g315920" 2 2 4 4 6 2 5 8
"4105" "PGEN_.00g175840" 24 29 16 26 34 38 15 34
"4106" "PGEN_.00g171540" 125 43 42 54 77 31 60 44
"4107" "PGEN_.00g252900" 77 17 16 22 20 44 45 18
"4108" "PGEN_.00g256280" 33 64 42 73 40 81 81 88
"4109" "PGEN_.00g003520" 43 58 56 32 29 44 56 32
"4110" "PGEN_.00g108790" 61 85 69 68 84 88 122 42
"4111" "PGEN_.00g251260" 7 2 15 3 17 42 12 4
"4112" "PGEN_.00g047550" 9 12 9 13 11 16 10 9
"4113" "PGEN_.00g109220" 5 0 0 5 2 5 2 10
"4114" "PGEN_.00g160220" 30 25 5 9 10 21 13 8
"4115" "PGEN_.00g078740" 3 1 1 5 7 9 2 3
"4116" "PGEN_.00g045950" 7 4 7 2 9 10 6 7
"4117" "PGEN_.00g006460" 29 5 11 24 19 25 22 13
"4118" "PGEN_.00g121840" 299 179 174 293 218 290 263 260
"4119" "PGEN_.00g050400" 15 7 5 7 8 4 8 12
"4120" "PGEN_.00g213580" 4 0 0 3 5 0 7 2
"4121" "PGEN_.00g042450" 48 53 38 46 40 56 50 58
"4122" "PGEN_.00g038820" 13 8 6 8 4 6 4 2
"4123" "PGEN_.00g120460" 29 14 4 13 13 36 21 23
"4124" "PGEN_.00g199580" 22 15 13 19 19 22 18 11
"4125" "PGEN_.00g195600" 3 4 11 6 6 10 12 14
"4126" "PGEN_.00g128670" 2 1 5 4 2 4 2 4
"4127" "PGEN_.00g178190" 39 25 30 32 48 40 35 63
"4128" "PGEN_.00g222060" 9 6 3 12 5 11 8 5
"4129" "PGEN_.00g035630" 4 5 0 4 2 6 8 6
"4130" "PGEN_.00g344990" 2 8 20 29 45 49 18 5
"4131" "PGEN_.00g216640" 302 157 140 212 201 184 172 168
"4132" "PGEN_.00g046200" 12 18 40 25 15 7 28 10
"4133" "PGEN_.00g048370" 4 2 2 2 6 4 6 7
"4134" "PGEN_.00g264960" 37 15 20 32 39 33 35 24
"4135" "PGEN_.00g001160" 9 8 8 13 16 22 14 26
"4136" "PGEN_.00g047430" 0 5 3 2 4 0 0 4
"4137" "PGEN_.00g015380" 5 15 6 28 10 8 7 17
"4138" "PGEN_.00g347970" 32 35 18 18 29 36 34 49
"4139" "PGEN_.00g329010" 51 40 31 39 40 42 45 39
"4140" "PGEN_.00g080290" 6 2 6 2 16 3 8 2
"4141" "PGEN_.00g001780" 6 3 5 7 5 7 5 10
"4142" "PGEN_.00g019720" 16 26 19 16 20 19 25 15
"4143" "PGEN_.00g122020" 4 2 14 15 46 45 9 7
