"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g302110",25,4,2,9,11,5,1,4
"PGEN_.00g299490",0,15,15,7,19,7,4,9
"PGEN_.00g321860",17,3,7,10,5,2,9,11
"PGEN_.00g024270",21,7,8,17,14,25,15,18
"PGEN_.00g333450",0,0,1,1,0,0,2,0
"PGEN_.00g200030",121,64,55,28,92,100,42,31
"PGEN_.00g169240",9,17,4,10,11,18,14,10
"PGEN_.00g155860",0,0,0,0,0,0,0,0
"PGEN_.00g237590",4,0,0,0,6,6,3,3
"PGEN_.00g271240",5,0,1,8,9,6,18,10
"PGEN_.00g112240",2,0,0,0,0,0,0,0
"PGEN_.00g063200",9,14,7,16,7,26,4,8
"PGEN_.00g165590",2,2,1,0,4,0,2,2
"PGEN_.00g161030",0,0,0,0,0,0,0,0
"PGEN_.00g090450",4,0,1,1,0,0,8,1
"PGEN_.00g025890",85,79,53,67,76,67,63,78
"PGEN_.00g049090",5,5,0,3,0,5,6,3
"PGEN_.00g062150",4,1,2,2,4,3,1,2
"PGEN_.00g096110",25,86,3,112,0,39,0,5
"PGEN_.00g091320",2,0,0,0,3,7,2,0
"PGEN_.00g281090",8,6,8,22,11,4,8,8
"PGEN_.00g152480",0,0,0,0,0,0,0,0
"PGEN_.00g292830",0,0,0,0,0,0,0,0
"PGEN_.00g328620",10,117,60,52,144,20,9,2
"PGEN_.00g188380",0,0,0,0,2,0,0,1
"PGEN_.00g285960",0,0,0,0,0,0,2,0
"PGEN_.00g175260",0,0,0,0,0,0,0,0
"PGEN_.00g307090",13,10,12,2,4,7,8,7
"PGEN_.00g141160",0,0,0,0,0,0,0,0
"PGEN_.00g169790",115,100,112,157,147,111,124,116
"PGEN_.00g241940",2,8,0,0,7,0,6,0
"PGEN_.00g124030",0,0,0,0,0,0,0,0
"PGEN_.00g165620",4,5,2,2,2,6,1,7
"PGEN_.00g028660",0,0,0,0,0,0,0,0
"PGEN_.00g209410",59,34,25,37,24,62,40,38
"PGEN_.00g233170",0,0,0,0,0,0,0,0
"PGEN_.00g144530",378,263,324,410,285,504,426,237
"PGEN_.00g049320",7,0,0,0,0,0,4,0
"PGEN_.00g293590",0,4,0,0,0,0,2,2
"PGEN_.00g244530",0,0,0,0,0,0,0,0
"PGEN_.00g240090",24,13,6,4,17,29,25,14
"PGEN_.00g249720",5,3,1,3,2,6,4,3
"PGEN_.00g337220",2,31,0,3,3,3,8,0
"PGEN_.00g023800",0,0,0,0,0,0,0,0
"PGEN_.00g024850",0,0,0,0,0,0,6,0
"PGEN_.00g145660",0,0,0,0,0,0,0,0
"PGEN_.00g139800",0,0,0,0,0,0,0,0
"PGEN_.00g188650",1,5,8,7,4,6,11,9
"PGEN_.00g218870",5,4,2,0,0,1,0,4
"PGEN_.00g071300",13,34,5,19,18,14,17,21
"PGEN_.00g059570",0,0,0,0,0,0,0,0
"PGEN_.00g155280",0,0,0,0,0,0,0,0
"PGEN_.00g159700",5,3,1,1,2,5,2,3
"PGEN_.00g271860",79,104,47,124,117,118,96,118
"PGEN_.00g055400",0,0,0,0,0,0,0,0
"PGEN_.00g051380",17,6,3,3,8,35,6,7
"PGEN_.00g298170",3,0,2,3,0,3,1,1
"PGEN_.00g189380",32,16,14,13,27,30,7,9
"PGEN_.00g338560",2,0,0,0,0,0,1,0
"PGEN_.00g148320",9,0,0,0,0,1,1,0
"PGEN_.00g252720",12,0,1,0,0,0,5,0
"PGEN_.00g043310",38,17,13,20,18,48,26,20
"PGEN_.00g282610",0,3,3,2,4,3,1,2
"PGEN_.00g309940",6,7,5,3,3,3,6,2
"PGEN_.00g060370",0,0,0,0,0,0,0,0
"PGEN_.00g288110",67,62,24,53,45,29,37,39
"PGEN_.00g285340",68,48,30,72,51,101,57,62
"PGEN_.00g324990",1,1,1,1,3,2,2,5
"PGEN_.00g168680",3,0,0,1,0,0,2,1
"PGEN_.00g097240",24,16,19,17,15,17,22,13
"PGEN_.00g155130",0,0,0,0,0,0,0,0
"PGEN_.00g322740",1,1,4,0,5,6,4,1
"PGEN_.00g326840",0,0,0,0,0,0,0,0
"PGEN_.00g112930",0,0,0,0,0,0,0,0
"PGEN_.00g078100",41,4,5,8,9,8,10,9
"PGEN_.00g343680",3,2,0,0,0,0,4,0
"PGEN_.00g124050",11,3,3,3,5,6,10,3
"PGEN_.00g192750",0,0,0,0,0,0,0,0
"PGEN_.00g212270",0,0,0,0,0,0,0,0
"PGEN_.00g085970",18,30,18,26,31,25,9,41
"PGEN_.00g162070",1,1,0,2,2,0,2,2
"PGEN_.00g118050",52,22,33,54,45,112,60,38
"PGEN_.00g134400",46,27,22,53,37,73,69,55
"PGEN_.00g163300",9,4,0,0,2,0,7,0
"PGEN_.00g092140",0,0,0,0,0,0,0,0
"PGEN_.00g202500",0,0,0,0,0,0,0,0
"PGEN_.00g259790",2,0,0,0,0,1,1,1
"PGEN_.00g245110",1,1,0,1,1,1,3,5
"PGEN_.00g051960",2,0,0,0,0,0,0,0
"PGEN_.00g150500",0,0,0,0,0,0,0,0
"PGEN_.00g189520",0,0,0,6,0,2,2,2
"PGEN_.00g206470",17,2,12,11,13,18,13,17
"PGEN_.00g032800",0,0,0,0,0,0,0,0
"PGEN_.00g093890",2,0,0,2,1,2,3,0
"PGEN_.00g158070",18,5,0,4,8,6,20,5
"PGEN_.00g247040",0,0,0,0,0,0,1,0
"PGEN_.00g190450",6,2,2,3,0,4,3,0
"PGEN_.00g258770",2,0,5,0,0,3,1,0
"PGEN_.00g053520",0,0,0,0,0,0,0,1
"PGEN_.00g246390",9,5,6,2,10,6,6,6
"PGEN_.00g012180",8,6,6,4,5,7,15,3
"PGEN_.00g227650",10,8,7,7,11,28,17,4
"PGEN_.00g022860",0,0,0,0,0,0,0,2
"PGEN_.00g196120",5,16,8,7,14,6,9,180
"PGEN_.00g278270",0,2,0,0,0,0,2,0
"PGEN_.00g068690",4,1,2,11,13,5,6,0
"PGEN_.00g327710",0,0,0,0,0,0,0,0
"PGEN_.00g292140",0,0,5,0,0,0,9,0
"PGEN_.00g056590",78,51,34,59,46,49,67,67
"PGEN_.00g119900",0,0,0,0,0,0,0,0
"PGEN_.00g230060",0,0,0,0,3,0,2,0
"PGEN_.00g079270",20,70,72,53,243,133,24,44
"PGEN_.00g075550",2,0,0,2,0,0,0,0
"PGEN_.00g012450",61,42,35,49,53,82,58,45
"PGEN_.00g072020",286,511,378,664,453,699,446,740
"PGEN_.00g143820",0,0,0,2,0,1,0,0
"PGEN_.00g100480",0,0,0,0,0,0,0,0
"PGEN_.00g325710",45,8,16,32,22,35,34,35
"PGEN_.00g068340",0,0,0,0,0,0,0,0
"PGEN_.00g093230",0,0,0,0,0,0,0,0
"PGEN_.00g147980",2,0,0,0,0,0,0,3
"PGEN_.00g153850",0,0,0,0,0,0,0,0
"PGEN_.00g157570",4,0,5,3,6,3,4,4
"PGEN_.00g182510",5,63,7,46,22,36,62,48
"PGEN_.00g025070",3,15,15,12,15,12,10,7
"PGEN_.00g175310",16,25,9,11,12,20,10,3
"PGEN_.00g058710",0,7,2,1,0,0,4,4
"PGEN_.00g021980",4,0,0,3,0,2,4,12
"PGEN_.00g064440",0,14,10,10,17,26,16,17
"PGEN_.00g344130",0,0,0,0,0,0,0,0
"PGEN_.00g100730",0,0,0,0,0,0,0,0
"PGEN_.00g255930",41,32,23,29,50,42,61,45
"PGEN_.00g258030",6,1,2,2,2,5,4,7
"PGEN_.00g286720",11,20,11,16,15,26,17,34
"PGEN_.00g253300",0,0,0,0,0,0,0,0
"PGEN_.00g257680",11,2,7,13,5,9,10,3
"PGEN_.00g089470",0,0,0,0,0,0,0,0
"PGEN_.00g143150",22,6,12,8,11,16,22,6
"PGEN_.00g101280",60,31,35,33,46,43,46,44
"PGEN_.00g217350",0,3,1,6,6,5,1,1
"PGEN_.00g110300",0,2,0,3,4,4,2,0
"PGEN_.00g061540",0,0,0,0,0,0,0,0
"PGEN_.00g149790",11,3,4,5,7,1,4,4
"PGEN_.00g145230",0,0,0,0,0,0,0,0
"PGEN_.00g296240",0,0,0,0,0,0,0,0
"PGEN_.00g246020",0,0,0,0,0,0,0,0
"PGEN_.00g174590",26,13,15,19,18,17,22,18
"PGEN_.00g200950",30,19,21,26,63,63,41,55
"PGEN_.00g019870",0,0,0,0,0,0,0,0
"PGEN_.00g241550",0,0,0,0,0,0,0,0
"PGEN_.00g318300",0,0,0,0,0,0,0,0
"PGEN_.00g226290",3,2,2,1,5,4,3,1
"PGEN_.00g063940",53,6,10,25,22,44,36,12
"PGEN_.00g157390",6,20,11,12,22,22,16,19
"PGEN_.00g020160",18,5,7,19,15,16,19,15
"PGEN_.00g102390",0,0,0,0,0,0,0,0
"PGEN_.00g099570",0,0,0,0,0,0,0,0
"PGEN_.00g254080",0,19,6,13,11,5,2,5
"PGEN_.00g106880",8,12,0,11,12,4,4,10
"PGEN_.00g156620",42,61,35,23,35,22,9,20
"PGEN_.00g270380",11,7,5,7,7,7,7,8
"PGEN_.00g076230",0,0,0,0,0,0,0,0
"PGEN_.00g188460",3,4,0,0,1,1,5,0
"PGEN_.00g286180",151,4,11,26,13,11,192,12
"PGEN_.00g275350",32,4,7,7,6,9,18,7
"PGEN_.00g077540",0,0,0,0,0,0,0,0
"PGEN_.00g073040",99,35,16,31,39,47,36,23
"PGEN_.00g345660",31,11,27,29,18,21,36,17
"PGEN_.00g020290",14,5,7,8,6,13,20,18
"PGEN_.00g320870",8,2,0,0,0,0,2,1
"PGEN_.00g130890",0,0,0,0,0,0,0,0
"PGEN_.00g204010",0,0,0,0,0,0,0,0
"PGEN_.00g088700",34,19,22,30,24,35,22,20
"PGEN_.00g152810",136,127,87,169,105,128,135,121
"PGEN_.00g270650",1,1,0,1,1,1,0,1
"PGEN_.00g210360",27,23,6,6,26,6,10,14
"PGEN_.00g113650",12,9,7,2,9,4,8,12
"PGEN_.00g030510",0,0,0,4,2,3,5,5
"PGEN_.00g137320",0,0,0,0,0,0,0,0
"PGEN_.00g326430",0,0,0,0,0,0,0,0
"PGEN_.00g211010",7,3,2,3,0,2,8,0
"PGEN_.00g031640",6,0,6,12,12,2,11,12
"PGEN_.00g095300",12,6,3,4,5,7,23,7
"PGEN_.00g090150",5,0,7,0,9,2,1,5
"PGEN_.00g173060",0,11,0,27,33,0,0,29
"PGEN_.00g180820",4,0,0,0,0,0,0,0
"PGEN_.00g289980",4,2,2,0,1,0,3,0
"PGEN_.00g036910",9,4,3,3,1,1,9,2
"PGEN_.00g066590",0,0,0,0,0,0,0,0
"PGEN_.00g251300",54,13,25,38,57,72,72,49
"PGEN_.00g184110",24,9,2,11,10,11,18,5
"PGEN_.00g214190",19,4,7,7,12,8,15,6
"PGEN_.00g044770",9,2,5,7,6,10,6,5
"PGEN_.00g138360",0,0,0,0,0,0,0,0
"PGEN_.00g043200",0,0,0,0,0,0,0,0
"PGEN_.00g224630",4,4,3,11,6,8,4,6
"PGEN_.00g020830",0,1,2,0,0,1,2,1
"PGEN_.00g009490",5,0,0,2,1,2,9,0
"PGEN_.00g289410",20,10,8,13,10,19,7,6
"PGEN_.00g220520",2,0,0,0,0,0,0,0
"PGEN_.00g272260",3,2,0,6,0,2,5,5
"PGEN_.00g070530",4075,2905,2391,3025,2916,3320,3385,2919
"PGEN_.00g228730",2,1,10,5,6,5,5,4
"PGEN_.00g210940",27,26,26,25,23,40,48,36
"PGEN_.00g103110",0,0,0,0,0,0,2,0
"PGEN_.00g284470",0,0,0,0,0,0,0,0
"PGEN_.00g098760",0,0,0,0,0,0,0,0
"PGEN_.00g074090",5,12,6,7,9,18,10,5
"PGEN_.00g009720",0,0,0,0,0,0,0,0
"PGEN_.00g289320",8,2,6,2,0,4,7,4
"PGEN_.00g220290",0,0,0,0,0,0,0,0
"PGEN_.00g096650",0,0,0,0,0,0,2,0
"PGEN_.00g033730",6,2,1,1,6,6,0,4
"PGEN_.00g294480",0,0,0,0,0,0,0,0
"PGEN_.00g108030",8,1,3,0,2,0,0,1
"PGEN_.00g137810",0,0,0,0,0,0,0,0
"PGEN_.00g349410",0,0,0,0,0,0,0,0
"PGEN_.00g177760",0,0,0,0,0,0,0,0
"PGEN_.00g185240",0,0,2,0,0,2,0,0
"PGEN_.00g205820",6,3,3,4,8,3,6,3
"PGEN_.00g215240",2,2,2,0,2,2,2,0
"PGEN_.00g140840",12,7,5,9,8,6,9,11
"PGEN_.00g107910",4,4,0,3,4,0,0,4
"PGEN_.00g123820",4,3,4,4,9,2,3,2
"PGEN_.00g172730",0,0,0,0,0,0,0,0
"PGEN_.00g083910",0,0,0,0,0,0,0,0
"PGEN_.00g179530",0,0,0,0,0,0,0,0
"PGEN_.00g212730",6,14,7,5,19,11,19,8
"PGEN_.00g150330",0,0,0,0,0,0,0,0
"PGEN_.00g135410",0,0,1,3,3,0,6,4
"PGEN_.00g179610",15,0,0,0,2,0,2,0
"PGEN_.00g203370",0,0,0,0,0,0,0,0
"PGEN_.00g223360",5,5,0,6,2,8,8,6
"PGEN_.00g228190",49,59,46,49,39,56,43,117
"PGEN_.00g171420",0,0,0,0,0,0,0,0
"PGEN_.00g107260",0,0,0,0,0,0,0,0
"PGEN_.00g329540",4,3,2,2,0,2,0,0
"PGEN_.00g252820",0,0,0,0,2,0,0,0
"PGEN_.00g022470",0,0,0,1,7,0,1,0
"PGEN_.00g002860",0,0,0,0,0,0,0,0
"PGEN_.00g295280",0,0,0,0,0,0,0,0
"PGEN_.00g314170",35,9,27,18,21,40,36,26
"PGEN_.00g172880",3,0,0,2,2,4,0,2
"PGEN_.00g008880",16,8,7,8,19,44,20,21
"PGEN_.00g285710",2,2,7,0,2,3,0,3
"PGEN_.00g029220",24,16,14,8,13,21,12,14
"PGEN_.00g285050",1,9,7,1,8,3,2,4
"PGEN_.00g034420",0,0,0,0,0,0,0,0
"PGEN_.00g333270",0,0,0,0,0,2,0,3
"PGEN_.00g339960",135,100,68,74,84,155,120,118
"PGEN_.00g003400",2,0,4,2,2,2,0,2
"PGEN_.00g007980",17,2,5,9,8,10,20,8
"PGEN_.00g311610",9,9,3,2,6,10,7,6
"PGEN_.00g019970",4,22,10,23,16,28,9,28
"PGEN_.00g295750",0,0,0,0,0,1,2,2
"PGEN_.00g109340",7,3,0,6,0,5,5,3
"PGEN_.00g160500",0,0,0,0,0,0,0,0
"PGEN_.00g078660",2,0,0,0,0,0,0,0
"PGEN_.00g074320",0,0,0,0,0,0,0,0
"PGEN_.00g262920",8,4,1,0,1,0,8,0
"PGEN_.00g005580",9,2,5,7,6,5,9,12
"PGEN_.00g317610",0,0,0,0,0,0,0,0
"PGEN_.00g194180",0,0,0,0,0,0,0,0
"PGEN_.00g075050",10,7,4,16,7,15,21,9
"PGEN_.00g330340",28,11,14,17,13,20,25,10
"PGEN_.00g108960",0,0,0,0,0,0,0,0
"PGEN_.00g171280",6,0,2,5,0,2,5,3
"PGEN_.00g218550",4,1,0,1,1,1,2,3
"PGEN_.00g128280",30,18,6,15,15,27,31,27
"PGEN_.00g178560",5,1,1,2,2,1,3,1
"PGEN_.00g006580",0,0,0,0,0,0,0,0
"PGEN_.00g105510",6,76,77,5,118,6,92,4
"PGEN_.00g170770",80,43,0,0,72,26,0,0
"PGEN_.00g216290",14,12,11,3,5,16,19,8
"PGEN_.00g037730",90,54,59,56,51,36,97,48
"PGEN_.00g335640",0,0,0,0,0,0,0,0
"PGEN_.00g326730",0,0,0,0,0,0,0,0
"PGEN_.00g093750",0,0,0,0,0,0,0,0
"PGEN_.00g034280",54,82,69,58,72,106,71,113
"PGEN_.00g038700",0,0,0,0,0,0,0,0
"PGEN_.00g340150",0,0,0,3,1,2,0,1
"PGEN_.00g339340",2,0,0,0,0,0,0,0
"PGEN_.00g165330",0,0,0,0,0,0,0,0
"PGEN_.00g120700",166,235,183,227,227,253,157,228
"PGEN_.00g124880",0,0,0,0,0,0,0,0
"PGEN_.00g266930",91,116,96,176,135,167,136,129
"PGEN_.00g195160",0,0,0,0,0,0,0,0
"PGEN_.00g004980",17,6,5,4,7,5,10,3
"PGEN_.00g128130",10,5,7,5,4,4,8,3
"PGEN_.00g222100",23,10,10,17,14,9,14,19
"PGEN_.00g035770",4,5,3,3,2,7,2,3
"PGEN_.00g039250",0,0,0,0,0,0,0,0
"PGEN_.00g095060",103,35,47,62,60,85,69,64
"PGEN_.00g344890",6,1,0,6,10,17,5,12
"PGEN_.00g006630",1,1,0,2,0,2,0,1
"PGEN_.00g314820",0,0,0,0,0,0,0,2
"PGEN_.00g174900",7,4,5,4,3,2,14,2
"PGEN_.00g170480",127,161,121,209,171,207,128,179
"PGEN_.00g216120",25,13,6,14,8,15,17,13
"PGEN_.00g037880",0,0,0,0,0,0,0,0
"PGEN_.00g046320",0,0,0,0,0,0,0,0
"PGEN_.00g042660",109,62,52,94,55,76,113,81
"PGEN_.00g089360",10,0,3,6,3,4,7,6
"PGEN_.00g117930",0,0,0,0,0,0,0,0
"PGEN_.00g010160",1,0,0,0,0,0,0,1
"PGEN_.00g130130",2,4,13,32,34,7,6,39
"PGEN_.00g041310",0,0,1,0,0,0,2,0
"PGEN_.00g212000",2,0,3,6,0,2,0,2
"PGEN_.00g199310",24,1,5,7,7,8,20,7
"PGEN_.00g018310",18,8,7,9,13,25,11,23
"PGEN_.00g004670",141,67,68,77,75,105,101,85
"PGEN_.00g048430",14,2,2,3,3,2,13,3
"PGEN_.00g035480",0,0,0,0,5,0,0,0
"PGEN_.00g260780",59,28,45,50,29,62,58,46
"PGEN_.00g333690",2,0,0,0,0,0,0,0
"PGEN_.00g125280",0,0,0,0,0,0,0,0
"PGEN_.00g217040",1,0,0,0,0,1,2,2
"PGEN_.00g001000",14,13,13,8,22,18,9,17
"PGEN_.00g219600",0,0,0,4,0,6,11,4
"PGEN_.00g267830",0,0,1,0,0,0,0,0
"PGEN_.00g126950",128,79,70,86,98,115,122,86
"PGEN_.00g284240",48,21,33,36,35,28,67,26
"PGEN_.00g140990",0,0,0,0,0,0,0,0
"PGEN_.00g033910",4,11,13,7,9,8,11,13
"PGEN_.00g164990",5,28,14,21,13,19,8,5
"PGEN_.00g309020",0,0,0,0,0,0,0,0
"PGEN_.00g260430",0,0,0,0,0,0,0,0
"PGEN_.00g044890",50,22,39,62,33,52,41,38
"PGEN_.00g344270",0,0,0,0,0,0,0,0
"PGEN_.00g121070",3,0,0,1,0,0,0,0
"PGEN_.00g125750",63,28,26,39,33,68,57,40
"PGEN_.00g081660",0,0,0,0,0,0,0,0
"PGEN_.00g329110",1533,2370,2649,1379,2050,1840,2559,1867
"PGEN_.00g129660",0,2,0,0,0,3,1,1
"PGEN_.00g117300",44,25,21,33,27,48,47,43
"PGEN_.00g221450",0,0,0,0,0,0,0,0
"PGEN_.00g267780",0,0,0,0,0,0,0,0
"PGEN_.00g332870",0,1,2,2,0,3,2,2
"PGEN_.00g179470",9,0,2,0,0,0,1,0
"PGEN_.00g126480",0,0,0,0,0,0,0,0
"PGEN_.00g080390",3,11,7,7,4,19,13,8
"PGEN_.00g217650",3,1,2,4,3,7,3,5
"PGEN_.00g213570",83,47,30,52,60,47,46,47
"PGEN_.00g115230",39,37,32,35,51,25,72,27
"PGEN_.00g087620",19,16,2,37,24,17,19,29
"PGEN_.00g243700",12,13,3,6,6,8,7,10
"PGEN_.00g210000",0,0,0,0,0,0,0,0
"PGEN_.00g011690",0,0,0,0,0,0,0,0
"PGEN_.00g015530",1,0,0,2,0,0,0,0
"PGEN_.00g303080",0,0,0,0,1,0,0,0
"PGEN_.00g124660",0,0,0,0,0,0,0,0
"PGEN_.00g263200",0,0,0,0,0,0,0,0
"PGEN_.00g194340",2,1,0,3,2,0,2,0
"PGEN_.00g338760",8,5,6,7,4,17,10,7
"PGEN_.00g064600",51,136,88,162,120,193,141,180
"PGEN_.00g244080",32,15,9,15,14,26,19,11
"PGEN_.00g000350",0,0,0,0,0,0,0,0
"PGEN_.00g045140",0,0,0,0,0,0,0,0
"PGEN_.00g302680",24,7,8,16,9,14,19,8
"PGEN_.00g198440",0,0,0,0,2,0,0,0
"PGEN_.00g238660",4,4,3,5,8,6,7,11
"PGEN_.00g348090",0,0,0,0,0,0,0,0
"PGEN_.00g011340",0,0,0,0,0,0,0,0
"PGEN_.00g044230",38,60,56,62,54,75,51,56
"PGEN_.00g303550",0,0,0,0,0,0,0,0
"PGEN_.00g255730",5,0,0,0,0,0,0,0
"PGEN_.00g225220",3,0,2,0,0,0,3,0
"PGEN_.00g237900",33,26,32,32,24,41,49,28
"PGEN_.00g001910",0,0,0,0,0,0,0,0
"PGEN_.00g019190",11,3,4,9,2,0,2,3
"PGEN_.00g125070",0,0,1,0,0,0,1,3
"PGEN_.00g332250",119,134,88,115,127,156,142,128
"PGEN_.00g141460",2,0,0,0,0,0,0,0
"PGEN_.00g304680",11,6,10,2,17,10,8,4
"PGEN_.00g126220",0,0,0,0,0,2,0,0
"PGEN_.00g080530",0,0,0,0,0,0,0,0
"PGEN_.00g319280",75,63,73,78,67,104,78,93
"PGEN_.00g245180",0,0,0,0,0,0,0,0
"PGEN_.00g122990",29,2,10,4,7,4,10,4
"PGEN_.00g162270",2,2,2,0,1,1,0,2
"PGEN_.00g218230",14,7,3,16,3,7,4,9
"PGEN_.00g007510",0,0,0,0,0,0,0,0
"PGEN_.00g273730",55,35,28,57,44,47,57,30
"PGEN_.00g324600",2,7,5,8,2,5,12,7
"PGEN_.00g122010",0,0,0,0,0,0,0,0
"PGEN_.00g118210",0,0,0,2,0,0,0,0
"PGEN_.00g092300",0,2,0,0,0,0,0,0
"PGEN_.00g322920",3,0,0,2,0,10,0,0
"PGEN_.00g114540",41,29,11,23,29,20,50,35
"PGEN_.00g232990",0,0,0,0,0,0,0,0
"PGEN_.00g262550",0,0,0,0,0,0,1,0
"PGEN_.00g266070",0,2,0,0,0,0,3,0
"PGEN_.00g301980",0,0,0,2,0,0,0,0
"PGEN_.00g242940",0,0,0,0,0,0,0,0
"PGEN_.00g089810",34,33,21,42,49,74,39,28
"PGEN_.00g337750",0,0,0,0,0,0,0,0
"PGEN_.00g017970",73,72,52,24,60,39,34,58
"PGEN_.00g176810",2,0,0,2,0,0,0,2
"PGEN_.00g186740",0,2,0,0,0,0,0,0
"PGEN_.00g167310",4,0,0,0,0,0,5,0
"PGEN_.00g183620",1,0,0,0,0,0,3,0
"PGEN_.00g336400",2,0,0,0,0,0,8,0
"PGEN_.00g349350",0,0,0,0,2,0,0,0
"PGEN_.00g122830",0,0,0,0,0,0,0,0
"PGEN_.00g056500",3,4,4,6,7,15,7,6
"PGEN_.00g143270",0,0,0,0,0,0,0,0
"PGEN_.00g235410",0,1,0,0,1,0,2,0
"PGEN_.00g278070",0,0,0,0,0,0,0,0
"PGEN_.00g016370",0,0,0,0,0,0,0,0
"PGEN_.00g304020",0,2,0,0,0,0,0,0
"PGEN_.00g308560",0,0,0,0,0,0,0,0
"PGEN_.00g224170",0,0,0,0,0,0,0,0
"PGEN_.00g331750",12,7,5,6,3,8,6,12
"PGEN_.00g319860",12,5,3,16,14,12,19,14
"PGEN_.00g340980",0,2,0,1,0,0,0,2
"PGEN_.00g026740",2,2,0,1,1,4,1,0
"PGEN_.00g162890",0,0,2,0,0,0,0,0
"PGEN_.00g334180",0,0,0,0,0,1,0,0
"PGEN_.00g198990",4,9,21,19,58,40,9,10
"PGEN_.00g003870",0,0,0,0,0,0,0,0
"PGEN_.00g012610",5,0,2,3,2,5,2,2
"PGEN_.00g024450",95,138,103,119,129,126,138,140
"PGEN_.00g146610",6,0,0,0,0,2,0,2
"PGEN_.00g196450",1,1,0,0,0,0,0,0
"PGEN_.00g325550",4,1,2,2,3,4,3,3
"PGEN_.00g062260",99,109,65,104,126,150,137,128
"PGEN_.00g192340",14,5,4,12,9,12,18,12
"PGEN_.00g187830",0,0,0,0,0,0,0,0
"PGEN_.00g335980",6,1,2,2,1,2,1,0
"PGEN_.00g266690",191,89,119,184,175,149,187,249
"PGEN_.00g117890",0,6,0,0,2,2,2,2
"PGEN_.00g180150",0,0,0,0,0,6,5,2
"PGEN_.00g017390",2,0,0,0,0,2,0,0
"PGEN_.00g061260",0,0,0,0,1,2,0,0
"PGEN_.00g265520",5,3,2,0,1,1,1,2
"PGEN_.00g341580",0,1,0,0,2,1,0,1
"PGEN_.00g197520",1,2,3,0,0,0,4,0
"PGEN_.00g264690",0,0,0,0,0,0,0,0
"PGEN_.00g274170",2,0,0,0,0,0,0,0
"PGEN_.00g103250",0,0,0,0,0,0,0,0
"PGEN_.00g347290",4,6,7,14,8,17,9,7
"PGEN_.00g056480",1,2,2,2,0,1,0,1
"PGEN_.00g052900",0,0,0,0,0,0,0,0
"PGEN_.00g330990",0,0,0,3,1,4,0,0
"PGEN_.00g233710",371,181,171,256,311,365,214,255
"PGEN_.00g049500",3,2,0,5,2,2,11,3
"PGEN_.00g115790",1,0,1,1,0,1,1,0
"PGEN_.00g309210",0,0,0,0,0,0,0,0
"PGEN_.00g330800",0,0,0,0,0,0,0,0
"PGEN_.00g341630",0,0,0,0,0,0,0,0
"PGEN_.00g021210",4,5,9,7,5,17,13,6
"PGEN_.00g053050",0,0,0,0,2,2,0,0
"PGEN_.00g082700",42,64,46,57,55,47,27,58
"PGEN_.00g246620",7,3,2,4,5,5,3,2
"PGEN_.00g264340",0,0,0,0,0,0,0,0
"PGEN_.00g197030",0,0,0,0,0,1,0,0
"PGEN_.00g050880",0,0,0,0,0,0,2,0
"PGEN_.00g181200",23,14,9,18,13,25,13,17
"PGEN_.00g241390",58,88,54,86,82,105,70,72
"PGEN_.00g335320",0,0,0,0,0,0,0,0
"PGEN_.00g347740",0,0,0,0,0,0,0,0
"PGEN_.00g027900",0,0,0,0,0,0,0,0
"PGEN_.00g056730",4,2,0,0,0,2,3,0
"PGEN_.00g191100",11,6,3,5,4,3,6,5
"PGEN_.00g279030",0,0,0,0,0,0,0,0
"PGEN_.00g110670",2,2,0,0,0,0,0,0
"PGEN_.00g167880",0,0,0,0,0,0,0,0
"PGEN_.00g139210",21,12,5,2,0,5,9,0
"PGEN_.00g268590",0,0,0,0,0,0,0,0
"PGEN_.00g231410",49,36,27,31,33,49,40,57
"PGEN_.00g014610",260,94,0,139,276,183,376,172
"PGEN_.00g306460",59,13,13,5,24,15,25,3
"PGEN_.00g057280",17,12,8,29,34,25,14,8
"PGEN_.00g190850",3,2,5,2,5,2,4,3
"PGEN_.00g236290",17,6,9,11,10,21,23,8
"PGEN_.00g076030",0,0,0,0,0,0,0,0
"PGEN_.00g047150",38,29,19,33,16,31,18,13
"PGEN_.00g050770",4,3,0,0,0,3,11,1
"PGEN_.00g141820",57,42,33,46,29,46,55,49
"PGEN_.00g297020",0,1,0,0,0,2,0,0
"PGEN_.00g077780",0,0,0,0,0,0,0,0
"PGEN_.00g073200",0,0,0,0,0,0,0,0
"PGEN_.00g042500",33,21,16,35,23,28,28,28
"PGEN_.00g256480",6,6,3,5,5,1,10,6
"PGEN_.00g194440",0,0,0,0,0,0,0,0
"PGEN_.00g147250",0,0,0,1,2,0,0,2
"PGEN_.00g153380",5517,3205,3143,3925,3361,3525,3422,3251
"PGEN_.00g157800",4,0,0,0,0,0,4,0
"PGEN_.00g025460",17,2,2,5,4,5,13,1
"PGEN_.00g055260",11,10,8,15,6,4,10,9
"PGEN_.00g094070",3,0,0,0,0,0,0,0
"PGEN_.00g306790",80,32,42,60,21,33,36,39
"PGEN_.00g085390",6,5,7,0,12,14,6,6
"PGEN_.00g106570",0,0,0,0,0,0,0,0
"PGEN_.00g270410",2,0,0,0,0,0,2,2
"PGEN_.00g076780",33,25,33,39,36,63,49,39
"PGEN_.00g028210",0,0,0,0,0,0,0,0
