"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g222590",2,0,0,0,0,1,0,0
"PGEN_.00g336510",3,0,2,0,2,4,0,3
"PGEN_.00g328950",9,1,13,14,14,14,13,7
"PGEN_.00g122700",10,9,6,5,5,4,5,8
"PGEN_.00g287610",3,0,0,0,0,0,3,0
"PGEN_.00g235500",42,15,23,18,19,29,25,16
"PGEN_.00g304350",2,0,0,0,0,0,7,0
"PGEN_.00g065460",4,3,2,4,4,2,4,5
"PGEN_.00g097200",0,0,0,0,0,0,0,1
"PGEN_.00g340890",0,0,0,0,0,0,0,0
"PGEN_.00g026030",0,2,2,0,0,0,1,0
"PGEN_.00g083340",3,4,2,2,2,3,3,5
"PGEN_.00g134890",2,2,0,0,3,5,0,0
"PGEN_.00g018780",9,18,4,16,8,11,6,27
"PGEN_.00g198660",3,0,0,0,0,3,0,0
"PGEN_.00g222620",0,0,0,0,0,0,0,0
"PGEN_.00g007400",0,0,0,0,0,0,0,0
"PGEN_.00g318260",0,0,0,0,0,0,0,0
"PGEN_.00g315610",0,0,0,0,0,0,0,0
"PGEN_.00g146160",6,0,0,0,0,3,4,1
"PGEN_.00g196540",0,0,0,0,0,0,0,0
"PGEN_.00g348830",4,4,2,3,1,5,4,2
"PGEN_.00g314560",37,11,14,26,18,22,20,20
"PGEN_.00g192430",0,2,0,0,0,0,0,0
"PGEN_.00g224750",21,31,18,22,18,27,17,21
"PGEN_.00g269570",53,12,17,12,9,29,35,19
"PGEN_.00g335890",24,18,18,28,29,29,23,44
"PGEN_.00g266780",3,2,0,1,0,1,6,0
"PGEN_.00g150350",0,0,0,0,1,0,0,0
"PGEN_.00g343600",18,11,10,13,17,25,22,26
"PGEN_.00g259770",1,4,0,0,0,2,0,0
"PGEN_.00g265470",11,11,9,10,9,12,12,11
"PGEN_.00g242020",59,46,30,46,44,57,45,49
"PGEN_.00g111300",1,0,0,0,0,0,0,0
"PGEN_.00g264780",25,12,16,21,20,14,40,20
"PGEN_.00g325370",7,5,5,9,5,7,9,2
"PGEN_.00g160990",0,0,0,0,0,0,0,0
"PGEN_.00g100950",0,0,0,0,0,0,0,0
"PGEN_.00g266870",171,189,127,150,179,236,171,213
"PGEN_.00g301450",3,0,0,0,0,0,0,0
"PGEN_.00g052810",0,0,0,0,0,0,0,0
"PGEN_.00g049410",50,42,34,48,45,43,38,48
"PGEN_.00g309300",0,0,0,0,0,0,0,0
"PGEN_.00g265780",4,2,0,2,3,5,0,6
"PGEN_.00g318480",4,2,0,2,7,6,13,4
"PGEN_.00g341760",0,0,0,0,0,0,0,0
"PGEN_.00g021560",0,0,0,0,0,0,0,0
"PGEN_.00g085420",162,197,186,203,209,223,289,224
"PGEN_.00g082430",0,0,0,0,0,0,0,0
"PGEN_.00g012520",0,0,0,0,0,0,0,0
"PGEN_.00g084770",12,11,9,18,12,14,13,11
"PGEN_.00g335270",0,0,0,0,0,0,0,0
"PGEN_.00g347030",7,7,3,13,8,7,17,5
"PGEN_.00g027810",0,0,0,2,2,2,3,2
"PGEN_.00g305480",26,17,16,25,33,42,52,20
"PGEN_.00g147690",3,2,3,6,4,6,7,3
"PGEN_.00g143530",2,5,2,7,3,3,10,5
"PGEN_.00g000880",2,0,0,2,0,0,0,0
"PGEN_.00g174020",0,0,0,0,0,0,2,0
"PGEN_.00g115530",0,0,0,0,0,0,0,0
"PGEN_.00g231500",0,0,0,0,0,0,0,0
"PGEN_.00g120930",0,0,0,0,0,0,0,0
"PGEN_.00g057390",9,3,9,3,5,15,15,12
"PGEN_.00g296620",0,0,0,0,0,0,0,0
"PGEN_.00g026600",0,0,0,0,0,0,5,0
"PGEN_.00g230690",0,0,0,0,0,0,0,0
"PGEN_.00g047040",8,6,5,7,8,15,9,13
"PGEN_.00g300500",0,0,0,0,0,1,0,2
"PGEN_.00g073310",9,2,10,8,3,17,18,12
"PGEN_.00g042270",30,32,17,8,9,10,29,8
"PGEN_.00g038610",0,0,0,0,0,0,0,0
"PGEN_.00g298570",167,138,112,176,137,202,156,178
"PGEN_.00g147340",8,14,18,51,106,31,10,15
"PGEN_.00g153290",2,2,3,1,1,1,0,3
"PGEN_.00g025710",5,4,12,10,9,7,6,10
"PGEN_.00g279290",28,12,8,13,7,13,25,10
"PGEN_.00g094300",15,5,5,3,4,6,4,7
"PGEN_.00g201190",1,1,6,0,8,0,0,0
"PGEN_.00g116270",8,3,0,0,0,2,4,0
"PGEN_.00g306680",7,3,5,11,14,21,4,3
"PGEN_.00g085280",4,8,4,7,7,9,4,2
"PGEN_.00g106420",0,0,0,0,0,0,0,0
"PGEN_.00g270720",0,2,0,0,0,0,0,0
"PGEN_.00g346920",0,0,0,0,0,0,0,0
"PGEN_.00g036760",0,0,0,0,0,0,0,0
"PGEN_.00g260950",6,10,11,15,22,10,11,14
"PGEN_.00g264430",0,0,0,0,0,0,0,0
"PGEN_.00g200820",0,0,0,0,0,0,0,0
"PGEN_.00g342230",1,2,2,0,2,3,2,3
"PGEN_.00g190100",0,0,0,0,0,0,0,0
"PGEN_.00g058140",0,0,0,0,0,0,0,0
"PGEN_.00g124550",0,0,0,0,0,0,0,0
"PGEN_.00g085610",0,0,0,0,0,0,0,0
"PGEN_.00g340560",2,1,0,0,3,0,0,1
"PGEN_.00g201440",42,15,18,15,24,23,14,20
"PGEN_.00g057530",0,0,0,0,0,0,0,0
"PGEN_.00g053850",0,0,0,0,0,0,0,0
"PGEN_.00g106390",0,0,0,0,0,0,0,0
"PGEN_.00g331680",0,0,0,0,2,3,4,2
"PGEN_.00g113270",0,1,2,2,5,5,5,9
"PGEN_.00g280270",0,1,0,0,0,0,5,0
"PGEN_.00g050620",0,4,0,4,1,1,2,0
"PGEN_.00g084480",19,12,7,17,14,10,20,18
"PGEN_.00g237210",17,31,18,20,22,20,9,17
"PGEN_.00g206870",2,0,5,0,3,2,3,2
"PGEN_.00g252160",2,2,2,3,6,0,0,0
"PGEN_.00g126830",0,0,0,0,0,0,0,0
"PGEN_.00g255420",0,0,0,0,0,0,0,0
"PGEN_.00g164120",41,87,36,68,82,85,51,60
"PGEN_.00g070660",0,0,0,0,0,0,0,0
"PGEN_.00g299620",1,0,0,0,0,1,3,0
"PGEN_.00g140370",20,1,2,11,7,13,16,3
"PGEN_.00g024040",13,33,15,29,20,25,24,27
"PGEN_.00g256440",0,0,0,3,0,6,0,1
"PGEN_.00g196840",52,45,38,55,39,52,75,56
"PGEN_.00g138740",0,0,0,1,1,0,0,0
"PGEN_.00g052260",2,2,0,0,0,0,0,0
"PGEN_.00g232360",2,0,0,0,4,4,7,2
"PGEN_.00g297280",40,11,14,10,11,26,27,11
"PGEN_.00g271090",7,10,3,6,6,11,10,9
"PGEN_.00g275770",8,0,0,1,0,0,6,0
"PGEN_.00g142390",0,0,0,0,0,0,0,0
"PGEN_.00g077120",2,0,0,0,0,0,0,0
"PGEN_.00g308820",0,0,0,0,0,0,0,0
"PGEN_.00g144610",17,8,7,14,6,5,8,11
"PGEN_.00g244410",0,0,0,0,0,0,0,0
"PGEN_.00g158860",3,0,4,13,5,0,2,2
"PGEN_.00g281240",5,0,2,2,2,0,0,0
"PGEN_.00g208440",0,0,0,0,0,0,0,0
"PGEN_.00g152650",83,84,73,94,94,104,92,77
"PGEN_.00g113890",7,6,3,6,10,4,7,11
"PGEN_.00g189560",0,0,2,1,0,0,0,0
"PGEN_.00g277730",12,4,10,9,8,12,13,10
"PGEN_.00g011990",24,17,12,10,13,17,17,11
