"","Time","GeneCount_5cpm","PercAnnot_5cpm","GeneCount_10cpm","PercAnnot_10cpm","GeneCount_diff_10cpm_5cpm"
"1","all",11890,"69.5542472666106 %",8460,"72.3522458628842 %",71.1522287636669
"2","d0",12664,"68.7144662034112 %",9207,"71.5542521994135 %",72.7021478205938
"3","d7",12013,"69.1167901440107 %",8548,"72.0168460458587 %",71.1562473986515
"4","d14",12135,"69.5838483724763 %",8626,"72.3278460468351 %",71.0836423568191
"5","d21",11800,"69.6101694915254 %",8421,"72.568578553616 %",71.364406779661
