"","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"PGEN_.00g090200",5,12,19,25,28,28,18,15
"PGEN_.00g237070",13,5,7,11,6,17,13,15
"PGEN_.00g089600",38,27,18,28,20,36,34,30
"PGEN_.00g298710",18,2,15,11,8,30,13,15
"PGEN_.00g209240",10,34,21,14,14,18,10,22
"PGEN_.00g010970",13,10,5,10,11,15,10,12
"PGEN_.00g071930",23,23,12,23,33,20,18,16
"PGEN_.00g077300",42,76,29,64,8,10,90,77
"PGEN_.00g153700",68,33,13,13,14,22,33,10
"PGEN_.00g148530",50,22,25,32,40,19,30,34
"PGEN_.00g091550",36,19,11,32,18,18,35,21
"PGEN_.00g102410",22,12,10,17,25,27,42,26
"PGEN_.00g022180",7,6,14,9,11,17,10,10
"PGEN_.00g289690",70,26,35,53,41,64,23,46
"PGEN_.00g029750",13,32,12,20,18,29,13,8
"PGEN_.00g182980",0,33,23,6,24,18,51,31
"PGEN_.00g003130",39,14,14,19,37,21,14,27
"PGEN_.00g054650",22,12,6,9,19,20,29,8
"PGEN_.00g255060",68,45,42,48,41,36,48,27
"PGEN_.00g336550",17,4,3,4,9,10,11,11
"PGEN_.00g093840",7,4,12,28,35,26,16,8
"PGEN_.00g177910",114,125,76,136,95,127,111,123
"PGEN_.00g187130",31,14,12,24,48,32,14,6
"PGEN_.00g182320",76,18,45,33,37,48,53,37
"PGEN_.00g151130",12,5,4,11,12,12,16,18
"PGEN_.00g252220",28,8,10,7,6,18,9,5
"PGEN_.00g131570",20,22,13,15,14,25,17,13
"PGEN_.00g253570",82,88,50,101,70,127,88,133
"PGEN_.00g005030",42,19,12,12,19,13,12,8
"PGEN_.00g134120",11,21,8,20,14,13,18,16
"PGEN_.00g256900",36,37,11,33,20,27,28,31
"PGEN_.00g260760",4986,4192,3168,3933,3626,3468,3526,3802
"PGEN_.00g206130",100,133,121,100,158,289,159,132
"PGEN_.00g284800",10,43,10,13,7,9,3,20
"PGEN_.00g080000",27,23,13,35,14,14,10,11
"PGEN_.00g175610",27,3,7,13,25,15,14,17
"PGEN_.00g173610",62,82,85,81,78,90,104,99
"PGEN_.00g128720",26,12,18,4,8,7,16,4
"PGEN_.00g060190",194,98,73,154,125,213,176,114
"PGEN_.00g045780",104,86,69,121,106,133,96,92
"PGEN_.00g210390",7,7,7,4,8,12,11,9
"PGEN_.00g286400",284,46,192,184,199,156,506,59
"PGEN_.00g211620",116,27,32,54,61,73,62,44
"PGEN_.00g027330",89,62,62,82,38,124,72,84
"PGEN_.00g035820",13,12,32,56,72,131,87,25
"PGEN_.00g181160",40,17,21,22,26,30,24,30
"PGEN_.00g301820",31,48,32,59,80,43,48,50
"PGEN_.00g017370",10,6,9,6,15,7,10,12
"PGEN_.00g251060",29,18,17,9,15,25,34,23
"PGEN_.00g238060",17,31,88,136,226,236,105,53
"PGEN_.00g341560",175,117,122,141,175,274,193,199
"PGEN_.00g044430",17,21,11,16,23,32,35,13
"PGEN_.00g314760",45,24,15,28,18,17,29,23
"PGEN_.00g009130",26,14,7,8,12,12,12,11
"PGEN_.00g003270",82,70,50,69,58,54,50,50
"PGEN_.00g311040",53,50,36,45,69,103,41,49
"PGEN_.00g336970",253,129,136,154,198,237,179,167
"PGEN_.00g047200",48,191,596,707,1373,841,216,284
"PGEN_.00g228890",30,21,31,36,34,44,34,41
"PGEN_.00g083720",91,33,29,59,44,62,69,42
"PGEN_.00g033260",66,76,61,78,91,112,115,88
"PGEN_.00g346720",5488,3556,3119,3954,3907,4274,3913,4019
"PGEN_.00g048920",118,62,63,68,69,96,133,91
"PGEN_.00g342030",25,7,10,14,16,15,23,9
"PGEN_.00g056460",49,16,15,17,15,24,18,16
"PGEN_.00g019980",6,8,12,20,18,23,12,9
"PGEN_.00g048690",5,27,8,25,7,7,21,16
"PGEN_.00g115950",66,70,48,86,62,112,79,83
"PGEN_.00g179150",60,45,37,52,50,88,47,56
"PGEN_.00g261150",203,198,157,218,266,381,215,303
"PGEN_.00g339990",57,86,41,54,84,80,79,54
"PGEN_.00g039280",193,317,246,249,290,271,244,246
"PGEN_.00g169300",15,2,13,12,15,3,10,6
"PGEN_.00g041520",28,25,18,20,22,15,37,7
"PGEN_.00g039750",43,56,28,31,31,37,30,47
"PGEN_.00g040690",0,3,30,24,78,77,14,10
"PGEN_.00g241880",26,13,12,14,15,17,21,13
"PGEN_.00g284780",74,45,38,48,49,122,89,66
"PGEN_.00g330460",533,2031,779,907,1360,654,351,380
"PGEN_.00g268850",20,16,16,18,11,30,13,8
"PGEN_.00g306880",4,10,13,16,31,15,21,13
"PGEN_.00g155090",24,1426,222,425,853,389,455,707
"PGEN_.00g342850",39,46,37,47,64,88,48,38
"PGEN_.00g014940",49,44,31,30,47,58,48,44
"PGEN_.00g162790",6,6,8,10,12,9,10,18
"PGEN_.00g243480",229,561,310,788,488,804,657,865
"PGEN_.00g016540",22,17,17,47,51,62,45,43
"PGEN_.00g164650",45,11,104,158,455,173,64,60
"PGEN_.00g069200",69,38,33,41,70,81,72,35
"PGEN_.00g288630",12,5,12,7,7,18,10,6
"PGEN_.00g272740",41,35,20,26,17,33,45,41
"PGEN_.00g299050",13,2,5,10,13,13,6,13
"PGEN_.00g119840",12,12,16,18,10,13,22,7
"PGEN_.00g151730",21,13,7,25,22,19,23,29
"PGEN_.00g231140",27,26,11,17,34,18,17,10
"PGEN_.00g273290",141,100,93,94,124,165,114,139
"PGEN_.00g168490",16,10,20,18,19,19,17,25
"PGEN_.00g092080",28,61,34,34,57,57,35,67
"PGEN_.00g068080",146,188,206,296,310,440,337,424
"PGEN_.00g205330",22,7,7,21,8,19,16,16
"PGEN_.00g331780",7,17,6,8,14,28,15,7
"PGEN_.00g089060",19,37,24,24,33,39,37,23
"PGEN_.00g123170",429,528,672,718,616,370,116,428
"PGEN_.00g309420",5306,2938,3400,3931,3595,4499,4139,3604
"PGEN_.00g331250",81,50,67,78,84,95,74,63
"PGEN_.00g086560",14,8,19,17,16,10,14,8
"PGEN_.00g247830",60,150,201,211,225,273,84,248
"PGEN_.00g149820",10,31,15,37,53,28,60,70
"PGEN_.00g123200",19,32,39,25,32,6,12,17
"PGEN_.00g118710",26,12,8,6,14,35,23,14
"PGEN_.00g092620",2,8,2,13,14,9,11,14
"PGEN_.00g300020",221,60,53,77,86,158,235,89
"PGEN_.00g147460",15,5,3,15,9,9,15,18
"PGEN_.00g292990",173,146,105,150,153,150,169,164
"PGEN_.00g334540",13,15,9,9,8,15,13,9
"PGEN_.00g053080",25,15,19,28,17,18,20,11
"PGEN_.00g254570",55,43,17,18,45,31,61,37
"PGEN_.00g156720",71,86,48,96,68,77,86,78
"PGEN_.00g270240",158,99,120,128,202,230,206,163
"PGEN_.00g100690",22,9,8,13,23,30,22,14
"PGEN_.00g201360",12,12,14,8,10,9,9,8
"PGEN_.00g236260",53,48,32,69,91,87,62,45
"PGEN_.00g184070",20,7,10,12,6,12,15,5
"PGEN_.00g076770",19,11,7,14,29,23,21,12
"PGEN_.00g271590",14,13,10,13,19,19,14,25
"PGEN_.00g214380",65,37,37,25,41,57,74,33
"PGEN_.00g103630",7,6,14,21,29,42,18,7
"PGEN_.00g159980",36,12,8,7,7,8,12,5
"PGEN_.00g067360",15,14,5,10,16,10,9,12
"PGEN_.00g250530",140,82,93,127,111,205,195,155
"PGEN_.00g066010",62,7,20,36,49,45,52,31
"PGEN_.00g033410",13,6,6,15,10,11,8,7
"PGEN_.00g073720",41,37,30,44,31,37,39,48
"PGEN_.00g209030",8,9,3,8,11,16,5,10
"PGEN_.00g229100",6,4,9,13,7,5,11,9
"PGEN_.00g291640",12,12,3,8,5,6,13,15
"PGEN_.00g133560",73,11,14,21,27,34,21,14
"PGEN_.00g280940",126,170,100,150,221,230,275,105
"PGEN_.00g282230",138,115,104,69,175,95,105,58
"PGEN_.00g211860",25,22,21,28,20,42,29,33
"PGEN_.00g204450",16,12,11,13,10,28,39,20
"PGEN_.00g105670",75,51,29,25,21,52,37,41
"PGEN_.00g032420",23,17,21,18,36,44,29,28
"PGEN_.00g176240",14,17,18,30,22,17,25,24
"PGEN_.00g047950",93,42,46,33,41,29,25,19
"PGEN_.00g184890",78,39,41,56,34,87,100,62
"PGEN_.00g253980",17,6,6,16,5,7,21,12
"PGEN_.00g079690",48,24,30,50,39,62,58,39
"PGEN_.00g284300",17,4,4,9,11,13,11,10
"PGEN_.00g213160",37,25,17,27,14,29,44,31
"PGEN_.00g034140",30,11,12,16,18,28,23,16
"PGEN_.00g121110",59,56,33,52,65,68,65,80
"PGEN_.00g226540",82,43,58,71,89,71,40,55
"PGEN_.00g130210",127,52,64,49,70,106,122,80
"PGEN_.00g101220",53,28,33,56,43,56,46,32
"PGEN_.00g194080",11,9,16,11,9,11,11,8
"PGEN_.00g045080",378,153,63,182,146,95,225,104
"PGEN_.00g332330",15,18,10,20,15,18,25,25
"PGEN_.00g328490",120,29,8,24,18,8,32,44
"PGEN_.00g213830",98,48,53,39,43,50,51,43
"PGEN_.00g312410",4366,2378,2462,2940,2865,3357,2873,2642
"PGEN_.00g011730",546,698,527,196,644,628,473,507
"PGEN_.00g060650",143,180,125,190,148,248,176,217
"PGEN_.00g064570",46,57,32,61,66,76,75,88
"PGEN_.00g016700",25,9,11,19,18,26,27,17
"PGEN_.00g308170",28,16,7,13,12,19,28,28
"PGEN_.00g065530",35,55,40,88,80,85,56,78
"PGEN_.00g238920",20,11,6,20,10,8,8,14
"PGEN_.00g043660",40,29,30,39,48,30,29,22
"PGEN_.00g336350",43,22,28,12,19,42,46,32
"PGEN_.00g229660",10,23,21,11,21,21,20,23
"PGEN_.00g018750",66,48,29,67,48,63,98,47
"PGEN_.00g222670",142,106,106,104,133,232,178,148
"PGEN_.00g258400",8,7,10,13,29,13,9,15
"PGEN_.00g219240",175,11,9,7,7,10,30,6
"PGEN_.00g093110",31,23,12,17,13,9,22,7
"PGEN_.00g265420",18,13,11,8,12,10,13,11
"PGEN_.00g341240",27,9,15,29,18,40,18,34
"PGEN_.00g177380",47,34,18,39,63,48,62,31
"PGEN_.00g221090",20,13,7,7,2,21,20,7
"PGEN_.00g331010",70,36,25,57,55,55,62,55
"PGEN_.00g052840",8,6,25,8,37,34,13,3
"PGEN_.00g172350",13,20,4,9,10,18,13,12
"PGEN_.00g223780",11,5,12,8,9,11,11,7
"PGEN_.00g021530",60,61,63,72,61,100,85,103
"PGEN_.00g146130",89,120,75,135,117,194,126,133
"PGEN_.00g056690",62,8,41,12,9,17,29,16
"PGEN_.00g279150",30,3,5,7,14,15,18,9
"PGEN_.00g261050",18,12,13,14,4,9,15,6
"PGEN_.00g085230",30,32,23,50,23,39,21,27
"PGEN_.00g346970",31,21,13,18,20,16,23,18
"PGEN_.00g085780",11,46,253,192,423,331,56,94
"PGEN_.00g264480",206,72,58,126,102,150,187,110
"PGEN_.00g305450",37,31,29,33,26,16,37,21
"PGEN_.00g199730",305,162,173,285,179,313,275,306
"PGEN_.00g152190",56,32,23,34,45,57,43,52
"PGEN_.00g142060",5,11,4,11,15,8,10,4
"PGEN_.00g196810",15,18,29,27,18,22,31,18
"PGEN_.00g283300",58,46,44,46,65,63,82,59
"PGEN_.00g155970",32,10,11,17,14,15,20,15
"PGEN_.00g056060",12,33,22,48,24,42,36,39
"PGEN_.00g291400",16,12,7,14,5,18,24,11
"PGEN_.00g234870",21,11,7,18,26,8,19,8
"PGEN_.00g071560",8,9,4,4,9,16,5,12
"PGEN_.00g245510",2,8,15,88,16,159,201,438
"PGEN_.00g329280",29,12,8,19,19,36,24,18
"PGEN_.00g148140",90,23,46,49,75,81,50,60
"PGEN_.00g144640",40,49,22,44,7,11,4,67
"PGEN_.00g289790",48,44,50,82,69,80,57,71
"PGEN_.00g088980",49,27,23,37,25,43,42,27
"PGEN_.00g162610",30,34,34,23,20,33,16,21
"PGEN_.00g273310",8,23,18,23,18,25,31,13
"PGEN_.00g163560",66,48,42,63,70,113,48,71
"PGEN_.00g189780",84,78,65,46,60,69,72,40
"PGEN_.00g053780",92,109,59,91,107,100,127,84
"PGEN_.00g168280",40,19,10,18,23,32,17,28
"PGEN_.00g206340",13,9,8,9,19,9,7,9
"PGEN_.00g026320",34,24,12,30,19,47,25,22
"PGEN_.00g247110",21,7,15,13,18,13,11,6
"PGEN_.00g198570",7,16,5,16,11,22,17,19
"PGEN_.00g227780",5,13,6,10,11,4,12,11
"PGEN_.00g269260",23,16,24,11,17,48,46,18
"PGEN_.00g257390",20,18,15,21,19,25,20,13
"PGEN_.00g327640",49,100,27,108,91,38,101,34
"PGEN_.00g281790",25,10,10,9,8,13,18,11
"PGEN_.00g104870",21,13,13,19,21,24,17,17
"PGEN_.00g325640",61,39,31,51,44,72,64,39
"PGEN_.00g185920",19,2,3,17,10,10,17,12
"PGEN_.00g153900",16,13,19,13,26,38,34,17
"PGEN_.00g053430",23,6,2,18,8,16,16,7
"PGEN_.00g253250",57,63,39,61,51,82,80,65
"PGEN_.00g143000",19,10,12,12,7,1,11,5
"PGEN_.00g282850",2,6,20,23,14,39,16,17
"PGEN_.00g318900",7,9,2,9,11,12,6,10
"PGEN_.00g072130",238,158,190,340,282,379,289,286
"PGEN_.00g020070",13,2,11,6,8,11,7,10
"PGEN_.00g140090",12,9,4,4,4,13,10,5
"PGEN_.00g102020",16,23,14,10,13,11,23,17
"PGEN_.00g088160",6,10,6,13,10,12,14,19
"PGEN_.00g159820",76,18,10,31,29,26,36,25
"PGEN_.00g211270",4,3,9,13,10,13,0,6
"PGEN_.00g077410",177,260,143,159,200,151,178,197
"PGEN_.00g217820",12,27,7,15,15,29,17,16
"PGEN_.00g020690",252,483,342,679,563,523,606,758
"PGEN_.00g023520",9,3,12,3,12,11,16,4
"PGEN_.00g144360",152,172,122,176,192,256,226,208
"PGEN_.00g098410",59,23,21,23,28,40,44,35
"PGEN_.00g104460",105,78,52,80,82,106,112,56
"PGEN_.00g022690",67,27,14,21,33,46,54,36
"PGEN_.00g203440",50,26,19,23,26,15,25,16
"PGEN_.00g104790",44,54,39,68,41,66,74,69
"PGEN_.00g315910",112,14,45,49,26,20,76,47
"PGEN_.00g252930",47,12,20,14,22,21,26,24
"PGEN_.00g337320",64,45,46,40,40,61,66,35
"PGEN_.00g022340",8,20,14,47,64,8,52,105
"PGEN_.00g074490",5,11,7,12,13,19,19,10
"PGEN_.00g335020",17,22,17,36,26,44,29,36
"PGEN_.00g038560",61,36,42,45,48,47,58,66
"PGEN_.00g330210",0,19,9,28,57,0,29,26
"PGEN_.00g082930",17,4,12,8,15,11,22,7
"PGEN_.00g134630",13,10,3,5,7,12,10,6
"PGEN_.00g131040",27,36,47,59,39,99,50,40
"PGEN_.00g130390",18,11,10,82,10,22,4,11
"PGEN_.00g195650",13,15,12,5,17,13,6,19
"PGEN_.00g216690",17,31,8,18,19,5,19,24
"PGEN_.00g046230",24,17,15,16,12,37,22,26
"PGEN_.00g226990",38,35,22,25,18,42,38,27
"PGEN_.00g284530",47,25,40,48,44,36,57,60
"PGEN_.00g010150",32,24,11,12,18,25,13,14
"PGEN_.00g081770",82,68,70,72,74,113,102,74
"PGEN_.00g347940",7,0,107,82,156,73,131,12
"PGEN_.00g129150",55,33,13,34,9,18,24,3
"PGEN_.00g244620",36,15,16,14,8,30,41,16
"PGEN_.00g249210",19,43,20,22,22,39,17,30
"PGEN_.00g130020",43,98,227,245,567,823,172,112
"PGEN_.00g156020",52,38,29,50,40,49,58,30
"PGEN_.00g238880",15,2,4,20,10,22,8,21
"PGEN_.00g280190",15,14,8,22,14,22,18,21
"PGEN_.00g000200",4,10,10,10,19,6,12,13
"PGEN_.00g316030",58,42,46,63,60,69,76,66
"PGEN_.00g342400",30,20,24,33,42,33,41,31
"PGEN_.00g080420",99,67,57,89,84,99,69,72
"PGEN_.00g163010",114,46,42,41,46,34,86,55
"PGEN_.00g336660",25,12,10,18,10,22,22,11
"PGEN_.00g114410",30,9,8,26,13,6,23,14
"PGEN_.00g262400",1,1,10,17,20,23,4,9
"PGEN_.00g266380",120,79,62,107,82,141,123,96
"PGEN_.00g017860",199,115,102,151,109,216,182,174
"PGEN_.00g198770",78,65,24,65,36,74,58,62
"PGEN_.00g146070",6,0,13,12,18,14,13,2
"PGEN_.00g232590",82,21,25,28,24,14,36,30
"PGEN_.00g224060",41,74,37,51,42,76,89,51
"PGEN_.00g319970",252,160,130,211,245,270,176,213
"PGEN_.00g003960",132,145,111,175,210,204,174,216
"PGEN_.00g192290",5,8,0,9,15,10,19,9
"PGEN_.00g301500",190,22,70,143,52,149,44,131
"PGEN_.00g341450",66,22,14,42,47,35,40,24
"PGEN_.00g264520",148,89,90,116,93,115,117,95
"PGEN_.00g160730",9,37,19,45,36,43,14,36
"PGEN_.00g290650",15,3,24,7,85,31,7,7
"PGEN_.00g297680",14,9,4,12,3,7,9,13
"PGEN_.00g237340",21,50,49,41,41,62,40,26
"PGEN_.00g014740",7,9,7,11,18,36,44,2
"PGEN_.00g076120",53,33,4,28,13,25,14,15
"PGEN_.00g077650",481,188,298,513,225,466,468,70
"PGEN_.00g073570",5356,3276,2680,3166,3617,3512,3375,2717
"PGEN_.00g330150",15,35,12,13,18,3,19,14
"PGEN_.00g236690",21,18,3,35,17,20,19,13
"PGEN_.00g164290",36,10,8,5,9,11,12,8
"PGEN_.00g095410",26,31,11,53,27,32,24,33
"PGEN_.00g206960",55,25,22,30,41,46,53,39
"PGEN_.00g168890",12,4,14,12,5,5,15,8
"PGEN_.00g144560",17,4,11,17,7,26,20,13
"PGEN_.00g230520",66,6,31,37,49,27,94,68
"PGEN_.00g054300",32,14,15,51,23,24,31,36
"PGEN_.00g200060",34,17,8,19,12,26,23,14
"PGEN_.00g282640",43,16,13,11,16,15,22,11
"PGEN_.00g212300",5,6,114,18,38,15,4,17
"PGEN_.00g285910",21,25,11,20,10,10,27,28
"PGEN_.00g092860",51,101,71,109,117,102,97,130
"PGEN_.00g141130",23,14,5,16,10,15,19,15
"PGEN_.00g169760",146,70,82,91,73,84,115,52
"PGEN_.00g135000",85,52,28,47,70,83,58,53
"PGEN_.00g161570",337,209,201,309,281,318,230,178
"PGEN_.00g258490",53,22,20,58,39,54,43,44
"PGEN_.00g296970",38,14,11,33,23,36,31,25
"PGEN_.00g159770",126,55,77,85,64,111,108,74
"PGEN_.00g009940",43,27,18,45,32,43,36,32
"PGEN_.00g293840",3,3,22,6,14,20,10,4
"PGEN_.00g253860",76,39,32,49,28,68,67,28
"PGEN_.00g245080",460,303,372,438,416,551,423,403
"PGEN_.00g183410",16,7,9,7,10,10,10,7
"PGEN_.00g027070",57,64,30,65,40,100,61,70
"PGEN_.00g022810",117,53,76,104,72,96,57,86
"PGEN_.00g100180",28,20,26,26,16,26,35,23
"PGEN_.00g317500",15,10,6,14,11,19,14,9
"PGEN_.00g254580",131,69,86,104,168,146,152,105
"PGEN_.00g058290",52,41,38,57,33,68,52,60
"PGEN_.00g227590",26,14,9,15,5,7,15,12
"PGEN_.00g098270",42,9,14,28,10,24,28,16
"PGEN_.00g257580",8,6,7,0,14,2,16,10
"PGEN_.00g073960",255,224,160,235,236,303,283,294
"PGEN_.00g076240",19,9,6,20,7,12,18,17
"PGEN_.00g344160",23,10,15,8,5,18,10,6
"PGEN_.00g185710",23,27,29,39,41,29,19,44
"PGEN_.00g087530",7,6,64,52,58,65,80,16
"PGEN_.00g226240",42,28,18,30,23,46,44,22
"PGEN_.00g187410",18,20,17,17,11,13,26,27
"PGEN_.00g045470",55,49,49,103,81,109,88,81
"PGEN_.00g139060",9,33,16,29,19,26,15,23
"PGEN_.00g345340",27,8,28,27,53,39,41,19
"PGEN_.00g032030",112,75,87,127,92,124,144,134
"PGEN_.00g349440",55,19,12,18,26,37,39,27
"PGEN_.00g136110",40,22,7,14,24,23,29,19
"PGEN_.00g250910",20,11,17,11,12,19,25,16
"PGEN_.00g172120",15,10,13,23,27,18,13,24
"PGEN_.00g023770",146,115,81,123,129,162,144,152
"PGEN_.00g007060",25,5,8,18,10,5,17,8
"PGEN_.00g315270",1982,1242,1311,1013,1423,1605,1284,1151
"PGEN_.00g043160",26,11,4,14,6,10,13,9
"PGEN_.00g108040",16,7,11,20,11,7,5,20
"PGEN_.00g272470",14,8,8,8,6,9,11,5
"PGEN_.00g002500",23,8,6,17,10,28,26,9
"PGEN_.00g315890",31,18,14,19,20,26,19,7
"PGEN_.00g082010",13,29,21,19,27,6,22,12
"PGEN_.00g034470",41,15,19,20,20,22,37,18
"PGEN_.00g007930",9,13,10,9,27,9,20,6
"PGEN_.00g171780",19,22,14,24,33,63,42,19
"PGEN_.00g227920",16,24,20,12,11,23,23,10
"PGEN_.00g318940",19,34,34,25,22,21,12,10
"PGEN_.00g064700",89,54,60,74,106,101,84,71
"PGEN_.00g340100",10,4,7,12,2,15,23,3
"PGEN_.00g128160",325,411,234,424,360,379,381,326
"PGEN_.00g164720",38,17,20,21,24,23,21,26
"PGEN_.00g170430",73,120,103,225,200,61,78,177
"PGEN_.00g244780",20,9,15,0,24,72,68,13
"PGEN_.00g213500",143,111,107,154,109,91,87,30
"PGEN_.00g302380",20,8,20,17,15,13,21,14
"PGEN_.00g306800",195,55,76,119,107,184,187,98
"PGEN_.00g004620",113,87,93,108,122,82,137,79
"PGEN_.00g035430",15,9,13,19,11,24,25,13
"PGEN_.00g010440",48,19,12,15,17,17,21,18
"PGEN_.00g333150",76,49,44,74,65,93,98,78
"PGEN_.00g313030",42,43,38,43,52,80,46,59
"PGEN_.00g329160",4442,3119,2837,3683,3229,3605,3436,3286
"PGEN_.00g316200",130,36,54,86,68,133,122,78
"PGEN_.00g251920",29,14,9,10,8,13,15,4
"PGEN_.00g127760",14,8,10,19,21,24,18,13
"PGEN_.00g036040",8,18,15,21,15,33,27,6
"PGEN_.00g085310",4,5,15,10,33,20,25,11
"PGEN_.00g166010",80,29,31,46,34,72,76,54
"PGEN_.00g182120",33,5,10,13,11,22,23,19
"PGEN_.00g234310",11,16,7,3,9,12,15,13
"PGEN_.00g225270",39,28,28,36,49,59,45,74
"PGEN_.00g237950",20,20,8,26,20,14,13,8
"PGEN_.00g007540",25,26,23,24,20,53,17,25
"PGEN_.00g193040",129,216,190,185,252,164,269,166
"PGEN_.00g114590",31,7,15,13,15,14,2,18
"PGEN_.00g298980",7,4,11,19,34,13,2,6
"PGEN_.00g266020",292,115,63,194,170,95,244,131
"PGEN_.00g265590",13,5,4,5,9,17,10,6
"PGEN_.00g273470",35,28,17,39,20,36,29,26
"PGEN_.00g122840",48,14,20,38,23,38,36,26
"PGEN_.00g031500",17,0,0,15,6,12,11,3
"PGEN_.00g308510",51,14,24,39,26,23,35,31
"PGEN_.00g262610",6,10,12,19,11,28,7,10
"PGEN_.00g082750",21,32,34,29,23,30,30,24
"PGEN_.00g183380",7,9,11,13,8,14,2,7
"PGEN_.00g191750",130,81,97,83,122,109,152,83
"PGEN_.00g293530",12,7,7,14,7,16,4,5
"PGEN_.00g274120",20,46,20,48,10,51,53,31
"PGEN_.00g169100",8,34,11,16,24,18,23,31
"PGEN_.00g305290",10,8,6,13,7,17,12,21
"PGEN_.00g207950",78,22,26,39,19,53,85,46
"PGEN_.00g271510",23,17,12,20,17,14,19,17
"PGEN_.00g153080",28,7,17,21,28,37,20,16
"PGEN_.00g110620",89,29,23,37,35,74,72,28
"PGEN_.00g060930",78,46,59,35,65,80,48,49
"PGEN_.00g333830",89,46,30,60,44,69,92,62
"PGEN_.00g200450",48,65,51,61,39,68,53,73
"PGEN_.00g298610",10,12,5,13,12,11,10,5
"PGEN_.00g100850",52,19,16,15,24,29,34,25
"PGEN_.00g214300",245,318,232,363,290,459,300,377
"PGEN_.00g112080",73,35,38,73,66,127,95,61
"PGEN_.00g095620",41,38,8,51,9,20,18,15
"PGEN_.00g102750",26,9,11,15,11,8,12,15
"PGEN_.00g291390",11,2,2,13,11,16,5,11
"PGEN_.00g204360",231,122,138,194,190,311,222,204
"PGEN_.00g088690",53,67,31,49,66,70,44,51
"PGEN_.00g036250",54,26,32,23,37,62,48,38
"PGEN_.00g299560",23,5,12,7,8,14,10,10
"PGEN_.00g024380",52,28,45,47,55,42,53,46
"PGEN_.00g186140",30,24,28,26,30,30,31,24
"PGEN_.00g197020",14,12,4,4,4,9,11,11
"PGEN_.00g276380",30,14,29,37,35,37,55,40
"PGEN_.00g258020",30,11,17,10,23,36,36,17
"PGEN_.00g149780",146,122,91,128,126,196,184,151
"PGEN_.00g008060",33,31,24,73,35,57,89,46
"PGEN_.00g311200",28,20,23,69,53,71,40,97
"PGEN_.00g285890",8,4,2,7,9,15,14,12
"PGEN_.00g051540",188,144,107,179,156,193,184,166
"PGEN_.00g149430",16,9,6,15,6,9,6,14
"PGEN_.00g177840",147,61,84,81,101,181,139,96
"PGEN_.00g093960",7,10,9,5,14,22,4,12
"PGEN_.00g212070",24,12,9,14,4,16,17,10
"PGEN_.00g284380",55,21,21,17,22,34,40,17
"PGEN_.00g197410",150,129,89,111,171,85,120,69
"PGEN_.00g097080",21,10,19,21,27,26,20,23
"PGEN_.00g142260",69,89,75,96,115,128,106,93
"PGEN_.00g255880",25,9,8,9,13,23,24,15
"PGEN_.00g317310",13,17,13,10,19,14,17,11
"PGEN_.00g256820",283,201,200,241,231,333,312,271
"PGEN_.00g100060",30,29,29,41,24,25,28,27
"PGEN_.00g206270",98,31,27,43,26,18,32,27
"PGEN_.00g320180",16,13,10,12,31,23,18,19
"PGEN_.00g033990",234,203,109,154,174,179,168,205
"PGEN_.00g099950",43,37,31,22,27,44,24,15
"PGEN_.00g175550",50,17,22,23,15,17,20,31
"PGEN_.00g028030",22,8,17,11,21,10,30,16
"PGEN_.00g080690",49,24,18,42,41,43,54,23
"PGEN_.00g220820",90,21,22,33,45,58,58,29
"PGEN_.00g218190",50,26,39,52,66,42,56,50
"PGEN_.00g137740",24,27,12,33,34,26,22,24
"PGEN_.00g316440",10,5,13,17,11,12,3,11
"PGEN_.00g180480",26,4,8,17,8,21,10,11
"PGEN_.00g017010",16,8,10,8,6,8,20,5
"PGEN_.00g127560",4,3,6,18,19,12,8,13
"PGEN_.00g087470",25,43,25,12,31,29,35,24
"PGEN_.00g210290",27,22,12,17,21,13,30,15
"PGEN_.00g077920",10,15,15,9,13,19,25,22
"PGEN_.00g187590",24,8,16,19,24,22,22,6
"PGEN_.00g311940",74,51,248,255,772,533,105,118
"PGEN_.00g035900",238,116,97,147,135,184,196,125
"PGEN_.00g053040",23,13,4,12,10,14,15,13
"PGEN_.00g215910",160,71,57,64,93,118,130,81
"PGEN_.00g082710",52,36,30,118,19,58,47,53
"PGEN_.00g234480",55,30,25,48,40,37,58,51
"PGEN_.00g289870",54,51,42,77,46,119,62,92
"PGEN_.00g223700",28,29,21,33,42,59,36,55
"PGEN_.00g262050",450,276,212,471,310,547,426,498
"PGEN_.00g235350",6,13,6,14,19,15,8,2
"PGEN_.00g342770",37,29,28,24,44,43,40,36
"PGEN_.00g086020",17,17,6,19,13,21,23,16
"PGEN_.00g083570",83,59,24,69,60,84,58,78
"PGEN_.00g135870",54,23,28,34,32,42,38,32
"PGEN_.00g246900",967,1311,1147,1736,1843,2395,1431,1833
"PGEN_.00g260980",7,13,32,26,16,32,56,32
"PGEN_.00g006160",147,81,91,143,115,139,157,117
"PGEN_.00g115850",25,9,10,11,7,6,7,14
"PGEN_.00g339890",98,49,49,52,47,75,63,28
"PGEN_.00g190840",26,12,11,20,20,20,21,11
"PGEN_.00g260360",13,19,15,16,18,11,8,14
"PGEN_.00g170570",18,6,19,32,32,25,39,12
"PGEN_.00g049670",7,11,13,16,17,22,19,12
"PGEN_.00g034620",71,48,32,62,70,90,76,49
"PGEN_.00g076040",45,3,13,35,30,37,25,27
