"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"31","crg:105326821","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105326821","alpha-galactosidase A"
"32","crg:105327720","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105327720","programmed cell death 6-interacting protein"
"33","crg:105328080","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105328080","charged multivesicular body protein 7"
"34","crg:105328336","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105328336","lysosomal alpha-glucosidase"
"35","crg:105328916","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105328916","cathepsin B"
"36","crg:105329358","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105329358","peroxisomal membrane protein 2"
"37","crg:105329422","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105329422","lysosome membrane protein 2"
"38","crg:105329527","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105329527","sialin"
"39","crg:105330728","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105330728","estradiol 17-beta-dehydrogenase 8"
"40","crg:105331028","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105331028","AP-1 complex subunit beta-1"
"41","crg:105331361","crg00830","Retinol metabolism","105320167/105321989/105323007/105331361/105336470/105336995",6,"105331361","diacylglycerol O-acyltransferase 1"
"42","crg:105331657","crg04142","Lysosome","105318146/105318218/105319353/105320723/105323285/105325272/105326821/105328336/105328916/105329422/105329527/105331028/105331657/105334333/105335927/105336087/105339958/105340763/105342463/105347059/105339566",21,"105331657","alpha-N-acetylgalactosaminidase"
"43","crg:105331957","crg00410","beta-Alanine metabolism","105319409/105331957/105332278/105340590/105346656/105326193",6,"105331957","4-aminobutyrate aminotransferase, mitochondrial"
"44","crg:105332278","crg00410","beta-Alanine metabolism","105319409/105331957/105332278/105340590/105346656/105326193",6,"105332278","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
"45","crg:105332999","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105332999","long-chain-fatty-acid--CoA ligase 1"
"46","crg:105332999","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105332999","long-chain-fatty-acid--CoA ligase 1"
"47","crg:105332999","crg04146","Peroxisome","105317035/105319409/105320492/105320624/105325181/105329358/105332999/105336995/105338951/105339902/105342001/105342925/105346656",13,"105332999","long-chain-fatty-acid--CoA ligase 1"
"48","crg:105333224","crg04144","Endocytosis","105317810/105318103/105318650/105320540/105326718/105327720/105328080/105333773/105334470/105335021/105337075/105337930/105339937/105339958/105342074/105342447/105342463/105347356/105333224",19,"105333224","AP-2 complex subunit alpha-2"
"49","crg:105333323","crg00071","Fatty acid degradation","105319102/105319409/105321895/105332999/105333323/105333437/105335621/105336470/105342925/105346656/105348652/105326193",12,"105333323","carnitine O-palmitoyltransferase 2, mitochondrial"
"50","crg:105333323","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105333323","carnitine O-palmitoyltransferase 2, mitochondrial"
"51","crg:105333437","crg01212","Fatty acid metabolism","105319102/105319409/105320624/105321895/105325272/105330728/105332999/105333323/105333437/105342925/105346656/105348652",12,"105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial"
