"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"1","PGEN_.00g049360",50.8436952531155,4.96965695612827,1.51804534791169,3.27372101430619,0.00106141348899917,0.0250138683537514,8,9,0,136,98,45,44,6,10,22,177,49,62,3,12,249,32,10,64,23,228,53,1,21,16,3,66,6,44,89,28,37,88,14,131,TRUE,FALSE
"2","PGEN_.00g295020",975.660376677428,-7.31850013528062,2.18602072198548,-3.34786402602511,0.000814369569533281,0.0214497618106828,40,318,124,52,35,170,54,726,451,260,68,15,241,3820,1189,32,5885,2087,54,135,143,46,588,109,282,51,27,6675,72,13,6,58,32,215,47,FALSE,TRUE
"3","PGEN_.00g147340",40.5818610406881,3.23695809059796,1.0724639625322,3.01824415895072,0.00254243974788011,0.0469734256331637,18,27,6,50,47,78,55,18,10,21,33,37,17,39,18,71,67,17,48,21,51,39,5,16,57,28,24,23,20,28,21,29,261,6,71,TRUE,FALSE
"4","PGEN_.00g321390",49.6367287723159,-1.22708296270377,0.332197586538335,-3.69383467077708,0.000220897452345542,0.00966362877732337,62,52,47,57,38,44,55,46,56,49,66,89,53,40,32,42,37,63,44,46,22,56,98,40,33,49,37,39,61,59,84,45,35,68,55,FALSE,TRUE
"5","PGEN_.00g247650",37.2623636349656,5.19276686134802,1.16743796452815,4.4480023942401,8.66725639971962e-06,0.00124481425876728,12,26,6,35,81,84,55,8,4,25,29,34,22,10,31,70,20,11,18,19,221,15,7,24,61,23,22,14,8,36,18,14,140,11,37,TRUE,FALSE
"6","PGEN_.00g110440",40.1055908854824,-1.46765710572287,0.45485476494784,-3.22664995252094,0.00125248584151443,0.0282905704023972,48,28,38,36,35,29,45,32,63,37,48,51,38,38,34,29,38,63,49,44,22,54,42,35,19,57,53,45,48,41,49,23,38,46,20,FALSE,TRUE
"7","PGEN_.00g009930",240.685068781114,5.15156375252807,1.32986789712791,3.87374096604167,0.000107177331070661,0.0061805594250748,96,147,24,182,108,1372,230,49,42,160,185,504,106,50,209,209,163,51,132,88,739,137,3,112,677,118,187,126,108,208,142,88,1113,54,85,TRUE,FALSE
"8","PGEN_.00g064390",28.7227311223554,5.56956583631399,1.75301072373751,3.17714304932453,0.00148733654130647,0.0314489048678468,6,11,3,15,132,2,56,4,5,26,45,4,11,2,9,71,17,4,12,10,216,17,1,15,9,2,11,16,4,23,15,10,138,3,35,TRUE,FALSE
"9","PGEN_.00g313720",78.7498142359581,1.60299445981001,0.462166186142926,3.46843734542337,0.000523494580773362,0.0160619747972529,62,63,57,90,125,109,75,78,81,92,97,93,60,53,83,158,40,59,97,50,110,79,64,83,64,68,55,32,95,74,66,72,175,66,105,TRUE,FALSE
"10","PGEN_.00g048970",14.2786110193132,2.17752483588079,0.660157290441905,3.29849396107278,0.000972049709205123,0.0237812597114817,23,8,7,29,33,10,17,8,8,25,24,22,7,17,7,18,5,4,21,12,12,10,13,15,9,15,12,5,5,10,29,32,15,13,33,TRUE,FALSE
"11","PGEN_.00g116940",86.9509069914292,4.93758609148598,1.17038561157405,4.21876862006653,2.45640194851499e-05,0.00236685210532862,16,21,8,63,227,410,103,17,62,40,54,52,49,70,34,286,25,70,49,28,218,39,6,59,101,138,47,78,38,69,19,65,259,25,125,TRUE,FALSE
"12","PGEN_.00g260070",17.6330462086503,3.90495184570158,1.19885106569823,3.25724517200748,0.00112499218907,0.0259498198278812,8,5,2,17,33,16,22,6,5,17,29,23,17,6,4,42,20,10,18,3,29,13,1,14,19,3,17,2,10,14,8,10,129,9,33,TRUE,FALSE
"13","PGEN_.00g285590",30.9397613048681,4.0188433710913,1.2365990268432,3.24991633007398,0.00115438967155218,0.0264675125899253,10,35,5,61,57,43,32,8,7,14,34,38,21,3,5,98,24,9,21,18,38,15,3,7,21,4,17,7,29,44,21,23,252,8,75,TRUE,FALSE
"14","PGEN_.00g053750",30.0394244446823,4.62426635499463,1.21923469314024,3.79276146012909,0.000148981254295718,0.0077145939299252,9,21,6,60,83,21,53,11,4,20,55,29,31,5,8,86,8,5,17,23,75,26,7,35,19,6,30,5,10,56,5,17,186,8,39,TRUE,FALSE
"15","PGEN_.00g270000",50.2272697128307,4.89466464997861,1.03501279052808,4.72908614731347,2.2553267896303e-06,0.000652519632298024,18,42,7,48,146,85,64,15,14,70,70,50,40,5,56,167,25,13,67,12,139,35,8,31,75,12,34,15,36,85,12,32,164,14,92,TRUE,FALSE
"16","PGEN_.00g229340",11.9813530846558,-2.979864560493,0.883789316137851,-3.37169108754899,0.000747081924844685,0.0205299191765983,6,13,11,11,7,11,11,22,35,8,5,15,17,16,10,13,4,39,7,11,4,12,15,7,5,8,6,22,8,2,9,6,8,15,9,FALSE,TRUE
"17","PGEN_.00g229960",26.8090050864684,-2.02243195793002,0.66315279254361,-3.04972244808428,0.00229052937093857,0.0434059039919042,32,20,36,18,29,34,19,35,86,37,18,22,42,14,21,31,32,40,10,25,21,38,25,27,18,14,21,11,31,16,22,21,10,29,21,FALSE,TRUE
"18","PGEN_.00g087810",667.022414734857,-4.44935156968028,1.20612583377938,-3.68896133808716,0.0002251714296251,0.00968539371957046,429,451,1216,355,321,231,337,562,1635,682,394,7,1845,42,86,613,2790,884,342,772,823,349,1299,297,115,59,675,89,846,327,566,230,572,508,363,FALSE,TRUE
"19","PGEN_.00g083480",23.4414355748486,-4.14855453395427,1.10128063959239,-3.76702757209074,0.000165202761708319,0.00800970332562881,43,17,42,20,4,3,13,21,5,11,31,0,21,4,2,18,22,14,17,61,18,7,9,15,17,4,65,19,145,19,76,24,18,16,26,FALSE,TRUE
"20","PGEN_.00g063220",18.7797302803564,5.35208783170866,1.31073390477795,4.08327564595603,4.44052988246809e-05,0.0034846714912729,6,18,0,15,59,17,9,4,5,18,28,18,17,2,6,38,3,7,25,8,75,10,4,30,10,0,14,2,19,18,9,14,112,8,31,TRUE,FALSE
