"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG15","SG93","SG102","SG2","SG10","SG9","SG118","SG81","SG5","SG101","SG65","SG107","SG109","SG3","SG66","SG12","SG27","SG6","SG91","SG82","SG11","SG16","SG131","SG79","SG1","SG64","SG4","SG13","SG14","SG46","SG108","SG78","SG7","SG80","SG8","up","down"
"425","PGEN_.00g200990",32.0131118483892,-1.48360158473021,0.480635227626706,-3.08675165583675,0.00202356578875604,0.0497750208159644,37,32,31,51,20,29,25,51,24,26,36,64,33,19,24,37,23,54,29,38,12,41,37,19,26,11,32,31,37,40,46,28,22,55,36,FALSE,TRUE
"426","PGEN_.00g255020",39.2067985138835,2.86001431202074,0.79243428426205,3.60915014509261,0.000307201775032276,0.0159399321019872,22,33,12,40,74,44,43,29,26,27,67,50,25,18,28,69,20,21,33,30,69,35,27,43,27,11,31,13,29,42,21,44,189,29,80,TRUE,FALSE
"427","PGEN_.00g035190",31.885895944954,6.16929043213467,1.32069032193647,4.67126193753652,2.99354905878617e-06,0.000909235766562541,12,22,3,40,53,82,32,19,7,26,28,21,6,11,24,62,33,5,20,4,142,9,2,19,44,11,11,6,8,38,7,6,203,10,38,TRUE,FALSE
"428","PGEN_.00g177440",32.9610285610069,3.10936675087435,0.978194521019216,3.17867937722099,0.00147947643550043,0.0409382015349014,14,19,9,28,67,43,27,12,10,38,17,19,24,44,22,71,45,28,30,14,110,14,10,22,40,13,34,19,27,39,18,21,108,12,32,TRUE,FALSE
"429","PGEN_.00g042540",58.4340416704512,-3.47345005791177,0.865320804740774,-4.01406049511582,5.96830392228156e-05,0.00600817421849668,45,63,52,42,27,60,20,79,168,52,31,10,106,9,23,43,101,203,34,56,54,57,76,23,58,28,42,48,64,28,61,20,60,68,45,FALSE,TRUE
"430","PGEN_.00g340780",9.68622759688115,3.93156219696,1.08672798207844,3.61779788668053,0.000297120270981969,0.0156119777828627,4,7,0,11,23,7,6,4,9,6,16,13,8,2,4,30,3,6,9,5,26,6,1,11,8,4,9,4,10,13,3,8,47,6,17,TRUE,FALSE
"431","PGEN_.00g260800",8.27314427968019,-2.05762497309895,0.662862728298328,-3.10414944943608,0.0019082691256336,0.0480229408207691,16,8,2,8,9,2,4,8,6,6,2,6,12,8,4,8,6,13,12,11,4,14,15,8,8,4,14,10,11,9,9,8,4,15,12,FALSE,TRUE
"432","PGEN_.00g340250",351.594479143811,-6.23198989706728,1.61069552417546,-3.86912970423601,0.000109224529159979,0.00844827988589578,39,264,171,71,49,354,41,565,1503,69,94,115,220,617,342,41,1700,556,49,47,81,175,760,26,140,178,68,1270,49,32,106,58,52,298,33,FALSE,TRUE
"433","PGEN_.00g211970",5.72830008378317,6.12738438398186,1.77558570697214,3.45090882401319,0.000558702279504665,0.0220131410510825,0,6,0,4,19,3,4,6,0,6,9,7,2,2,0,17,0,4,6,0,14,2,0,6,5,0,6,0,6,3,0,5,42,2,20,TRUE,FALSE
"434","PGEN_.00g313880",34.8688308474993,5.27938417220645,1.4251410838959,3.70446423295456,0.000211837994224032,0.0128059152527761,16,10,6,55,108,32,46,18,10,25,42,16,16,6,0,94,15,5,14,3,85,27,3,44,17,9,26,6,25,27,22,22,316,5,44,TRUE,FALSE
"435","PGEN_.00g105690",12.3137550256335,4.69264058570793,1.35925591861914,3.45235986941675,0.000555706036066564,0.0219689119591648,10,7,3,18,38,15,21,9,7,21,7,10,8,4,0,16,2,2,10,3,32,12,2,6,9,1,5,2,9,10,5,3,87,2,39,TRUE,FALSE
"436","PGEN_.00g026060",4.55407396072905,5.90119411927141,1.73062404209944,3.40986486707568,0.000649950747090891,0.0238756243466751,0,0,0,3,3,5,1,3,0,7,11,6,1,0,0,15,3,2,11,0,13,5,4,3,5,2,3,0,12,6,1,2,31,0,5,TRUE,FALSE
"437","PGEN_.00g281900",22.9148445403403,1.4290705936761,0.426811693513397,3.34824611273506,0.000813247561566149,0.0279761654259206,23,24,14,43,26,17,22,14,14,25,46,36,13,12,20,30,9,19,23,15,33,25,26,31,26,34,26,10,31,29,27,24,36,18,26,TRUE,FALSE
"438","PGEN_.00g057320",16.4756238929466,5.32006711005605,1.49612799168035,3.55589036475476,0.000376701155045032,0.0177816952330759,5,15,4,15,51,14,9,14,3,9,18,9,4,4,0,9,8,3,7,0,66,8,0,19,32,13,4,20,5,23,2,5,102,7,50,TRUE,FALSE
"439","PGEN_.00g293200",8.20806517956442,6.55470496375585,1.91107450378402,3.42985317986148,0.000603907926904872,0.0227919011721323,0,8,0,11,12,16,7,0,0,1,26,0,10,0,7,10,0,4,5,0,41,5,0,7,11,4,5,0,3,17,6,3,51,2,13,TRUE,FALSE
"440","PGEN_.00g305960",14.77003308461,2.89363907103167,0.927139348144594,3.12104008617741,0.00180213500991569,0.0464637417773914,11,7,12,12,38,14,18,2,7,11,16,16,13,8,3,30,6,7,16,9,38,14,14,14,12,20,8,10,17,8,8,13,56,4,33,TRUE,FALSE
"441","PGEN_.00g323540",64.4400503352425,1.9437210059821,0.528226974552525,3.67970796574461,0.000233501200386808,0.0139128729589326,72,38,43,93,72,114,49,40,60,179,76,75,25,76,98,67,47,46,78,33,45,70,53,61,79,97,59,59,40,62,54,52,70,35,78,TRUE,FALSE
"442","PGEN_.00g062570",20.7141302104607,7.02601934613343,1.45622557510761,4.82481523895377,1.40133111141869e-06,0.000656460525769511,4,4,2,36,32,16,21,2,3,6,8,14,10,4,3,147,1,1,8,5,95,14,6,23,12,3,9,4,12,15,6,15,162,5,24,TRUE,FALSE
"443","PGEN_.00g181390",24.3938095713777,-3.94529334475466,1.23007214793762,-3.20736743073931,0.00133955784273828,0.0383754911936815,10,13,28,17,13,14,2,13,168,27,19,8,63,5,4,11,19,69,7,28,41,37,22,16,5,3,24,17,19,6,19,4,23,24,25,FALSE,TRUE
"444","PGEN_.00g262270",41.5440711257102,-3.97760752018386,0.832749330165657,-4.77647639703607,1.78393481346336e-06,0.000740511341068639,52,31,36,38,13,45,33,47,146,27,22,12,65,10,15,23,64,90,33,24,21,38,41,28,25,13,33,76,70,20,61,38,13,42,67,FALSE,TRUE
"445","PGEN_.00g057120",32.9896044822101,4.69842361033901,1.19202386785853,3.94155162243497,8.09562065404331e-05,0.00694799942988464,25,16,8,49,116,22,22,5,3,14,98,39,41,4,11,57,4,7,36,8,80,27,6,36,39,19,18,10,38,24,22,11,206,21,41,TRUE,FALSE
"446","PGEN_.00g164420",23.4293992060189,4.81466122909945,1.43959537147912,3.34445450748608,0.000824445495757176,0.0282055487875388,13,19,4,39,48,16,17,13,7,8,31,9,7,3,0,67,16,4,14,4,79,23,5,23,21,0,21,4,12,31,7,13,189,9,41,TRUE,FALSE
"447","PGEN_.00g001460",8.54571054121684,3.72096124853564,1.12148287937985,3.31789393931117,0.000906989170760334,0.0304126717870389,6,6,4,6,19,11,8,6,0,4,10,7,4,5,4,10,1,9,10,10,43,3,4,16,11,2,6,0,4,10,7,10,23,7,10,TRUE,FALSE
"448","PGEN_.00g331400",5.05300094987046,-3.16041521642045,0.919186190864201,-3.43827534381156,0.000585432086700133,0.0224060145990926,9,6,8,3,3,2,6,6,11,4,2,2,6,6,0,2,4,6,10,1,0,12,7,0,5,8,6,5,9,6,11,6,2,3,5,FALSE,TRUE
"449","PGEN_.00g150640",14.7660894462182,1.78355619676878,0.564863747660835,3.15749807657987,0.00159129286491814,0.0427999353063187,12,8,8,25,24,14,12,20,14,16,31,20,9,21,22,27,9,11,15,16,11,8,16,22,17,8,10,10,14,17,10,7,22,8,18,TRUE,FALSE
"450","PGEN_.00g083740",24.0329670462929,-4.25434730593467,1.00599223686341,-4.22900609968852,2.34725982708681e-05,0.00304483610694917,16,15,25,13,19,6,10,25,101,12,13,14,63,7,12,13,9,138,11,29,15,29,25,21,9,2,15,32,11,12,20,18,14,15,24,FALSE,TRUE
"451","PGEN_.00g169490",12.3110325914979,4.97989107368819,1.40164642004244,3.5528868068863,0.000381028381226247,0.0178381444789867,0,15,0,8,11,30,5,0,11,10,20,11,12,6,13,59,0,7,7,4,58,15,5,11,26,7,6,10,2,9,2,6,32,2,6,TRUE,FALSE
"452","PGEN_.00g052550",17.354891452131,3.86666385094308,1.17092607880632,3.30222711828647,0.000959203687886715,0.0316004326064901,9,11,1,32,26,18,17,3,6,17,24,14,16,9,11,40,26,5,20,8,52,15,0,14,14,4,9,8,13,24,7,6,81,5,34,TRUE,FALSE
"453","PGEN_.00g031490",35.5512727127652,5.03609175648228,1.3279665711419,3.79233323031002,0.000149238470336568,0.0104292349300696,21,28,3,44,72,14,58,7,5,20,74,50,32,7,6,112,16,10,52,14,195,10,2,36,18,8,19,5,34,51,8,11,149,6,62,TRUE,FALSE
"454","PGEN_.00g334610",8.74889654953418,-5.2092083401142,1.48767452449689,-3.50157796906274,0.000462511618026635,0.0200831551229004,3,3,7,2,7,2,8,9,67,8,2,2,45,0,0,3,5,30,9,5,9,8,4,3,3,2,15,2,3,6,5,7,0,4,3,FALSE,TRUE
"455","PGEN_.00g122110",151.852693178784,2.89735326817564,0.933377668394532,3.10415961971671,0.00190820352757877,0.0480229408207691,99,216,50,115,507,82,264,80,96,182,195,168,128,61,100,341,93,47,168,83,307,115,29,135,138,69,154,53,139,214,51,82,553,47,281,TRUE,FALSE
"456","PGEN_.00g116130",40.1574371797842,3.7832802827461,1.18278882326095,3.19861010549253,0.00138091789567046,0.0392534622021352,37,50,4,47,131,44,42,13,3,26,71,72,41,5,8,106,13,17,45,18,142,66,9,30,21,27,29,3,39,44,24,15,132,11,76,TRUE,FALSE
"457","PGEN_.00g127850",8.60962890837789,7.9423459764423,2.44593191692061,3.24716559831378,0.00116560548515184,0.035576679182833,2,0,0,0,9,6,0,0,16,50,15,0,5,4,2,4,11,0,39,4,35,0,0,40,11,4,0,0,1,14,0,4,6,2,10,TRUE,FALSE
"458","PGEN_.00g314530",32.1654859396525,8.22139298238903,2.07141836512379,3.96896789215139,7.21846063598649e-05,0.00660966840440733,5,2,3,7,15,277,2,9,15,13,2,32,2,97,118,9,3,4,12,0,25,7,1,3,139,95,8,75,3,1,0,10,16,2,8,TRUE,FALSE
"459","PGEN_.00g146110",99.3994565428798,-1.11657546166629,0.352209870827024,-3.17019923105636,0.00152334448979385,0.0416927668822041,167,121,113,103,116,54,120,96,131,69,93,89,48,77,58,129,71,121,122,112,110,100,121,104,75,61,133,94,116,110,138,89,93,110,114,FALSE,TRUE
"460","PGEN_.00g042190",35.6994230391955,2.66117450402986,0.74607598951007,3.56689471507774,0.000361236530268265,0.0176586604793765,24,29,11,43,65,26,62,34,19,19,52,41,26,12,31,57,14,17,53,21,66,44,23,43,36,17,29,13,18,37,21,47,136,22,88,TRUE,FALSE
"461","PGEN_.00g115560",962.492074763469,4.12531490617907,1.15090979360192,3.5843946494437,0.000337860901212003,0.0170547031243283,321,672,280,1143,2403,2172,1265,272,341,842,1184,661,483,465,353,3133,1418,336,981,312,2716,363,83,562,1381,297,590,517,452,717,269,581,3786,200,1254,TRUE,FALSE
