"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","crg04145","Phagosome","2 of 4","100/3838",0.00389747735437973,0.0155899094175189,0.00820521548290469,"105331668/105319768",2
"2","crg03013","RNA transport","2 of 4","144/3838",0.0079814400019077,0.0159628800038154,0.00840151579148179,"105338957/105348755",2
