"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","crg04144","Endocytosis","10 of 32","177/3838",9.0122365192288e-07,2.16293676461491e-05,1.89731295141659e-05,"105317406/105317810/105318103/105329694/105332246/105335021/105336720/105342074/105342463/105333224",10
"2","crg04142","Lysosome","8 of 32","191/3838",0.000121774017773592,0.00146128821328311,0.00128183176603781,"105319353/105323285/105328916/105331028/105342463/105344281/105339566/105348190",8
"3","crg04140","Autophagy - animal","5 of 32","110/3838",0.00191630150356471,0.0153304120285176,0.0134477298495769,"105318403/105323285/105327489/105328916/105329694",5
