"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"1","PGEN_.00g258390",27.0426893300759,-2.71200880764221,0.432160911680259,-6.27546067759302,3.48600577322778e-10,2.42992032422842e-06,6.59433863677174,33.9901290542947,11.9798673709505,56.8340357174035,5.02319472557268,41.1809965226795,5.91279970101782,54.8261529119168
"2","PGEN_.00g213760",26.7360934350998,-2.76687034222717,0.437258680052216,-6.32776539026454,2.48736935394966e-10,2.42992032422842e-06,7.41863096636821,38.678422716956,3.99328912365017,33.7151059340529,7.03247261580175,61.7714947840193,8.44685671573974,52.8324746242107
"3","PGEN_.00g250510",43.2115712254924,-2.52972539913937,0.444188506690516,-5.69516176361116,1.23255003777296e-08,5.72766002553093e-05,7.41863096636821,77.356845433912,21.2975419928009,52.9808807535117,15.069584176718,51.4762456533494,8.44685671573974,111.64598411154
"4","PGEN_.00g286210",233.629858160276,-1.27241028175161,0.230258284643861,-5.52601303236338,3.27589808011227e-08,0.000114173237837113,122.819557109874,307.083234904317,151.744986698706,355.453545419015,128.593784974661,258.173170507568,144.44124983915,400.729335828919
"5","PGEN_.00g286450",160.644017585638,-1.95968886040457,0.40925196408049,-4.78846537684337,1.68061551498487e-06,0.00468589217888082,50.2818321053845,282.469693175345,77.2035897239032,268.75755873145,66.3061703775594,91.0733576943874,69.2642250690659,379.795713808005
"6","PGEN_.00g261200",157.690149461792,-2.38485625955447,0.506263047986596,-4.71070576657535,2.4686041767097e-06,0.00573580180458499,18.9587235807188,332.868850048955,53.2438549820022,83.8061204646458,79.3664766640483,258.965112748389,51.5258259660124,382.786231239564
"7","PGEN_.00g314840",33.1072381766847,1.89103356129762,0.407035089449941,4.64587356302161,3.38640373306959e-06,0.00674426492038903,62.6462170493316,23.4414683133067,30.6152166146513,11.5594648916753,60.2783367068721,10.2952491306699,54.0598829807344,11.9620697262364
"8","PGEN_.00g286430",112.383949686934,2.37441164925442,0.571490923304567,4.154767035537,3.25619134668836e-05,0.04803997092208,199.478743762345,32.8180556386293,83.8590715966535,25.0455072652964,64.2968924873303,63.3553792656608,406.293808027082,23.9241394524728
"9","PGEN_.00g025020",48.3096140090622,-1.6678230332915,0.402680991963786,-4.14179727023591,3.44594870684169e-05,0.04803997092208,14.01296960314,85.5613593435694,17.3042528691507,44.3112820847553,27.1252515180925,100.576664584237,33.787426862959,63.797705206594
"10","PGEN_.00g315040",26.1759581264633,2.03795961211083,0.487543736921067,4.18005495256886,2.91438659810095e-05,0.04803997092208,59.3490477309457,17.58110123498,27.9530238655512,6.74302118681058,53.2458640910704,5.54359568574532,27.0299414903672,11.9620697262364
"11","PGEN_.00g132550",25.703430000498,-1.61679874951259,0.392660900967231,-4.11754454168973,3.82930535797108e-05,0.0485312236322499,11.5400926143505,49.227083457944,6.65548187275028,32.75181719308,19.0881399571762,38.8051698002173,12.6702850736096,34.8893700348561
"12","PGEN_.00g006280",76.8932325370816,-1.22482383135187,0.306574977764925,-3.99518525706636,6.46436846082821e-05,0.069322892855697,33.7959855134552,92.5937998375614,45.2572767347019,134.860423736212,64.2968924873303,86.3217042494629,41.3895979071247,116.630179830805
"13","PGEN_.00g078470",8.97673553696273,2.64575190091117,0.661876816529286,3.99734789743025,6.40561244074374e-05,0.069322892855697,19.7830159103152,4.68829366266133,19.9664456182508,1.92657748194588,10.0463894511454,1.58388448164152,11.8255994020356,1.99367828770606
"14","PGEN_.00g112950",6.77147613063287,3.67910594233532,0.933275080288827,3.94214526889191,8.07560372406575e-05,0.0778138711430896,17.3101389215258,2.34414683133067,6.65548187275028,1.92657748194588,9.04175050603082,0,16.8937134314795,0
"15","PGEN_.00g064780",116.58652170205,-2.02948029062183,0.5159503404694,-3.93347989416086,8.3724845215289e-05,0.0778138711430896,40.3903241502269,349.277877868269,58.5682404802025,194.584325676534,50.2319472557268,163.140101609077,34.6321125345329,41.8672440418273
"16","PGEN_.00g130650",23.8648530745167,-2.84220771270442,0.742064751214845,-3.83013437580939,0.000128073300840284,0.109079895862798,0,28.129761975968,9.31767462185039,65.5036343861599,13.060306286489,21.3824405021605,1.68937134314795,51.8356354803577
"17","PGEN_.00g024810",86.9200926990165,-1.1091029475291,0.291356258493138,-3.80668997215042,0.000140839116672431,0.109079895862798,42.8632011390163,146.509176958167,71.879204225703,101.145317802159,65.3015314324448,115.623567159831,41.3895979071247,110.649144967687
"18","PGEN_.00g200730",12.0820572870826,-2.08563907025036,0.546746730538242,-3.81463473626475,0.000136384509826252,0.109079895862798,5.77004630717527,18.7531746506453,6.65548187275028,20.2290635604317,1.00463894511454,14.2549603347737,5.06811402944385,24.9209785963258
"19","PGEN_.00g061060",9.37107245755339,2.59604631412398,0.693648508337873,3.74259626153403,0.000182128728280211,0.120907457188305,27.2016468766834,4.68829366266133,9.31767462185039,1.92657748194588,8.03711156091629,2.37582672246228,19.4277704462014,1.99367828770606
"20","PGEN_.00g129860",4.03352308104951,4.7131937164612,1.25710302068936,3.74925017193627,0.000177364086740362,0.120907457188305,9.06721562556115,0,13.3109637455006,0.96328874097294,3.01391683534361,0,5.91279970101782,0
"21","PGEN_.00g263770",47.4647709151629,1.69358554630431,0.45241829117666,3.74340644340349,0.000181542216078283,0.120907457188305,98.9150795515761,36.3342758856253,73.2103006002531,20.2290635604317,66.3061703775594,7.12748016738684,50.6811402944385,26.9146568840319
