"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","biosynthetic process","GO:0009058",1,"GO:0000122","GO:0000122",12,"PGEN_.00g014240;PGEN_.00g017130;PGEN_.00g027140;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g159950;PGEN_.00g181300;PGEN_.00g245030;PGEN_.00g306790;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g339970","Day14_pink"
"2","cellular nitrogen compound metaboli...","GO:0034641",1,"GO:0000122","GO:0000122",12,"PGEN_.00g014240;PGEN_.00g017130;PGEN_.00g027140;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g159950;PGEN_.00g181300;PGEN_.00g245030;PGEN_.00g306790;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g339970","Day14_pink"
