"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37"
"1","PGEN_.00g213760",26.6125475628951,-2.74227133228643,0.427923246960688,-6.40832521197045,1.47126819715231e-10,1.17907433319786e-06,7.66768721369497,38.6624654611428,3.9817922712375,33.8896287794174,6.95649739438245,59.6906024429116,8.55299616910106,53.4987107712729
"2","PGEN_.00g258390",26.6152338977433,-2.67050698533054,0.431641231366597,-6.18686722043579,6.13716159074197e-10,2.45916064941031e-06,6.81572196772886,32.8045161488485,11.9453768137125,56.1599562630346,4.96892671027318,38.7601314564361,5.98709731837074,55.4801445035423
"3","PGEN_.00g250510",40.8545791278418,-2.45504900559305,0.45420946727069,-5.40510311320732,6.47711204501342e-08,0.000173025253095792,6.81572196772886,73.810161334909,21.2362254466,47.4454802911844,14.9067801308195,48.0625630059808,8.55299616910106,106.006704676411
"4","PGEN_.00g286210",225.534069002468,-1.27666682803333,0.239582022226597,-5.3287254868642,9.89043522850559e-08,0.000198154869803109,119.275134435255,298.755414927013,149.980842216612,345.674213550058,116.272885020392,244.964030804676,141.979736407078,387.370294658661
"5","PGEN_.00g286450",153.738001679957,-2.02037707022799,0.427622881058261,-4.72467017019309,2.30489140163937e-06,0.00263877138467685,46.0061232821698,274.152027815376,70.3449967918625,261.434279155506,64.5960472335513,81.3962760585159,62.4368720344377,369.537391068237
"6","PGEN_.00g314840",32.3854124334687,1.98508839159066,0.418561288775304,4.742646883086,2.10943778291039e-06,0.00263877138467685,63.045428201492,22.2602073867186,29.199809989075,10.6510261878169,59.6271205232781,8.52722892041595,53.8838758653367,11.8886023936162
"7","PGEN_.00g261200",149.048686300153,-2.38761626150455,0.501969187443523,-4.7564996442599,1.96978586073608e-06,0.00263877138467685,19.5952006572205,317.500852726355,50.436035435675,80.3668339626184,74.5339006540976,240.312815029904,47.0414789300558,362.602373005294
"8","PGEN_.00g315040",26.2586354653199,2.05246416282803,0.483450527056265,4.2454481854131,2.18156919302935e-05,0.0218538693911715,60.4895324635936,17.5738479368831,27.8725458986625,6.77792575588348,52.6706231288957,5.42641840390106,27.3695877411234,11.8886023936162
"9","PGEN_.00g286430",108.637462799563,2.42992668519775,0.578719173960259,4.19880106713833,2.68331920116006e-05,0.0238934667534408,201.915763293968,30.4613364239307,78.3085813343375,24.2068776995839,59.6271205232781,57.3649945555255,393.437823778649,23.7772047872324
"10","PGEN_.00g132550",25.4864758528184,-1.58524067439297,0.381550111678966,-4.15473780735459,3.25660759569964e-05,0.026098453271937,11.9275134435255,48.0351843608138,6.6363204520625,32.9213536714341,18.8819214990381,37.9849288273074,12.8294942536516,34.6750903147139
"11","PGEN_.00g025020",46.3243068958668,-1.66098289989587,0.402859775171713,-4.12298025829929,3.74001763285412e-05,0.0263190026142916,13.6314439354577,83.18288023458,15.92716908495,43.572379859251,24.8446335513659,93.7995181245755,34.2119846764042,61.4244457003504
"12","PGEN_.00g006280",72.839809845765,-1.21337916254642,0.295160409070015,-4.11091435456913,3.94095372312826e-05,0.0263190026142916,33.2266445926782,91.3840092717921,43.7997149836125,125.875764037836,58.6333351812235,80.6210734293872,40.199081994775,108.978855274815
"13","PGEN_.00g064780",111.378875918513,-2.09248835341194,0.526876070940302,-3.9715000715017,7.14214792959693e-05,0.0440285950059921,35.7825403305765,337.417880388156,54.4178277069125,187.845370948771,47.7016964186225,156.590931084002,31.6460858256739,39.6286746453873
"14","PGEN_.00g130650",22.6027329048471,-2.84857720932101,0.736001217383389,-3.87034306743159,0.000108682301354154,0.0622128545037279,0,28.118156699013,7.963584542475,61.9696069109347,12.9192094467103,18.6048630990893,1.71059923382021,49.5358433067342
"15","PGEN_.00g162330",26.927271239522,-2.3894827707841,0.629481237824691,-3.79595550622205,0.000147075877175092,0.0785777386454126,0,25.7749769740952,14.5999049945375,40.6675545353009,13.9129947887649,58.1401971846542,6.84239693528085,55.4801445035423
"16","PGEN_.00g024810",83.8999312871784,-1.1108796312267,0.294983404832057,-3.76590551546164,0.000165946543768278,0.0831184751099364,40.0423665604071,144.105553082441,67.6904686110375,95.8592356903521,64.5960472335513,110.853975965407,41.0543816116851,106.997421542546
"17","PGEN_.00g299830",198.266736759735,2.10856929701048,0.573657998515811,3.67565570856826,0.000237239290072984,0.0987310869935265,98.8279685320685,52.7215438106493,303.943476704462,123.939213821869,734.407367778375,57.3649945555255,150.532732576179,64.3965962987544
"18","PGEN_.00g347160",15.260742089336,1.66324402857039,0.450367783805489,3.69307949719764,0.000221554725203029,0.0987310869935265,28.1148531168816,7.02953917475324,22.5634895370125,6.77792575588348,13.9129947887649,8.52722892041595,28.2248873580335,6.93501806294278
"19","PGEN_.00g090490",77.0428735669312,2.8110785800453,0.76132937576173,3.69232906221797,0.000222209692158995,0.0987310869935265,18.7432354112544,18.745437799342,240.234800364662,16.460676835717,17.8881361569834,13.953647324317,262.576982391403,27.7400722517711
"20","PGEN_.00g200730",11.4490291516969,-2.06631691669915,0.563647066335117,-3.66597653055223,0.000246396523567573,0.0987310869935265,5.96375672176275,18.745437799342,6.6363204520625,19.3655021596671,0,13.953647324317,5.13179770146064,21.795771054963
"21","PGEN_.00g260540",51.4644835355341,-1.38139536508864,0.379745512149651,-3.63768713754872,0.000275097302902987,0.104982370736407,16.187339673356,70.2953917475324,19.9089613561875,65.8427073428681,50.6830524447864,82.1714786876446,27.3695877411234,79.2573492907747
