"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","biosynthetic process","GO:0009058",1,"GO:0000122","GO:0000122",13,"PGEN_.00g019670;PGEN_.00g036410;PGEN_.00g048200;PGEN_.00g064910;PGEN_.00g147990;PGEN_.00g168650;PGEN_.00g192900;PGEN_.00g213370;PGEN_.00g226560;PGEN_.00g235110;PGEN_.00g263240;PGEN_.00g304170;PGEN_.00g307830","Day14_black"
"2","cellular nitrogen compound metaboli...","GO:0034641",1,"GO:0000122","GO:0000122",13,"PGEN_.00g019670;PGEN_.00g036410;PGEN_.00g048200;PGEN_.00g064910;PGEN_.00g147990;PGEN_.00g168650;PGEN_.00g192900;PGEN_.00g213370;PGEN_.00g226560;PGEN_.00g235110;PGEN_.00g263240;PGEN_.00g304170;PGEN_.00g307830","Day14_black"
