"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","DNA binding","GO:0003677","GO:0000977",20,3,"Day14_pink"
"2","ligase activity","GO:0016874","GO:0004088",3,3,"Day14_pink"
"3","oxidoreductase activity","GO:0016491","GO:0004784",5,4,"Day14_pink"
"4","enzyme regulator activity","GO:0030234","GO:0004867",14,4,"Day14_pink"
"5","transmembrane transporter activity","GO:0022857","GO:0005332",4,5,"Day14_pink"
"6","kinase activity","GO:0016301","GO:0008902",2,3,"Day14_pink"
"7","enzyme binding","GO:0019899","GO:0017137",9,4,"Day14_pink"
