Row.names,log2FoldChange
PGEN_.00g049360,4.96965695612827
PGEN_.00g295020,-7.31850013528062
PGEN_.00g147340,3.23695809059796
PGEN_.00g321390,-1.22708296270377
PGEN_.00g247650,5.19276686134802
PGEN_.00g110440,-1.46765710572287
PGEN_.00g009930,5.15156375252807
PGEN_.00g064390,5.56956583631399
PGEN_.00g313720,1.60299445981001
PGEN_.00g048970,2.17752483588079
PGEN_.00g116940,4.93758609148598
PGEN_.00g260070,3.90495184570158
PGEN_.00g285590,4.0188433710913
PGEN_.00g053750,4.62426635499463
PGEN_.00g270000,4.89466464997861
PGEN_.00g229340,-2.979864560493
PGEN_.00g229960,-2.02243195793002
PGEN_.00g087810,-4.44935156968028
PGEN_.00g083480,-4.14855453395427
PGEN_.00g063220,5.35208783170866
PGEN_.00g252450,-0.888848188762588
PGEN_.00g313940,4.38125157918409
PGEN_.00g106710,5.48849180086245
PGEN_.00g095320,4.74303694096285
PGEN_.00g010140,5.08095268424947
PGEN_.00g070790,4.03773139939943
PGEN_.00g145490,4.64166080134846
PGEN_.00g074890,3.11277658081096
PGEN_.00g199810,4.72334187651327
PGEN_.00g116660,5.316666988366
PGEN_.00g326620,4.7484320314869
PGEN_.00g215630,4.24009697442374
PGEN_.00g130320,-5.9093783739583
PGEN_.00g318520,-4.35299288206005
PGEN_.00g310830,2.55915855631966
PGEN_.00g120210,2.19146969653798
PGEN_.00g236660,6.80066187321586
PGEN_.00g091340,4.66415212222555
PGEN_.00g168590,-4.02663435963364
PGEN_.00g281550,3.74696500210451
PGEN_.00g079550,-3.01343763855318
PGEN_.00g211330,4.26392182796271
PGEN_.00g172250,-2.7144975481986
PGEN_.00g183520,3.16524390698158
PGEN_.00g254920,5.47086581893934
PGEN_.00g348220,4.28152755402231
PGEN_.00g201470,-3.48032315330439
PGEN_.00g205760,2.19229059756421
PGEN_.00g176540,-6.55242396579922
PGEN_.00g130720,4.30323561003982
PGEN_.00g093430,-6.35174029270625
PGEN_.00g093840,5.29846975226111
PGEN_.00g035820,3.92744080580301
PGEN_.00g238060,4.8455593931818
PGEN_.00g047200,4.18426020414649
PGEN_.00g040690,6.05816863876941
PGEN_.00g164650,4.71116113134425
PGEN_.00g331780,2.06598423082393
PGEN_.00g103630,3.81760064671485
PGEN_.00g045080,-5.57531220631822
PGEN_.00g328490,-5.05039544749575
PGEN_.00g245510,6.53881622578385
PGEN_.00g289790,1.13211080399018
PGEN_.00g130390,-4.54603591187351
PGEN_.00g130020,4.81271879976939
PGEN_.00g114410,-3.59389765550311
PGEN_.00g014740,6.02178232103869
PGEN_.00g135000,1.53899425264904
PGEN_.00g087530,6.14502460600128
PGEN_.00g010440,-2.50582971927175
PGEN_.00g266020,-4.67955507015316
PGEN_.00g177840,1.74282746205724
PGEN_.00g311940,4.32492316499997
PGEN_.00g332980,3.65552087588178
PGEN_.00g319190,-5.38303170550486
PGEN_.00g018560,6.47198272699409
PGEN_.00g315380,5.27486441178175
PGEN_.00g333460,-9.32083565415872
PGEN_.00g048000,3.65586904695558
PGEN_.00g345610,5.90605898748887
PGEN_.00g250620,-4.79168686513658
PGEN_.00g189960,4.42624025936655
PGEN_.00g096560,3.9160867508038
PGEN_.00g211890,5.28671393836524
PGEN_.00g086610,6.32837471731957
PGEN_.00g027970,5.21857676833607
PGEN_.00g323450,3.77883785062806
PGEN_.00g092270,-7.30071220871789
PGEN_.00g331660,2.42719043626784
PGEN_.00g026050,5.92015831526412
PGEN_.00g293270,3.94781530953821
PGEN_.00g208330,1.36408296431814
PGEN_.00g057130,4.32109908964198
PGEN_.00g055210,-2.12837727667125
PGEN_.00g098060,-3.27105501929616
PGEN_.00g290170,-4.27433462380381
PGEN_.00g129560,-2.24101160352338
PGEN_.00g315400,4.21037864125402
PGEN_.00g122510,5.15999425792695
PGEN_.00g232640,-3.6773041129462
PGEN_.00g046630,3.86706867435497
PGEN_.00g169480,5.16499148449754
PGEN_.00g149120,5.3082644714019
PGEN_.00g272710,4.79089021687196
PGEN_.00g293610,5.40715974591615
PGEN_.00g116950,-0.947844817759798
PGEN_.00g116140,4.406339010654
PGEN_.00g233800,2.38357009385983
PGEN_.00g305460,8.45175301297724
PGEN_.00g274080,3.30037999456242
PGEN_.00g114200,5.12232575087075
PGEN_.00g053400,1.72699447851936
PGEN_.00g344990,6.86394596622715
PGEN_.00g122020,4.49184274626048
PGEN_.00g208950,4.69092463879537
PGEN_.00g245880,-0.968442253138622
PGEN_.00g052650,5.13647279011055
