"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39"
"1965","PGEN_.00g307910",10.07905,0.7214179,0.542208,1.330519,0.1833474,0.7662334,11.07373,4.111799,13.32538,2.800076,5.702109,9.43255,6.251044,8.245108,4.743789,11.47723,4.453424,12.89934,19.93244,8.349817,28.8869,9.420045,8.368454,10.11216,13.6665,5.253156,8.07234,7.804756,6.659664,15.36424,5.978491,17.92769,17.31438,6.359215,8.801633,7.887217,11.91079,9.689189,11.48882,7.299533,9.150849,12.63179
"1966","PGEN_.00g021770",37.66959,0.6119085,0.4600063,1.330218,0.1834465,0.7662579,21.14076,22.61489,20.82091,45.73458,11.40422,49.99252,27.34832,42.05005,52.18168,43.26033,44.53424,24.80641,17.71772,51.61705,22.69685,63.5853,34.31066,32.35891,35.74315,28.89236,19.37362,40.97497,47.35761,58.2224,38.11288,64.98789,6.492894,33.61299,55.74368,43.3797,46.56037,38.11081,40.21086,50.18429,40.67044,39.2989
"1967","PGEN_.00g004820",29.71116,0.4841231,0.3641928,1.329305,0.1837475,0.7671247,25.16757,43.17389,19.15524,29.86748,22.80843,31.12742,25.78556,25.55983,24.6677,45.90892,32.95534,17.86062,26.57658,35.67649,14.44345,34.14766,34.31066,21.23554,28.38427,24.51473,16.14468,43.90175,26.63866,17.79018,50.06986,32.49394,28.13587,45.42296,26.4049,35.49248,23.82159,47.15405,27.76464,25.54836,24.40226,35.0883
"1968","PGEN_.00g224180",1466.141,0.4564838,0.3434871,1.328969,0.1838581,0.7671964,1291.6,1743.403,843.6634,1073.363,892.38,1663.902,1180.666,1056.198,1142.304,1268.675,1297.728,1178.801,1032.057,1443.759,2162.391,2327.929,1749.007,1319.637,1880.721,1556.685,2058.447,1857.532,1700.434,1924.574,1086.591,1319.926,424.2024,1177.363,1785.998,1466.234,1632.861,1623.262,888.4686,1613.197,2101.645,2015.472
"1969","PGEN_.00g163160",13.59685,-0.6406887,0.4824973,-1.32786,0.1842245,0.7683008,15.10054,5.139749,16.65673,4.666794,14.25527,21.69487,16.40899,14.01668,20.87267,15.89155,24.04849,10.91482,21.03979,13.66334,8.253399,10.59755,13.38953,13.14581,11.56396,16.63499,11.30128,9.755944,21.45892,8.086444,6.725803,13.44577,23.80728,5.450755,10.26857,14.98571,8.662395,7.105405,9.574015,20.98616,17.28494,12.63179
"1970","PGEN_.00g207160",21.1576,-0.6242383,0.4702001,-1.327601,0.1843099,0.7683008,26.17427,23.64284,14.99106,20.53389,33.2623,11.31906,16.40899,30.5069,21.82143,29.13451,16.03233,16.86836,34.32809,20.49501,49.52039,23.55011,25.94221,19.2131,32.58934,7.879734,32.28936,20.48748,9.619514,13.74696,22.41934,30.25298,23.80728,17.26073,11.73551,10.25338,14.07639,20.67027,14.36102,17.33639,19.31846,9.824725
"1971","PGEN_.00g142510",9.376958,-0.7145067,0.5384555,-1.326956,0.1845233,0.7688003,12.08043,22.61489,5.829856,4.666794,18.05668,6.602785,5.469664,7.420597,11.38509,12.36009,13.36027,9.922566,8.858861,5.31352,12.3801,10.59755,5.857918,4.044864,9.461423,10.50631,12.91574,7.804756,6.659664,13.74696,13.45161,12.32529,6.492894,6.359215,11.00204,3.154887,11.91079,10.98108,4.787007,3.649766,7.117327,8.421193
"1972","PGEN_.00g342100",14.65548,0.6856895,0.5173667,1.325345,0.1850567,0.7703418,14.09384,10.2795,19.15524,22.40061,19.00703,9.43255,18.75313,10.71864,12.33385,12.36009,8.016163,8.930309,19.93244,19.73593,6.190049,7.065034,10.87899,14.15702,7.358884,9.630786,4.843404,10.73154,16.27918,16.17289,12.70429,8.963847,45.45026,8.176133,19.80367,13.40827,6.496796,14.85676,20.10543,18.24883,28.46931,22.45651
"1973","PGEN_.00g114720",13.86587,-0.7954142,0.6001893,-1.325272,0.1850809,0.7703418,13.08713,4.111799,38.31048,17.73382,24.70914,9.43255,14.06485,20.61277,15.18012,12.36009,20.48575,10.91482,35.43544,6.072594,10.31675,8.242539,8.368454,9.100944,8.410154,12.25736,0,24.38986,11.8394,7.2778,7.473114,20.16866,21.64298,9.084592,8.068164,14.98571,11.91079,10.98108,8.616613,11.86174,27.45255,4.210596
"1974","PGEN_.00g205320",35.25103,-0.6886174,0.5198345,-1.324686,0.1852753,0.7707604,39.2614,33.92234,74.95529,48.53466,19.95738,47.16275,36.72488,16.49022,37.00155,51.2061,66.80136,11.90708,53.15316,31.88112,26.82355,57.69778,22.59483,36.40378,35.74315,26.26578,19.37362,31.21902,29.59851,28.30256,20.92472,56.02404,17.31438,42.69758,30.07225,35.49248,47.64317,10.33513,27.76464,47.44696,15.25141,35.0883
"1975","PGEN_.00g274470",10.19493,-0.6576597,0.4986296,-1.318934,0.187191,0.7709192,7.046919,14.3913,4.997019,13.06702,17.10633,2.829765,16.40899,10.71864,4.743789,13.24296,11.5789,9.922566,8.858861,21.25408,14.44345,14.13007,5.857918,10.11216,13.6665,13.13289,8.07234,6.829161,12.57936,10.51238,7.473114,8.963847,10.82149,8.176133,11.00204,4.73233,5.413997,6.459459,8.616613,13.68662,9.150849,7.017661
"1976","PGEN_.00g053950",124.7672,0.5161002,0.3909159,1.320233,0.1867571,0.7709192,122.8177,136.7173,60.79707,107.3363,65.57425,121.6799,136.7416,116.256,115.7484,115.6552,119.3518,149.8307,65.3341,151.8149,61.90049,164.8508,109.6268,108.2001,145.0751,125.2002,114.6272,153.1683,141.3329,156.0684,174.8709,117.6505,41.12166,155.3465,236.9106,164.0541,121.2735,92.37027,89.99574,166.0644,170.8158,95.44019
"1977","PGEN_.00g275370",21.83176,-0.5338359,0.4045458,-1.319593,0.1869709,0.7709192,24.16086,37.00619,24.9851,30.80084,19.00703,15.09208,30.47384,11.54315,26.56522,15.89155,24.93917,23.81416,15.50301,28.84482,26.82355,14.13007,17.57375,13.14581,33.64061,17.51052,11.30128,38.04818,26.63866,21.02476,20.92472,13.44577,17.31438,25.43686,25.67143,8.675939,25.98718,29.06757,22.02023,12.77418,19.31846,16.84239
"1978","PGEN_.00g062450",19.49463,0.8935859,0.6756738,1.322511,0.1859981,0.7709192,2.013405,22.61489,21.65375,7.466871,12.35457,18.8651,7.813805,16.49022,9.487578,19.423,10.68822,14.88385,33.22073,21.25408,68.09054,24.72762,19.24744,16.17946,15.76904,21.01262,38.74723,12.68273,17.7591,18.59882,5.23118,12.32529,38.95736,14.53535,23.47102,9.464661,17.32479,20.67027,11.48882,6.387091,9.150849,61.75541
