"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"117","PGEN_.00g308130",27.6620011604002,-2.00115164379716,0.447702723181113,-4.46982236243314,7.82845877243464e-06,0.00273278448314406,83,45,19,34,41,54,24,35,19,92,65,33,6,15,16,45,26,42,46,23,18,14,10,16,20,25,12,10,8,26,19,11,20,20,9,9,FALSE,TRUE
"118","PGEN_.00g305410",10.3408998146281,-1.79030770674437,0.536959749564169,-3.33415625323407,0.000855585800764648,0.0459493451205527,13,23,20,14,43,12,7,6,29,3,17,9,9,5,9,6,19,9,17,10,8,6,9,5,4,3,6,2,7,13,3,4,8,5,4,7,FALSE,TRUE
"119","PGEN_.00g174890",33.3114361741812,-1.849257673561,0.49740839926898,-3.71778537772738,0.000200976897396413,0.019180826133722,40,42,88,47,77,30,24,20,84,34,68,50,22,23,23,40,28,39,53,43,17,6,12,14,17,28,16,3,23,76,17,8,63,23,6,19,FALSE,TRUE
"120","PGEN_.00g057170",169.243853225993,-2.22879232173935,0.519435906005142,-4.29079371674643,1.78035637857366e-05,0.00426166449705433,311,272,369,107,905,179,48,117,237,237,285,268,79,67,62,240,120,134,324,193,146,38,54,89,86,149,83,44,83,210,34,100,262,92,19,117,FALSE,TRUE
"121","PGEN_.00g147360",26.2084168936587,-2.34814237340106,0.55728694422001,-4.21352482371101,2.51415940593505e-05,0.00540093012895482,57,39,61,18,169,31,11,10,70,28,35,44,10,14,12,34,16,14,23,24,17,2,10,7,20,12,8,8,29,48,5,9,43,22,4,11,FALSE,TRUE
"122","PGEN_.00g037050",16.8716072541353,-1.16200986334438,0.296961962778328,-3.91299226497834,9.11594557191083e-05,0.0118363552546978,21,16,37,22,28,34,21,21,16,26,39,15,10,17,3,34,16,16,16,16,12,17,13,16,15,18,5,14,12,22,12,18,11,10,11,9,FALSE,TRUE
"123","PGEN_.00g096330",10.8668035226838,1.22078374330559,0.335066650201473,3.64340570024366,0.000269054251972293,0.0237277528739355,12,13,21,9,15,4,11,11,15,4,3,7,8,17,6,8,17,7,11,13,10,15,7,16,9,5,5,21,20,13,7,32,10,11,15,7,TRUE,FALSE
"124","PGEN_.00g026190",340.316307550635,-0.795785884464197,0.233270508330619,-3.41142946084,0.000646232195678763,0.0386911313827145,551,410,617,251,464,430,338,370,246,697,784,453,271,353,172,327,396,291,363,354,232,213,306,355,346,374,202,313,402,291,215,299,314,250,202,221,FALSE,TRUE
"125","PGEN_.00g282990",89.61483937746,-1.98921346014331,0.481261824212051,-4.13332901150046,3.57546320258297e-05,0.00748880767781004,152,118,134,62,178,86,37,131,133,129,240,253,46,96,56,103,60,43,119,124,35,13,52,61,47,92,56,29,44,211,19,33,198,41,9,59,FALSE,TRUE
"126","PGEN_.00g279590",190.920973687557,-2.38483256572286,0.505145713125704,-4.72107850023347,2.34597368341259e-06,0.00172949891386331,133,375,372,112,1058,330,111,143,305,253,287,251,120,111,121,129,61,104,328,194,194,19,76,73,165,287,63,24,63,367,53,187,257,157,31,90,FALSE,TRUE
"127","PGEN_.00g240940",120.337169357267,-1.88530393480567,0.406440478023806,-4.6385732640912,3.50822574058234e-06,0.00209942251818563,228,161,385,94,426,100,97,123,330,152,197,211,69,87,38,98,68,87,147,134,56,45,60,72,65,102,50,55,69,291,46,45,166,80,17,72,FALSE,TRUE
