"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG25","SG60","SG90","SG128","SG89","SG40","SG43","SG44","SG77","SG19","SG57","SG20","SG62","SG41","SG21","SG129","SG61","SG45","SG58","SG26","SG22","SG140","SG63","SG100","SG17","SG138","SG59","SG42","SG139","SG99","SG130","SG24","SG18","SG127","SG23","SG39","up","down"
"1","PGEN_.00g330240",30.99529568516,-2.82195245029113,0.70984589896223,-3.97544376098633,7.02481436433025e-05,0.0147917373230462,90,95,44,30,90,18,8,31,58,34,63,55,13,9,7,12,23,24,55,48,30,9,21,15,33,29,10,11,13,40,15,10,42,35,2,20,FALSE,TRUE
"2","PGEN_.00g009930",113.755240121106,-3.09155551567683,0.844109597391381,-3.66250487523292,0.000249760997850259,0.0297251784687873,108,151,304,43,646,173,38,63,224,124,177,279,66,61,51,202,47,59,253,117,104,19,36,31,49,58,47,24,66,154,14,109,114,87,11,53,FALSE,TRUE
"3","PGEN_.00g083520",23.7075138337176,1.61404199756978,0.472947906896915,3.41272680147748,0.000643163837596607,0.0498269946636164,15,13,17,21,5,10,14,17,17,28,25,28,17,34,11,10,28,30,25,24,17,56,53,41,40,16,4,18,49,44,34,52,20,48,31,13,TRUE,FALSE
"4","PGEN_.00g285590",18.5618786226285,-2.73075346889865,0.788609625042282,-3.46274428079957,0.000534696304320865,0.0453188901203807,18,35,27,17,43,25,6,11,42,34,48,42,5,10,16,30,21,13,27,20,15,4,2,6,13,18,11,2,9,46,4,3,19,11,1,12,FALSE,TRUE
"5","PGEN_.00g021440",45.3908812646785,-0.929473899757252,0.272250748239209,-3.41403616250334,0.000640080793758526,0.0498269946636164,56,61,49,56,52,57,67,67,56,67,86,44,37,45,16,32,68,50,55,53,19,44,58,33,50,35,21,37,28,54,34,72,55,37,52,26,FALSE,TRUE
"6","PGEN_.00g313940",61.3306503239685,-2.47299010140949,0.693815959903683,-3.56433152929027,0.000364784656341372,0.0379191341503209,96,144,241,21,159,85,42,73,78,110,177,38,34,18,22,66,35,53,83,59,36,18,20,57,18,153,14,41,58,53,27,26,53,34,18,26,FALSE,TRUE
"7","PGEN_.00g010140",17.8034719158773,-4.2063952486167,1.1565132809117,-3.63713527379532,0.000275687162852043,0.0318865208639574,5,56,9,25,14,2,37,8,9,82,113,18,5,14,7,25,16,10,26,74,9,0,4,6,8,7,2,0,4,19,5,5,21,11,2,16,FALSE,TRUE
"8","PGEN_.00g145490",19.1463028999892,-3.08536721131359,0.791694109028681,-3.89717085946109,9.73229590660677e-05,0.0177603586633455,36,47,54,11,85,27,5,21,40,22,24,18,12,8,11,31,12,8,23,29,17,6,6,7,16,22,12,4,10,22,9,4,15,8,1,7,FALSE,TRUE
"9","PGEN_.00g074890",22.9263914279473,-2.47442240454451,0.62842722147143,-3.93748443733991,8.23402702893832e-05,0.0158286616489808,54,77,41,16,36,23,7,24,44,27,39,30,20,11,10,28,23,16,45,10,20,14,38,12,19,17,4,8,13,22,7,29,37,9,5,15,FALSE,TRUE
"10","PGEN_.00g216740",38.98078321178,-2.88525011944368,0.761674398176617,-3.78803610355123,0.000151842788523707,0.023979480372244,81,69,64,25,164,56,18,33,77,43,38,81,32,24,25,46,23,27,69,15,70,6,13,17,20,16,19,6,20,49,8,55,48,21,2,15,FALSE,TRUE
