"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"11","GO:0004322",141,0.0155622087208374,0.999291663612534,2,6,"ferroxidase activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g031220;PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g055210;PGEN_.00g130000;PGEN_.00g133410;PGEN_.00g135600;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g209790;PGEN_.00g210960;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g264440;PGEN_.00g270000;PGEN_.00g275220;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g318540;PGEN_.00g325710"
"12","GO:0004336",133,0.00917546094294872,1,2,2,"galactosylceramidase activity","MF","blue","Day21","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g082240;PGEN_.00g092070;PGEN_.00g165680;PGEN_.00g169480;PGEN_.00g173140;PGEN_.00g255520;PGEN_.00g256100"
"13","GO:0004553",181,0.0476804662530107,0.989142109583246,4,20,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF","blue","Day21","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g082240;PGEN_.00g092070;PGEN_.00g165680;PGEN_.00g169480;PGEN_.00g173140;PGEN_.00g255520;PGEN_.00g256100"
"14","GO:0004557",166,0.0350236848204593,0.99753107247262,2,6,"alpha-galactosidase activity","MF","blue","Day21","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g082240;PGEN_.00g092070;PGEN_.00g165680;PGEN_.00g169480;PGEN_.00g173140;PGEN_.00g255520;PGEN_.00g256100"
"15","GO:0004656",146,0.0184087890122818,0.99809859713871,3,9,"procollagen-proline 4-dioxygenase activity","MF","blue","Day21","oxidoreductase activity","PGEN_.00g031220;PGEN_.00g038920;PGEN_.00g048930;PGEN_.00g055210;PGEN_.00g130000;PGEN_.00g133410;PGEN_.00g135600;PGEN_.00g169450;PGEN_.00g189040;PGEN_.00g196600;PGEN_.00g203570;PGEN_.00g209790;PGEN_.00g210960;PGEN_.00g213740;PGEN_.00g231830;PGEN_.00g231870;PGEN_.00g264440;PGEN_.00g270000;PGEN_.00g275220;PGEN_.00g300030;PGEN_.00g311290;PGEN_.00g318540;PGEN_.00g325710"
"16","GO:0004687",167,0.0350750202019886,0.998020034643128,2,4,"myosin light chain kinase activity","MF","blue","Day21","kinase activity","PGEN_.00g165780;PGEN_.00g165790;PGEN_.00g329130;PGEN_.00g329150"
"17","GO:0004866",173,0.0390983856103112,0.992893398040724,4,10,"endopeptidase inhibitor activity","MF","blue","Day21","enzyme regulator activity","PGEN_.00g011740;PGEN_.00g025870;PGEN_.00g044180;PGEN_.00g044430;PGEN_.00g047850;PGEN_.00g052840;PGEN_.00g055060;PGEN_.00g083720;PGEN_.00g100290;PGEN_.00g110900;PGEN_.00g111540;PGEN_.00g127920;PGEN_.00g155710;PGEN_.00g169720;PGEN_.00g170380;PGEN_.00g180380;PGEN_.00g194480;PGEN_.00g195420;PGEN_.00g195870;PGEN_.00g205050;PGEN_.00g208790;PGEN_.00g226990;PGEN_.00g227060;PGEN_.00g238710;PGEN_.00g239160;PGEN_.00g259130;PGEN_.00g283520;PGEN_.00g308430;PGEN_.00g317870"
"18","GO:0005096",150,0.0240150999404849,0.986970548883988,22,133,"GTPase activator activity","MF","blue","Day21","enzyme regulator activity","PGEN_.00g011740;PGEN_.00g025870;PGEN_.00g044180;PGEN_.00g044430;PGEN_.00g047850;PGEN_.00g052840;PGEN_.00g055060;PGEN_.00g083720;PGEN_.00g100290;PGEN_.00g110900;PGEN_.00g111540;PGEN_.00g127920;PGEN_.00g155710;PGEN_.00g169720;PGEN_.00g170380;PGEN_.00g180380;PGEN_.00g194480;PGEN_.00g195420;PGEN_.00g195870;PGEN_.00g205050;PGEN_.00g208790;PGEN_.00g226990;PGEN_.00g227060;PGEN_.00g238710;PGEN_.00g239160;PGEN_.00g259130;PGEN_.00g283520;PGEN_.00g308430;PGEN_.00g317870"
"19","GO:0005212",176,0.0420479841134943,0.996325769427837,2,9,"structural constituent of eye lens","MF","blue","Day21","structural molecule activity","PGEN_.00g163870;PGEN_.00g284510"
"20","GO:0005484",117,0.000228338685357168,0.999972722284804,7,23,"SNAP receptor activity","MF","blue","Day21","protein-macromolecule adaptor activ...","PGEN_.00g006210;PGEN_.00g013560;PGEN_.00g022820;PGEN_.00g035110;PGEN_.00g036040;PGEN_.00g149140;PGEN_.00g185010"
