"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_2","Rich_Factor"
"1","crg04146","Peroxisome","18/227","96/3839",8.66604670010775e-06,0.000461424940246079,0.000380121232239333,"105339056/105344553/105320852/105342001/105324552/105339902/105346656/105329358/105330227/105336995/105324179/105345139/105342925/105325181/105333701/105339789/105331916/105329168",18,"18 of 227",0.1875
"2","crg04144","Endocytosis","26/227","177/3839",1.00309769618713e-05,0.000461424940246079,0.000380121232239333,"105317810/105318103/105342074/105340300/105347356/105320076/109619106/105321025/105325897/105318650/105347007/105340059/105333224/105335021/105342944/105328970/105327432/105317406/105342783/105342992/105317888/105318454/105326340/105342463/105329694/105334311",26,"26 of 227",0.146892655367232
"3","crg01212","Fatty acid metabolism","13/227","59/3839",2.71462701246646e-05,0.00083248561715638,0.000685800508412579,"105339056/105341094/105348652/105333437/105346656/105341564/105342284/105333323/105342925/105340049/105330728/105321895/105339789",13,"13 of 227",0.220338983050847
"4","crg04142","Lysosome","26/227","191/3839",3.99082765534982e-05,0.000917890360730459,0.000756156818908387,"105340688/105340690/105319353/105347059/105323790/105320723/105321566/105326821/105331028/105348190/105340059/105325388/105339566/105344281/105338718/105334333/105337411/105340049/105328916/105318342/105338347/105341804/105342463/105320698/105338683/105331760",26,"26 of 227",0.136125654450262
"5","crg00071","Fatty acid degradation","10/227","40/3839",7.54240599875835e-05,0.00138780270377154,0.00114326996191706,"105341094/105336470/105348652/105333437/105346656/105335622/105333323/105342925/105321895/105339789",10,"10 of 227",0.25
"6","crg01200","Carbon metabolism","17/227","117/3839",0.000425125325414681,0.00651858832302511,0.00537000411050123,"105336648/105341094/105336470/105339902/105317783/105332143/105332278/105346656/105335896/105333137/105330227/105339502/105333231/105330479/105339789/105331916/105317044",17,"17 of 227",0.145299145299145
