"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG117","SG137","SG38","SG97","SG88","SG87","SG98","SG37","up","down"
"1","PGEN_.00g286430",112.393414868258,2.38098787592636,0.574286757638395,4.14599125655893,3.38346737616977e-05,0.0347270811969412,242,28,63,26,64,80,481,24,FALSE,TRUE
"2","PGEN_.00g112950",6.7764116018251,3.68902314810894,0.924081934149181,3.99209530213951,6.54920405709926e-05,0.0491659519950023,21,2,5,2,9,0,20,0,FALSE,TRUE
"3","PGEN_.00g286450",160.224555332872,-1.95297633283166,0.411130639134713,-4.75025733168902,2.0315795633073e-06,0.00443575081852515,61,241,58,279,66,115,82,381,TRUE,FALSE
"4","PGEN_.00g286210",233.086965987519,-1.26523729372015,0.23014305691241,-5.49761227079591,3.84968217421302e-08,0.000105067450739709,149,262,114,369,128,326,171,402,TRUE,FALSE
"5","PGEN_.00g132550",25.6345878185595,-1.61050530681,0.388704386868635,-4.14326506521852,3.42395811786525e-05,0.0347270811969412,14,42,5,34,19,49,15,35,TRUE,FALSE
"6","PGEN_.00g250510",43.0997931734681,-2.52321179760386,0.444151961191102,-5.68096511571683,1.33936795779721e-08,4.87395999842404e-05,9,66,16,55,15,65,10,112,TRUE,FALSE
"7","PGEN_.00g025020",48.185921431914,-1.66236203232014,0.401703096709205,-4.13828533048012,3.49911049891319e-05,0.0347270811969412,17,73,13,46,27,127,40,64,TRUE,FALSE
"8","PGEN_.00g064780",115.694012149937,-2.05910576028659,0.516747904407926,-3.98473944978229,6.75542071929133e-05,0.0491659519950023,49,298,42,202,48,206,41,42,TRUE,FALSE
"9","PGEN_.00g315040",26.181747349001,2.04459526665537,0.48568456667241,4.20971842005107,2.55689151882775e-05,0.0347270811969412,72,15,21,7,53,7,32,12,FALSE,TRUE
"10","PGEN_.00g314840",33.1016371467272,1.89764720488503,0.404663081782616,4.68944979246819,2.73940636872819e-06,0.00455389214300756,76,20,23,12,60,13,64,12,FALSE,TRUE
"11","PGEN_.00g006280",76.6877387728148,-1.21823879008768,0.304594267120813,-3.9995460243002,6.34641053960543e-05,0.0491659519950023,41,79,34,140,64,109,49,117,TRUE,FALSE
"12","PGEN_.00g258390",26.8320375772734,-2.69716078428491,0.428308262047458,-6.29724201768038,3.0298803266908e-10,1.65386017632418e-06,8,29,9,59,5,52,7,54,TRUE,FALSE
"13","PGEN_.00g078470",8.9899126597205,2.65441202899086,0.655279389369242,4.05080958146103,5.10407315928727e-05,0.0464343055666159,24,4,15,2,10,2,14,2,FALSE,TRUE
"14","PGEN_.00g261200",157.309585713341,-2.38057423138111,0.509064468703657,-4.67637082871506,2.91996381799514e-06,0.00455389214300756,23,284,40,87,79,327,61,384,TRUE,FALSE
"15","PGEN_.00g213760",26.6544097747695,-2.76015639313389,0.434532215866821,-6.35201785356198,2.12508651759673e-10,1.65386017632418e-06,9,33,3,35,7,78,10,53,TRUE,FALSE
