"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","ion binding","GO:0043167","GO:0000287",66,12,"Day7_brown"
"2","oxidoreductase activity","GO:0016491","GO:0003834",29,26,"Day7_brown"
"3","hydrolase activity, acting on glyco...","GO:0016798","GO:0003875",10,6,"Day7_brown"
"4","peptidase activity","GO:0008233","GO:0004175",26,7,"Day7_brown"
"5","lyase activity","GO:0016829","GO:0004300",6,4,"Day7_brown"
"6","lipid binding","GO:0008289","GO:0005504",17,10,"Day7_brown"
"7","enzyme binding","GO:0019899","GO:0017137",17,4,"Day7_brown"
"8","DNA binding","GO:0003677","GO:0030983",2,3,"Day7_brown"
