"","MEgreen","MEpurple","MEblue","MEyellow","MEturquoise","MEbrown","MEmagenta","MEred"
"SG15",0.106729495566579,-0.134511087862089,0.291222079898445,-0.0291570663535596,-0.209720273287421,-0.137264806247688,-0.0896728009887432,0.111314941310681
"SG93",0.114098543435141,0.131500681365792,0.161826338183287,0.0446934280930374,-0.296711558704644,0.0291856782224047,-0.096870975548717,-0.0275537984779975
"SG102",0.00826236518177442,0.00450817719621097,0.159119994801761,0.063382577707825,-0.0843960742225382,-0.340737066699901,0.10701199229842,0.0803243883755451
"SG2",-0.0452482067716342,-0.0517068633409967,0.10769200209707,0.0967918189522929,-0.0749213095494746,0.102171267118369,-0.115779854441554,0.0434044520223271
"SG10",0.038261490479079,-0.317207552630613,-0.0670345400180772,-0.11948316998909,-0.102340979028109,0.45154555141545,0.14490199659704,0.0737706536839996
"SG118",-0.0863358621104847,-0.297487379802753,0.0429352380568324,-0.0220506280461627,0.102064888644881,0.152787646552704,-0.202981313133964,0.0511102178102392
"SG81",-0.207770288200626,0.133318252562746,-0.241852754644733,0.105852335710916,0.340904498826327,-0.130495068902687,0.14383757805843,0.120590170195349
"SG101",0.508966837881082,0.0318592025702174,-0.203884717052211,-0.872649262115708,-0.0955638021199942,0.119905576372655,0.413051025671224,0.00927535785340897
"SG65",-0.057465230819583,-0.120176273212959,0.178629381174214,0.122548222548115,-0.191157390098558,0.140755441200669,-0.0851977891145234,0.0227905968647658
"SG107",-0.125971596625479,0.174876119288491,-0.18357525213526,0.0669512344873577,0.207866205973143,-0.0324235661796961,-0.377174845799087,-0.0128766945213944
"SG109",0.05421673087819,0.0550013838492639,-0.641731547022914,-0.058751991349603,0.244874207991428,0.132226521782149,0.64820487010962,0.173262373170803
"SG66",0.474834218249894,0.321421825103676,-0.0920575731461619,-0.208126305992893,0.0678714751284622,-0.227150735587397,-0.169242199491134,-0.934642692053169
"SG12",0.0101281203532211,-0.123869233521371,0.136908263275464,0.0230805476887284,-0.142520108422011,0.331872270449618,0.0105508486413184,-0.0497275760489861
"SG91",-0.000195292299055107,-0.0058458940502723,0.129310177427159,0.116170675998675,-0.181787109182277,0.0236152980370783,-0.0297945640640489,0.0419560783678906
"SG82",-0.0699018437180957,0.0026927602435687,0.088235220219664,0.050296779273584,0.129632184261937,-0.152357087937211,0.142654353294612,-0.00463223065876878
"SG16",0.0282527880747042,0.14727644042279,-0.003673627202676,-0.00440711671272762,-0.0520146841608664,-0.0273566195011192,0.0179085913702345,0.00559108924290413
"SG131",-0.29027948070543,0.0316414509032905,-0.0750527086561493,0.14747977207461,0.33110498026374,-0.400850456865252,-0.00252540353132923,0.0843605121443805
"SG79",-0.147258185450875,-0.392379147066735,0.0335078278705467,-0.0368142438868166,0.288730974296322,0.0968901486737276,-0.082294001605809,0.0288750519554407
"SG1",0.238995931038467,0.38810952101865,-0.31225491810215,-0.134058207736448,-0.0710754099451104,0.0863175890185679,0.0673122261653865,-0.0639137470733511
"SG64",0.279030426526137,0.351209574058363,-0.097938531382096,-0.0302761644758846,-0.154193231098694,-0.239202668096748,-0.116477398860816,-0.108274917492406
"SG4",-0.0307968151253013,-0.144192458361449,0.193399672298971,0.0799863474528119,-0.110215512564656,0.0385607310880371,0.0135629687694929,0.047348573879348
"SG14",-0.0268554483379459,0.0620378720164864,0.111244007225878,0.140650096945189,-0.215469431839225,-0.00614658790863902,-0.00405582599666518,0.0533687822314541
"SG46",-0.0384065114221757,-0.178441629677085,0.173086448798256,0.116432961497862,-0.212464081758368,0.169855225082069,-0.148748053620634,-0.00168798731540711
"SG108",-0.167379045635723,0.120758405021267,-0.00990274458255542,0.0932159285861809,0.102837018092686,-0.107269101653958,0.0187134337950746,0.0749397687334273
"SG78",-0.232791856806381,-0.190061038646903,0.0562697822840039,0.0812299160861086,0.241226519614015,-0.0272567544470644,-0.167695752844808,0.0940759211432521
"SG80",-0.282769342452776,0.121177199880629,-0.0608021367705771,0.118658115850388,0.278561056456885,-0.238116617283617,0.0427482939959725,0.0338518394650096
"SG8",-0.0523519411827049,-0.121510307328218,0.126374617104009,0.0483533977052133,-0.141123053567879,0.190938192297477,-0.0819473997249937,0.0530988751912543
