"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"108","PGEN_.00g345120",11.5668348440995,6.24699780816881,1.68958737570526,3.69735113909762,0.000217860895805774,0.0208951625026074,24,17,41,21,9,10,9,9,11,0,18,16,20,9,6,3,1,2,8,18,2,5,5,4,2,4,4,11,23,90,13,2,0,21,4,2,44,8,9,7,55,2,16,9,11,17,9,3,11,8,15,26,14,5,9,9,7,9,3,15,6,9,TRUE,FALSE
"109","PGEN_.00g286740",28.3058466752977,6.34660457192893,1.56792582635896,4.04777092464062,5.17077148437756e-05,0.00793541888510632,74,54,69,57,36,19,15,23,9,10,57,23,68,13,7,11,5,19,9,28,2,7,6,14,8,14,15,29,46,148,24,13,10,36,20,6,82,16,11,30,121,29,33,16,33,51,34,11,28,37,37,145,15,14,12,16,7,20,8,27,12,25,TRUE,FALSE
"110","PGEN_.00g345680",66.5537117626904,8.41054823050515,1.89379335108204,4.44111192263912,8.94952290200446e-06,0.00234616714833215,82,153,125,85,44,10,14,66,15,13,202,49,104,16,9,6,2,24,29,57,45,93,35,9,8,35,9,137,279,646,76,30,28,79,20,23,177,66,15,42,423,19,80,27,56,60,186,4,239,36,48,122,50,56,8,6,12,30,13,45,21,16,TRUE,FALSE
"111","PGEN_.00g050250",20.6366282092215,5.33985165211054,1.30594305582548,4.08888552091978,4.33450690299229e-05,0.00681789039128,29,59,13,17,20,7,5,18,10,7,22,38,31,4,23,8,12,48,42,42,6,34,19,7,4,8,26,28,37,25,38,8,24,26,7,7,25,22,11,6,58,18,55,21,23,4,22,20,21,24,16,26,18,27,22,14,15,26,5,11,6,72,TRUE,FALSE
"112","PGEN_.00g029620",6.34626712857098,7.81187511109034,2.18013836240765,3.58320152784396,0.000339408544515264,0.0268083115699196,8,29,19,17,3,1,0,6,0,0,15,8,6,2,0,0,0,6,4,9,6,1,4,3,2,4,0,8,29,49,3,2,1,6,1,0,20,5,6,0,16,1,12,4,3,4,5,0,23,8,7,15,4,4,3,6,2,12,5,11,4,8,TRUE,FALSE
"113","PGEN_.00g318440",8.4213830076434,7.4535264375835,2.02453797525922,3.68159379012349,0.000231780493125846,0.0219624624893569,12,23,17,21,12,4,5,14,0,5,22,3,20,5,4,0,1,5,2,8,2,5,6,4,0,1,1,15,23,45,6,2,0,4,4,1,12,5,2,8,39,4,8,8,11,21,18,7,0,5,8,39,7,5,4,0,4,13,5,10,7,10,TRUE,FALSE
"114","PGEN_.00g056330",13.7552262721111,6.23273393463164,1.71241040151828,3.63974309494119,0.000272910186735837,0.023603972926684,13,50,39,27,11,4,13,8,7,0,56,16,7,4,12,0,1,2,6,18,4,4,8,6,3,12,10,17,60,70,14,4,4,24,7,7,36,13,12,8,61,6,24,13,11,7,18,13,2,10,18,32,19,11,7,7,10,17,6,24,2,3,TRUE,FALSE
"115","PGEN_.00g340610",32.7072419188861,-11.8245881423408,2.49215452326707,-4.74472510911541,2.08789675655432e-06,0.000879675644181118,13,9,18,9,32,39,30,6,0,106,4,5,11,22,18,9,1,4,12,9,12,4,12,26,22,11,1,3,8,5,10,5,7,8,0,16,5,14,4,387,18,166,3,3,6,623,25,12,6,4,6,6,1,9,104,10,70,13,4,4,58,45,FALSE,TRUE
"116","PGEN_.00g339710",22.7242699651018,8.60481677394375,2.04860568997987,4.20032845560842,2.66528043654993e-05,0.00524038555166326,18,32,57,31,17,8,16,11,5,3,47,15,220,7,4,7,0,17,10,13,2,4,11,6,2,9,10,17,32,129,14,4,10,33,4,7,52,9,10,28,43,12,22,13,17,62,40,4,9,20,28,201,14,7,5,14,1,15,6,10,4,30,TRUE,FALSE
"117","PGEN_.00g117570",22.7804655615705,11.0290211225302,2.88168846824475,3.82727739103874,0.000129568472456251,0.0146973006689076,30,11,0,59,9,0,5,3,18,78,30,1,74,3,0,13,0,0,1,21,4,19,0,112,2,20,0,16,47,17,1,1,4,28,0,2,8,5,4,52,9,10,48,26,71,17,31,58,26,2,10,40,6,32,3,35,11,6,88,10,0,133,TRUE,FALSE
