"","Primary_Treatment","Second_Treament","Third_Treatment","Day_Treatment","Day_PrimTreatment","Day_PrimSecTreatment","Day_FullTreatment","PrimSecThird"
"SG110","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
"SG119","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG132","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG134","A","S","A","Day21_A","Day21_A","Day21_A_S","Day21_A_S_A","Day21_ASA"
"SG28","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
"SG35","A","S","M","Day21_A","Day21_A","Day21_A_S","Day21_A_S_M","Day21_ASM"
"SG48","A","S","A","Day21_A","Day21_A","Day21_A_S","Day21_A_S_A","Day21_ASA"
"SG49","A","S","M","Day21_A","Day21_A","Day21_A_S","Day21_A_S_M","Day21_ASM"
"SG67","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
"SG68","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG71","A","S","A","Day21_A","Day21_A","Day21_A_S","Day21_A_S_A","Day21_ASA"
"SG83","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG84","A","S","M","Day21_A","Day21_A","Day21_A_S","Day21_A_S_M","Day21_ASM"
"SG94","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
"SG96","A","S","M","Day21_A","Day21_A","Day21_A_S","Day21_A_S_M","Day21_ASM"
