"","Primary_Treatment","Second_Treament","Third_Treatment","Day_Treatment","Day_PrimTreatment","Day_PrimSecTreatment","Day_FullTreatment","PrimSecThird"
"SG119","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG120","A","M","M","Day21_A","Day21_A","Day21_A_M","Day21_A_M_M","Day21_AMM"
"SG132","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG28","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
"SG31","A","M","A","Day21_A","Day21_A","Day21_A_M","Day21_A_M_A","Day21_AMA"
"SG32","A","M","A","Day21_A","Day21_A","Day21_A_M","Day21_A_M_A","Day21_AMA"
"SG33","A","M","M","Day21_A","Day21_A","Day21_A_M","Day21_A_M_M","Day21_AMM"
"SG34","A","M","M","Day21_A","Day21_A","Day21_A_M","Day21_A_M_M","Day21_AMM"
"SG47","A","M","M","Day21_A","Day21_A","Day21_A_M","Day21_A_M_M","Day21_AMM"
"SG67","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
"SG68","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG69","A","M","A","Day21_A","Day21_A","Day21_A_M","Day21_A_M_A","Day21_AMA"
"SG70","A","M","A","Day21_A","Day21_A","Day21_A_M","Day21_A_M_A","Day21_AMA"
"SG83","A","A","M","Day21_A","Day21_A","Day21_A_A","Day21_A_A_M","Day21_AAM"
"SG94","A","A","A","Day21_A","Day21_A","Day21_A_A","Day21_A_A_A","Day21_AAA"
