"","MEturquoise","MEblack","MEpink","MEred","MEblue","MEbrown","MEgreen","MEyellow"
"SG25",-0.0698015792511996,-0.0975824208967181,-0.177951128047507,0.0602670305262656,-0.0061876119099528,0.032453960006961,-0.00445798341205455,0.104446167127384
"SG60",-0.0557141981567537,0.12239128100661,0.0745660673860857,-0.04667031912498,0.043935867952006,0.00771993300693585,-0.0701528073743944,0.171004296922038
"SG90",-0.331483046646069,-0.19006278027698,0.109835353335622,0.259766721664851,0.340689242182314,0.209454419755872,-0.16091495187344,0.0905892902141137
"SG128",0.0244176772355586,0.0586030819110493,-0.206220586652293,-0.207850731124395,-0.119030388446198,-0.0118391540213239,0.16608818163656,0.0175168221702511
"SG89",-0.275571088205548,-0.140639694073451,-0.013732014118939,-0.0655521994657042,0.269436998789982,0.214580561726741,-0.0528014592401487,0.160362519584028
"SG40",0.0294490409190405,-0.0599931915985572,-0.0358584635318952,-0.0117349390800724,-0.0550568256929557,-0.0330260407381589,-0.0377203424467693,0.0605900821296335
"SG43",0.0642472670102898,-0.0487373517091221,-0.228810584034637,-0.0378574636003255,-0.0737090167197246,0.000803832898491079,-0.00237903967653797,-0.0637068572076574
"SG44",-0.0737456938547431,-0.0475310289011524,-0.0647290935069695,0.00810581502751198,0.0627371597364473,0.141746125208034,-0.0772937745196753,-0.00516657744033361
"SG77",-0.0456047011780439,0.0346020268835774,-0.0912097337454122,-0.208922623372887,0.0331926730549238,0.0791628258429247,0.0258892686864199,0.0896454074683982
"SG19",0.0426800039741229,-0.0932984958811611,-0.0841477096056608,0.0339546487735023,-0.0451275731152629,-0.0735337754972906,-0.0484144421470019,0.104439956151989
"SG57",0.0184664815902769,-0.0902706496311808,-0.0552584863416098,0.000610357241600517,-0.0771262593876521,-0.118822211670416,-0.00787722552512673,0.159576720074895
"SG20",0.0237874635275194,0.0798222364022508,0.0045516813951525,-0.0499699736001442,0.00855539192735931,0.00535171862216175,-0.101116947769908,0.106116670972683
"SG62",-0.208827797447647,0.00682331502344836,0.112809474745619,0.123494933396682,0.186822672417669,0.195568949731366,-0.0902800572617629,-0.0709567809527573
"SG41",0.0988503314415409,0.0759111860729252,-0.0320579795465369,-0.00485952503362626,0.00839242630269118,-0.041179540424232,-0.067644540476418,-0.0461164775157746
"SG129",0.0330715939661605,-0.0324995574900912,0.0207924298354006,-0.133270825858567,-0.0511229383411186,-0.058190387000367,0.117286451906108,0.11174631270887
"SG61",-0.0249582947336825,0.160409613809582,0.0374911451942628,-0.109915584961702,0.0570079360779972,0.0670154413357816,-0.0701861152940591,-0.038826650316149
"SG45",-0.00916801850222441,0.0396154024372131,-0.0132661506684535,-0.0487997840618946,0.0171006583187945,0.0413573749224632,-0.0451325928700069,0.0144630339213525
"SG58",0.0779856201173738,-0.0191424765075088,-0.010494769021244,-0.146817791584028,-0.0454604007431229,-0.0535096490974736,-0.0350575394788139,0.13534350260962
"SG26",0.031014995437687,-0.0578251720731165,-0.0184928124618513,-0.00737802907938151,-0.0124109326998088,-0.0164194484255496,-0.0706307825932677,0.0193852350293932
"SG140",0.0370659964627964,-0.0595749867489183,-0.0852343746771192,-0.161717589685374,-0.038691892958527,0.0245892480660193,0.069919692661363,-0.130068892262957
"SG63",0.0488668931435512,0.0791936191831359,0.0105194504327206,-0.0775998301037668,0.0248298176529558,-0.0188324844923541,-0.0600126855831877,-0.0841261656480956
"SG100",0.108528554469952,0.0853701933218501,0.0478424968087599,0.0935614800265267,-0.0185204465939725,-0.10282277689399,-0.0273655485687671,-0.0651689046142139
"SG17",0.0613296775894409,0.0624322082452966,-0.126482981751608,-0.122704262799961,-0.00142903909824984,0.0111673485180995,-0.046671172076854,-0.0568913951716493
"SG138",0.0227227970325366,-0.113212094185418,-0.0706319193697444,0.0431600417852904,-0.120357559307184,-0.0868170454738614,0.160269003780968,0.0611738003126667
"SG42",-0.0074980902458366,-0.0323808070242861,-0.0469414507664758,0.131646402690071,0.0222292718728412,0.0811787176269631,-0.0728619109931875,-0.0974378482960473
"SG139",0.0851263124986675,0.0358717211905013,0.0964544565582928,0.0802259673173975,0.0210642221652061,-0.0705880169032592,-0.0869371438437376,-0.0241198984274611
"SG99",0.0875527710958039,0.0340861035471727,-0.124475886099483,-0.141875886987144,-0.0923107921596515,-0.0300216962215542,0.0920998120693943,0.0524970269225822
"SG130",0.0253998436046366,-0.0798795787850571,-0.0268721299274357,-0.0680065130135213,-0.0977742349625823,0.0464727199111768,0.147129140510451,-0.122504859623992
