"","MEblue","MEgreenyellow","MEred","MEpink","MEblack","MEgrey60","MEcyan","MEgreen","MEmagenta","MEyellow"
"SG116",0.00784767461430878,0.120242020408948,-0.035100194666934,-0.127639704513737,-0.151961596217802,0.156313108931486,0.0789135562492723,0.0120743639485759,-0.23826993946005,0.206354441395434
"SG122",-0.386693310807382,-0.151861362621737,-0.0707340526759304,0.166726294187139,0.167545318084922,0.0557915306279959,0.241900651905225,0.317829340845774,-0.210733942567637,0.154758435314556
"SG123",-0.0746661194239496,0.193859387971241,0.437824760296095,-0.0991088253347394,-0.7537855823395,-0.0329876476524912,-0.0369144515993709,-0.105397689691732,0.609317482081443,0.28036654834627
"SG125",-0.326117937876473,0.0476561344920435,-0.122178420360446,0.244128231055636,0.180292104636232,0.0840424002389467,0.111274375540093,0.164545619784326,-0.346259901471409,0.145621977990086
"SG136",-0.21025864515391,0.107883802094008,0.146766631708326,-0.122529677309641,0.0302283579279238,0.0380087249314269,0.00166217680809808,0.244710334658747,-0.212977946701725,0.0508109973315096
"SG142",-0.241550900090115,-0.6057922492946,-0.291227811036576,-0.409582038141712,0.320236017506083,-0.0185026653013683,0.370521865564525,0.311318869720794,0.151309484682873,0.468610998886581
"SG75",0.141496333398892,0.433932957551448,-0.21923096825607,-0.146195089392491,-0.15747857112301,-0.921714027022853,-0.236476261560131,-0.182318760086554,0.129341872473402,0.0537855595628184
"SG86",0.266302716743042,0.11822279101155,0.12772945922703,-0.0854480643953048,-0.104924995342006,-0.0129978970730818,-0.0405819246980041,0.0358874749360513,-0.275849563588177,-0.169072399839706
"SG111",0.0630427662501247,-0.188207932291087,0.276639892057482,0.0868427654338491,0.0947847519668386,0.049467828143702,0.0904088581458146,0.132046362043435,-0.124300214401834,-0.0940709744391374
"SG120",0.0734432918689012,0.0362489623795599,0.415759027647749,0.00251306110281577,-0.105902968521705,0.0676695029171503,0.0270864727849144,0.171924540516811,-0.279273853831576,-0.38421846147916
"SG33",-0.128905471826596,-0.291613433286751,-0.247824559144031,0.243295740269392,0.0754207217157007,0.0857407188591435,0.15532968949322,-0.132785522489024,0.229371817203837,0.368951400680047
"SG34",-0.197070091342438,0.434141763352622,-0.0754600248880196,0.478751862477076,0.0385669388575464,0.141189774166319,-0.828233274376729,-0.151070519721924,0.00690195004050378,-0.0752793406640759
"SG35",0.159970237800916,-0.0640204637839368,-0.186575555815662,-0.031605079995399,0.134454662648068,0.0328850628430608,0.0356397648756552,-0.223258096896976,0.163944395881631,-0.15393464495205
"SG47",0.00465254050707153,-0.114287770636971,-0.291864679641831,0.461337859651075,0.164641127879387,0.124344378394008,-0.000790464450363466,-0.161646068434905,0.238297424626203,-0.0930134532315114
"SG49",0.560349235743633,0.0282044932655356,-0.17736732889381,-0.121537668658121,-0.107800366568868,-0.0575366303997559,-0.0382560917231947,0.0898853385270764,0.00330879918550536,-0.120269861216905
"SG84",0.366612558304097,-0.115742676344659,0.379501286459224,-0.318575657401686,-0.14587923780908,-0.0317473696001732,-0.00157765434036213,0.162784625896706,0.0297047129755048,-0.443202943539534
"SG96",-0.0784548787101225,0.0111335757327868,-0.0666574620165979,-0.221374009034151,0.321563316699267,0.240033206996484,0.0700927113813366,-0.686530213557179,0.126167422871506,-0.196198280145224
