"","MEblack","MEblue","MEbrown","MEgreen","MEmagenta","MEpink","MEred","MEturquoise","MEyellow"
"SG15",0.028257619887734,-0.206644481780677,-0.13608489810387,0.230813114001481,0.234276036080694,-0.161967358728351,-0.107617038667649,0.220724557672898,0.00266914708880352
"SG93",-0.130771620772172,-0.272193974925351,0.0253192766631325,-0.000911676584631205,0.253368155386835,0.00920189284743678,0.126634697837942,0.113909254222204,0.128113405531043
"SG102",0.151914841931365,-0.0816562868456085,-0.331692111715882,0.116828019214983,0.0406370728140105,0.0849745367839372,-0.0245375071765265,0.17830187078771,-0.0400504868644715
"SG2",-0.0846979482125323,-0.0937633808410798,0.103066975213429,-0.00405167077283304,0.0848758089836299,-0.157356269670119,0.0148468602668081,0.122910456853609,-0.10362901642265
"SG10",0.154116885914181,-0.0918565245726293,0.473442549512385,0.201483312502489,-0.138472272222485,-0.129664925996995,-0.329187871369787,-0.102924711272753,-0.0909927818299612
"SG118",-0.0817761563864371,0.105080411426978,0.164918229739555,-0.0169341563186971,-0.0566308097814714,-0.282108354053373,-0.217121189865003,0.0284723512846108,-0.146381375378292
"SG81",0.126076139285311,0.368593850536576,-0.123863242642067,-0.218937159055003,-0.357668698814231,0.254609145665044,0.0969336869525013,-0.129710939143422,-0.0717656369588166
"SG101",0.338473099907296,-0.155680498099072,0.0863550012183121,0.628986724993115,0.160907428617749,0.247916619834891,-0.115274111518593,-0.471454685379977,0.39835365431229
"SG65",-0.0696230149564872,-0.14656806826183,0.134679732125509,-0.0742187134294525,0.058616471019732,-0.154040821436122,-0.125090375846318,0.198130141410109,-0.080906938680841
"SG107",-0.406466746694115,0.217363314981328,-0.0087971826373423,-0.34863595395857,-0.122557361338352,-0.0105256429333083,0.27718426640404,-0.140796350032375,0.0273100968601182
"SG109",0.598422468553098,0.25511287882218,0.111881483696152,0.109451564071366,-0.604489795190341,0.521728730395763,-0.207276069586765,-0.449042053240487,0.0769713600292404
"SG66",-0.330626425031615,-0.00405701696018415,-0.219860499147013,0.157709406106292,0.388584335076678,0.0837983526738166,0.272565428692302,-0.256192934407305,0.519254498074434
"SG12",-0.00467013588966325,-0.172972498418766,0.342536770633132,0.0962541422161328,0.0583365071265779,-0.165057160121148,-0.116356375418604,0.109498823963467,-0.0683380095617393
"SG91",-0.040370041494044,-0.129608197352078,0.00208766269583979,-0.0412970965888105,0.10765214943255,-0.0147387436027916,-0.0342713150755975,0.150671458284667,-0.0186402463742718
"SG82",0.13741915364557,0.114366417459255,-0.162629999817585,-0.0191574179367836,0.0449554111700174,0.0105289308016067,-0.0356400532809248,0.110727312595172,-0.0633292453379071
"SG16",-0.0185746901268205,-0.0589364244134088,-0.0242990568366888,-0.019800129624251,0.0474705915679576,0.110857982944459,0.137836159917435,-0.025048492730022,0.0582354625711993
"SG131",0.046747858840276,0.367965540346771,-0.403352866054286,-0.255120577755167,-0.24040715158098,0.106292498097056,0.0532567504776237,0.0146704647008952,-0.204285403375003
"SG79",0.0516696403062465,0.254598450627646,0.0808604211452341,0.101572001390117,-0.133762465135634,-0.229960906550668,-0.36337835600793,0.0453252918961522,-0.257194587065752
"SG1",-0.0874379019310458,-0.129161779858437,0.103979324214259,-0.0191949369252861,-0.00572214280433669,0.322917310800786,0.377887617906853,-0.344716855026435,0.344828316376196
"SG64",-0.300418379366737,-0.176809226065942,-0.223616169420221,0.0326012886527632,0.155034785183452,0.161603167921322,0.369282192112385,-0.163579161635856,0.376205600112524
"SG4",0.107163433748189,-0.109223576288382,0.0236812254400907,0.106836298249926,0.061058520040617,-0.0610438630045991,-0.152671239457137,0.205212221539059,-0.111508017472881
"SG14",0.0101346157422623,-0.188511796857959,-0.0101102281140306,-0.0944294636268899,0.095056827518202,-0.000770735767662557,0.0580097673920242,0.125479105906429,-0.00529152669611791
"SG46",-0.0870627450644387,-0.166165413096088,0.159451301037881,0.03725868739163,0.05328370276293,-0.291649373639889,-0.147645890937091,0.180823157468957,-0.108340895267624
"SG108",0.00414750690541492,0.0916663686782109,-0.111156243046424,-0.191264319472285,-0.027171606588275,0.0242546857940023,0.23761372987975,0.0348122928732826,-0.100954669438548
"SG78",-0.099699002681839,0.240599792720863,-0.0308966436235854,-0.16027517510761,-0.126900914633572,-0.220049723237988,-0.0928685199579175,0.115014729007357,-0.227103882890491
"SG80",0.011598115413118,0.293218361073157,-0.228384880420348,-0.334219773487261,-0.0825229934860221,0.114930076404537,0.123310901197682,0.0103946270270192,-0.138387425345511
"SG8",-0.0239465714721179,-0.124756242035471,0.202484068244429,-0.0213463381467636,0.0521924087940687,-0.174680052221644,-0.0764261448715041,0.118388065375032,-0.0948413959949677
